name	technique
Digital research methods	Durable Persistent Media 
Digital research methods	Web Crawling 
Technology, Information en Communication (TIC) 	Technology Preservation
Information science	Searching
Information science	Web Crawling 
Digitaal erfgoed	Preservation Metadata 
Statistiek	Linked Open Data
Geografie for the arts	Georeferencing 
Databeheer en statistiek voor historici	Linked Open Data
Historische methoden, Module Historische cartografie en GIS	Georeferencing 
Historische methoden, Module Prosopografie en sociale netwerkanalyse	Photography
Laguage technology	Georeferencing 
Terminologie en vertaaltechnologie	Technology Preservation
 Archivistiek: Erfgoedbeheer en Hedendaags Documentbeheer	Information Retrieval
Business informatics	Information Retrieval
Corpus Linguistics	Machine Learning
Language Data and Linguistic Objects	Linked Open Data
Communicatiewetenschappelijk onderzoek I 	Browsing
Communicatiewetenschappelijk onderzoek I 	Web Crawling 
Informatica en statistiek toegepast op de archeologie	Open Archival Information Systems
Media Culture	Durable Persistent Media 
Introductie in de Digital Humanities	Information Retrieval
Artificial Intelligence	Browsing
Artificial Intelligence	Searching
Game studies	Gamification
Kunstmatige intelligentie	Pattern Recognition
Game and media technology	Gamification
Neuroscience and cognition	Scanning
New media and digital culture	Durable Persistent Media 
Media, Art and Performance Studies	Durable Persistent Media 
Utrecht data school	Linked Open Data
Media and Information (track New Media and Digital Culture)	Durable Persistent Media 
Digital Humanities	Information Retrieval
Media Studies: Book and Digital Media Studies	Durable Persistent Media 
Media Studies: Book and Digital Media Studies	Web Crawling 
Digital Humanities1	Information Retrieval
Ontwikkeling, gebruik en beleid van nieuwe media	Durable Persistent Media 
Advanced theoretical debates: digital media marketing	Information Retrieval
Advanced theoretical debates: digital media marketing	Linked Open Data
Users and innovation in new media	Durable Persistent Media 
Joint Bachelor of Arts - combined course, incl. Digital Philology	Concordancing 
Master of Arts Linguistic and Literary Computing	Collocation Analysis 
Master of Arts Linguistic and Literary Computing	Commenting
Master of Arts Linguistic and Literary Computing	Concordancing 
Master of Arts Linguistic and Literary Computing	Encoding
Master of Arts Linguistic and Literary Computing	Linked Open Data
Master of Arts Linguistic and Literary Computing	Named Entity Recognition 
Master of Arts Linguistic and Literary Computing	Pattern Recognition
Master of Arts Linguistic and Literary Computing	POS-Tagging
Master of Arts Linguistic and Literary Computing	Preservation Metadata 
Master of Arts Linguistic and Literary Computing	Principal Component Analysis
Master of Arts Linguistic and Literary Computing	Scanning
Master of Arts Linguistic and Literary Computing	Searching
Master of Arts Linguistic and Literary Computing	Sentiment Analysis 
Master of Arts Linguistic and Literary Computing	Topic Modeling
Computerlinguistik und Texttechnologie	Concordancing 
Sprachtechnologie und Fremdsprachendidaktik	Information Retrieval
Computerlinguistk	Concordancing 
Computerlinguistk	Encoding
