"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"46396","1.0","interacts with","Digital research methods (interacts with) Durable Persistent Media ","false","interacts with","Digital research methods (interacts with) Durable Persistent Media "
"46398","1.0","interacts with","Digital research methods (interacts with) Web Crawling ","false","interacts with","Digital research methods (interacts with) Web Crawling "
"46401","1.0","interacts with","Technology, Information en Communication (TIC)  (interacts with) Technology Preservation","false","interacts with","Technology, Information en Communication (TIC)  (interacts with) Technology Preservation"
"46404","1.0","interacts with","Information science (interacts with) Searching","false","interacts with","Information science (interacts with) Searching"
"46405","1.0","interacts with","Information science (interacts with) Web Crawling ","false","interacts with","Information science (interacts with) Web Crawling "
"46408","1.0","interacts with","Digitaal erfgoed (interacts with) Preservation Metadata ","false","interacts with","Digitaal erfgoed (interacts with) Preservation Metadata "
"46411","1.0","interacts with","Statistiek (interacts with) Linked Open Data","false","interacts with","Statistiek (interacts with) Linked Open Data"
"46414","1.0","interacts with","Geografie for the arts (interacts with) Georeferencing ","false","interacts with","Geografie for the arts (interacts with) Georeferencing "
"46416","1.0","interacts with","Databeheer en statistiek voor historici (interacts with) Linked Open Data","false","interacts with","Databeheer en statistiek voor historici (interacts with) Linked Open Data"
"46418","1.0","interacts with","Historische methoden, Module Historische cartografie en GIS (interacts with) Georeferencing ","false","interacts with","Historische methoden, Module Historische cartografie en GIS (interacts with) Georeferencing "
"46421","1.0","interacts with","Historische methoden, Module Prosopografie en sociale netwerkanalyse (interacts with) Photography","false","interacts with","Historische methoden, Module Prosopografie en sociale netwerkanalyse (interacts with) Photography"
"46423","1.0","interacts with","Laguage technology (interacts with) Georeferencing ","false","interacts with","Laguage technology (interacts with) Georeferencing "
"46425","1.0","interacts with","Terminologie en vertaaltechnologie (interacts with) Technology Preservation","false","interacts with","Terminologie en vertaaltechnologie (interacts with) Technology Preservation"
"46428","1.0","interacts with"," Archivistiek: Erfgoedbeheer en Hedendaags Documentbeheer (interacts with) Information Retrieval","false","interacts with"," Archivistiek: Erfgoedbeheer en Hedendaags Documentbeheer (interacts with) Information Retrieval"
"46430","1.0","interacts with","Business informatics (interacts with) Information Retrieval","false","interacts with","Business informatics (interacts with) Information Retrieval"
"46433","1.0","interacts with","Corpus Linguistics (interacts with) Machine Learning","false","interacts with","Corpus Linguistics (interacts with) Machine Learning"
"46435","1.0","interacts with","Language Data and Linguistic Objects (interacts with) Linked Open Data","false","interacts with","Language Data and Linguistic Objects (interacts with) Linked Open Data"
"46438","1.0","interacts with","Communicatiewetenschappelijk onderzoek I  (interacts with) Browsing","false","interacts with","Communicatiewetenschappelijk onderzoek I  (interacts with) Browsing"
"46439","1.0","interacts with","Communicatiewetenschappelijk onderzoek I  (interacts with) Web Crawling ","false","interacts with","Communicatiewetenschappelijk onderzoek I  (interacts with) Web Crawling "
"46442","1.0","interacts with","Informatica en statistiek toegepast op de archeologie (interacts with) Open Archival Information Systems","false","interacts with","Informatica en statistiek toegepast op de archeologie (interacts with) Open Archival Information Systems"
"46444","1.0","interacts with","Media Culture (interacts with) Durable Persistent Media ","false","interacts with","Media Culture (interacts with) Durable Persistent Media "
"46446","1.0","interacts with","Introductie in de Digital Humanities (interacts with) Information Retrieval","false","interacts with","Introductie in de Digital Humanities (interacts with) Information Retrieval"
"46448","1.0","interacts with","Artificial Intelligence (interacts with) Browsing","false","interacts with","Artificial Intelligence (interacts with) Browsing"
"46449","1.0","interacts with","Artificial Intelligence (interacts with) Searching","false","interacts with","Artificial Intelligence (interacts with) Searching"
"46452","1.0","interacts with","Game studies (interacts with) Gamification","false","interacts with","Game studies (interacts with) Gamification"
"46455","1.0","interacts with","Kunstmatige intelligentie (interacts with) Pattern Recognition","false","interacts with","Kunstmatige intelligentie (interacts with) Pattern Recognition"
"46457","1.0","interacts with","Game and media technology (interacts with) Gamification","false","interacts with","Game and media technology (interacts with) Gamification"
"46460","1.0","interacts with","Neuroscience and cognition (interacts with) Scanning","false","interacts with","Neuroscience and cognition (interacts with) Scanning"
"46462","1.0","interacts with","New media and digital culture (interacts with) Durable Persistent Media ","false","interacts with","New media and digital culture (interacts with) Durable Persistent Media "
"46464","1.0","interacts with","Media, Art and Performance Studies (interacts with) Durable Persistent Media ","false","interacts with","Media, Art and Performance Studies (interacts with) Durable Persistent Media "
"46466","1.0","interacts with","Utrecht data school (interacts with) Linked Open Data","false","interacts with","Utrecht data school (interacts with) Linked Open Data"
"46468","1.0","interacts with","Media and Information (track New Media and Digital Culture) (interacts with) Durable Persistent Media ","false","interacts with","Media and Information (track New Media and Digital Culture) (interacts with) Durable Persistent Media "
"46470","1.0","interacts with","Digital Humanities (interacts with) Information Retrieval","false","interacts with","Digital Humanities (interacts with) Information Retrieval"
"46472","1.0","interacts with","Media Studies: Book and Digital Media Studies (interacts with) Durable Persistent Media ","false","interacts with","Media Studies: Book and Digital Media Studies (interacts with) Durable Persistent Media "
"46473","1.0","interacts with","Media Studies: Book and Digital Media Studies (interacts with) Web Crawling ","false","interacts with","Media Studies: Book and Digital Media Studies (interacts with) Web Crawling "
"46475","1.0","interacts with","Digital Humanities1 (interacts with) Information Retrieval","false","interacts with","Digital Humanities1 (interacts with) Information Retrieval"
"46477","1.0","interacts with","Ontwikkeling, gebruik en beleid van nieuwe media (interacts with) Durable Persistent Media ","false","interacts with","Ontwikkeling, gebruik en beleid van nieuwe media (interacts with) Durable Persistent Media "
"46479","1.0","interacts with","Advanced theoretical debates: digital media marketing (interacts with) Information Retrieval","false","interacts with","Advanced theoretical debates: digital media marketing (interacts with) Information Retrieval"
"46480","1.0","interacts with","Advanced theoretical debates: digital media marketing (interacts with) Linked Open Data","false","interacts with","Advanced theoretical debates: digital media marketing (interacts with) Linked Open Data"
"46482","1.0","interacts with","Users and innovation in new media (interacts with) Durable Persistent Media ","false","interacts with","Users and innovation in new media (interacts with) Durable Persistent Media "
"46485","1.0","interacts with","Joint Bachelor of Arts - combined course, incl. Digital Philology (interacts with) Concordancing ","false","interacts with","Joint Bachelor of Arts - combined course, incl. Digital Philology (interacts with) Concordancing "
"46488","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Collocation Analysis ","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Collocation Analysis "
