"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","degree.layout","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"46394","1.0","0.0","1.0","0.0","2","1","2","0","false","Digital research methods","25.5","2","0","false","0","Digital research methods","0"
"46395","0.0","0.0","0.0","0.0","20","0","20","20","false","Durable Persistent Media ","8.9","0","0","false","0","Durable Persistent Media ","0"
"46397","0.0","0.0","0.0","0.0","33","0","33","33","false","Web Crawling ","12.451612903225806","0","1","false","0","Web Crawling ","0"
"46399","1.0","0.0","1.0","0.0","1","1","1","0","false","Technology, Information en Communication (TIC) ","26.0","1","0","false","0","Technology, Information en Communication (TIC) ","0"
"46400","0.0","0.0","0.0","0.0","26","0","26","26","false","Technology Preservation","11.76923076923077","0","0","false","0","Technology Preservation","0"
"46402","1.0","0.0","1.0","0.0","2","1","2","0","false","Information science","61.0","2","0","false","0","Information science","0"
"46403","0.0","0.0","0.0","0.0","96","0","96","96","false","Searching","10.054945054945055","0","2","false","0","Searching","0"
"46406","1.0","0.0","1.0","0.0","1","1","1","0","false","Digitaal erfgoed","68.0","1","0","false","0","Digitaal erfgoed","0"
"46407","0.0","0.0","0.0","0.0","69","0","69","69","false","Preservation Metadata ","11.691176470588236","0","1","false","0","Preservation Metadata ","0"
"46409","1.0","0.0","1.0","0.0","1","1","1","0","false","Statistiek","93.0","1","0","false","0","Statistiek","0"
"46410","0.0","0.0","0.0","0.0","97","0","97","97","false","Linked Open Data","9.580645161290322","0","1","false","0","Linked Open Data","0"
"46412","1.0","0.0","1.0","0.0","1","1","1","0","false","Geografie for the arts","77.0","1","0","false","0","Geografie for the arts","0"
"46413","0.0","0.0","0.0","0.0","80","0","80","80","false","Georeferencing ","9.909090909090908","0","2","false","0","Georeferencing ","0"
"46415","1.0","0.0","1.0","0.0","1","1","1","0","false","Databeheer en statistiek voor historici","93.0","1","0","false","0","Databeheer en statistiek voor historici","0"
"46417","1.0","0.0","1.0","0.0","1","1","1","0","false","Historische methoden, Module Historische cartografie en GIS","77.0","1","0","false","0","Historische methoden, Module Historische cartografie en GIS","0"
"46419","1.0","0.0","1.0","0.0","1","1","1","0","false","Historische methoden, Module Prosopografie en sociale netwerkanalyse","37.0","1","0","false","0","Historische methoden, Module Prosopografie en sociale netwerkanalyse","0"
"46420","0.0","0.0","0.0","0.0","37","0","37","37","false","Photography","10.27027027027027","0","0","false","0","Photography","0"
"46422","1.0","0.0","1.0","0.0","1","1","1","0","false","Laguage technology","77.0","1","0","false","0","Laguage technology","0"
"46424","1.0","0.0","1.0","0.0","1","1","1","0","false","Terminologie en vertaaltechnologie","26.0","1","0","false","0","Terminologie en vertaaltechnologie","0"
"46426","1.0","0.0","1.0","0.0","1","1","1","0","false"," Archivistiek: Erfgoedbeheer en Hedendaags Documentbeheer","126.0","1","0","false","0"," Archivistiek: Erfgoedbeheer en Hedendaags Documentbeheer","0"
"46427","0.0","0.0","0.0","0.0","135","0","135","135","false","Information Retrieval","8.484126984126984","0","2","false","0","Information Retrieval","0"
"46429","1.0","0.0","1.0","0.0","1","1","1","0","false","Business informatics","126.0","1","0","false","0","Business informatics","0"
"46431","1.0","0.0","1.0","0.0","1","1","1","0","false","Corpus Linguistics","50.0","1","0","false","0","Corpus Linguistics","0"
"46432","0.0","0.0","0.0","0.0","55","0","55","55","false","Machine Learning","11.98","0","1","false","0","Machine Learning","0"
"46434","1.0","0.0","1.0","0.0","1","1","1","0","false","Language Data and Linguistic Objects","93.0","1","0","false","0","Language Data and Linguistic Objects","0"
"46436","1.0","0.0","1.0","0.0","2","1","2","0","false","Communicatiewetenschappelijk onderzoek I ","43.0","2","0","false","0","Communicatiewetenschappelijk onderzoek I ","0"
"46437","0.0","0.0","0.0","0.0","55","0","55","55","false","Browsing","11.6","0","0","false","0","Browsing","0"
"46440","1.0","0.0","1.0","0.0","1","1","1","0","false","Informatica en statistiek toegepast op de archeologie","42.0","1","0","false","0","Informatica en statistiek toegepast op de archeologie","0"
"46441","0.0","0.0","0.0","0.0","42","0","42","42","false","Open Archival Information Systems","10.30952380952381","0","0","false","0","Open Archival Information Systems","0"
"46443","1.0","0.0","1.0","0.0","1","1","1","0","false","Media Culture","20.0","1","0","false","0","Media Culture","0"
"46445","1.0","0.0","1.0","0.0","1","1","1","0","false","Introductie in de Digital Humanities","126.0","1","0","false","0","Introductie in de Digital Humanities","0"
"46447","1.0","0.0","1.0","0.0","2","1","2","0","false","Artificial Intelligence","73.0","2","0","false","0","Artificial Intelligence","0"
"46450","1.0","0.0","1.0","0.0","1","1","1","0","false","Game studies","32.0","1","0","false","0","Game studies","0"
"46451","0.0","0.0","0.0","0.0","34","0","34","34","false","Gamification","13.96875","0","1","false","0","Gamification","0"
"46453","1.0","0.0","1.0","0.0","1","1","1","0","false","Kunstmatige intelligentie","44.0","1","0","false","0","Kunstmatige intelligentie","0"
"46454","0.0","0.0","0.0","0.0","46","0","46","46","false","Pattern Recognition","12.386363636363637","0","1","false","0","Pattern Recognition","0"
"46456","1.0","0.0","1.0","0.0","1","1","1","0","false","Game and media technology","32.0","1","0","false","0","Game and media technology","0"
"46458","1.0","0.0","1.0","0.0","1","1","1","0","false","Neuroscience and cognition","65.0","1","0","false","0","Neuroscience and cognition","0"
"46459","0.0","0.0","0.0","0.0","69","0","69","69","false","Scanning","10.246153846153845","0","2","false","0","Scanning","0"
"46461","1.0","0.0","1.0","0.0","1","1","1","0","false","New media and digital culture","20.0","1","0","false","0","New media and digital culture","0"
"46463","1.0","0.0","1.0","0.0","1","1","1","0","false","Media, Art and Performance Studies","20.0","1","0","false","0","Media, Art and Performance Studies","0"
"46465","1.0","0.0","1.0","0.0","1","1","1","0","false","Utrecht data school","93.0","1","0","false","0","Utrecht data school","0"
"46467","1.0","0.0","1.0","0.0","1","1","1","0","false","Media and Information (track New Media and Digital Culture)","20.0","1","0","false","0","Media and Information (track New Media and Digital Culture)","0"
"46469","1.0","0.0","1.0","0.0","1","1","1","0","false","Digital Humanities","126.0","1","0","false","0","Digital Humanities","0"
"46471","1.0","0.0","1.0","0.0","2","1","2","0","false","Media Studies: Book and Digital Media Studies","25.5","2","0","false","0","Media Studies: Book and Digital Media Studies","0"
"46474","1.0","0.0","1.0","0.0","100","1","100","0","false","Digital Humanities1","52.233333333333334","100","22","false","0","Digital Humanities1","0"
"46476","1.0","0.0","1.0","0.0","1","1","1","0","false","Ontwikkeling, gebruik en beleid van nieuwe media","20.0","1","0","false","0","Ontwikkeling, gebruik en beleid van nieuwe media","0"
"46478","1.0","0.0","1.0","0.0","2","1","2","0","false","Advanced theoretical debates: digital media marketing","109.5","2","0","false","0","Advanced theoretical debates: digital media marketing","0"
"46481","1.0","0.0","1.0","0.0","1","1","1","0","false","Users and innovation in new media","20.0","1","0","false","0","Users and innovation in new media","0"
"46483","1.0","0.0","1.0","0.0","1","1","1","0","false","Joint Bachelor of Arts - combined course, incl. Digital Philology","45.0","1","0","false","0","Joint Bachelor of Arts - combined course, incl. Digital Philology","0"
"46484","0.0","0.0","0.0","0.0","48","0","48","48","false","Concordancing ","9.4","0","1","false","0","Concordancing ","0"
"46486","1.0","0.0","1.0","0.0","14","1","14","0","false","Master of Arts Linguistic and Literary Computing","56.57142857142857","14","0","false","0","Master of Arts Linguistic and Literary Computing","0"
"46487","0.0","0.0","0.0","0.0","45","0","45","45","false","Collocation Analysis ","10.833333333333334","0","1","false","0","Collocation Analysis ","0"
"46489","0.0","0.0","0.0","0.0","29","0","29","29","false","Commenting","11.931034482758621","0","0","false","0","Commenting","0"
"46492","0.0","0.0","0.0","0.0","121","0","121","121","false","Encoding","8.63063063063063","0","1","false","0","Encoding","0"
"46495","0.0","0.0","0.0","0.0","56","0","56","56","false","Named Entity Recognition ","11.222222222222221","0","1","false","0","Named Entity Recognition ","0"
"46498","0.0","0.0","0.0","0.0","52","0","52","52","false","POS-Tagging","9.653846153846153","0","0","false","0","POS-Tagging","0"
"46501","0.0","0.0","0.0","0.0","17","0","17","17","false","Principal Component Analysis","14.6875","0","1","false","0","Principal Component Analysis","0"
"46505","0.0","0.0","0.0","0.0","28","0","28","28","false","Sentiment Analysis ","14.23076923076923","0","1","false","0","Sentiment Analysis ","0"
"46507","0.0","0.0","0.0","0.0","65","0","65","65","false","Topic Modeling","11.303571428571429","0","2","false","0","Topic Modeling","0"
"46509","1.0","0.0","1.0","0.0","1","1","1","0","false","Computerlinguistik und Texttechnologie","45.0","1","0","false","0","Computerlinguistik und Texttechnologie","0"
"46511","1.0","0.0","1.0","0.0","1","1","1","0","false","Sprachtechnologie und Fremdsprachendidaktik","126.0","1","0","false","0","Sprachtechnologie und Fremdsprachendidaktik","0"
"46513","1.0","0.0","1.0","0.0","5","1","5","0","false","Computerlinguistk","67.6","5","0","false","0","Computerlinguistk","0"
"46518","0.0","0.0","0.0","0.0","112","0","112","112","false","Text Mining","9.35576923076923","0","2","false","0","Text Mining","0"
"46522","1.0","0.0","1.0","0.0","1","1","1","0","false","Informatique et Sciences sociales (DCISS)","126.0","1","0","false","0","Informatique et Sciences sociales (DCISS)","0"
"46524","1.0","0.0","1.0","0.0","10","1","10","0","false","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â»","81.9","10","0","false","0","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â»","0"
"46528","0.0","0.0","0.0","0.0","81","0","81","81","false","Mapping","10.506666666666666","0","2","false","0","Mapping","0"
"46536","1.0","0.0","1.0","0.0","1","1","1","0","false","Analyse et structuration des donnÃ©es historiques","31.0","1","0","false","0","Analyse et structuration des donnÃ©es historiques","0"
"46538","1.0","0.0","1.0","0.0","6","1","6","0","false","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities)","74.66666666666667","6","0","false","0","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities)","0"
"46539","0.0","0.0","0.0","0.0","8","0","8","8","false","Bit Stream Preservation ","12.375","0","0","false","0","Bit Stream Preservation ","0"
"46546","1.0","0.0","1.0","0.0","4","1","4","0","false","Zertifikat ""Digital Humanities""","48.75","4","0","false","0","Zertifikat ""Digital Humanities""","0"
"46547","0.0","0.0","0.0","0.0","47","0","47","47","false","Brainstorming","8.28888888888889","0","2","false","0","Brainstorming","0"
"46553","1.0","0.0","1.0","0.0","1","1","1","0","false","3D / VR Systeme","45.0","1","0","false","0","3D / VR Systeme","0"
"46555","1.0","0.0","1.0","0.0","1","1","1","0","false","ReprÃ¤sentation von Daten und Information - ein praktischer Einstieg in die Datenvisualisierung mit JavaScript","77.0","1","0","false","0","ReprÃ¤sentation von Daten und Information - ein praktischer Einstieg in die Datenvisualisierung mit JavaScript","0"
"46557","1.0","0.0","1.0","0.0","5","1","5","0","false","Experto en Humanidades Digitales","85.4","5","0","false","0","Experto en Humanidades Digitales","0"
"46563","1.0","0.0","1.0","0.0","1","1","1","0","false","Swiss DH Summer School","10.0","1","0","false","0","Swiss DH Summer School","0"
"46564","0.0","0.0","0.0","0.0","10","0","10","10","false","Emulation ","14.7","0","0","false","0","Emulation ","0"
"46566","1.0","0.0","1.0","0.0","3","1","3","0","false","Digital publishing","55.333333333333336","3","0","false","0","Digital publishing","0"
"46570","1.0","0.0","1.0","0.0","1","1","1","0","false","Internettechnologien I: Grundlagen des Internets","93.0","1","0","false","0","Internettechnologien I: Grundlagen des Internets","0"
"46572","1.0","0.0","1.0","0.0","3","1","3","0","false","Computergrafik mit WebGL","98.0","3","0","false","0","Computergrafik mit WebGL","0"
"46576","1.0","0.0","1.0","0.0","2","1","2","0","false","Fotografie","51.0","2","0","false","0","Fotografie","0"
