Name,University,Place,Date,Type
"Master ""Technologies des Langues""",Université de Strasbourg,"Strasbourg,
France","1 Sept recurring
2 years",Master Programme
Digital Scholarship and Skills Workshop Series,Trinity College Dublin,"Dublin,
Ireland",3 months,Module
Introduction in Digital Humanities,Universität Bern,"Bern,
Switzerland",1 semester,Course
Course Explore the Digital Humanities,CAICYT,"Buenos Aires (CABA),
Argentina",5 days,Course
Virtual Course: Explore the Digital Humanities,CAICYT,"Buenos Aires (CABA),
Argentina",36 days,Course
History and the digital,Ecole Polytechnique Fédérale de Lausanne,"Lausanne,
Switzerland","1 Feb recurring
1 semester",Course
Digital History Methods and Practice,San Francisco State University,"San Francisco,
United States of America","2 Aug recurring
1 semester",Bachelor Programme
PhD in Humanities and Technologies,University of Macerata,"Macerata,
Italy",3 years,PhD Programme
Archival and Information Studies (Media Studies),Universiteit van Amsterdam,"Amsterdam,
Netherlands","2 Sept recurring
2 years",Master Programme
Media and Information,Universiteit van Amsterdam,"Amsterdam,
Netherlands","2 Sept recurring
3 years",Bachelor Programme
Artificial Intelligence,Universiteit van Amsterdam,"Amsterdam,
Netherlands","2 Sept recurring
2 years",Master Programme
Kunstmatige intelligentie,Universiteit van Amsterdam,"Amsterdam,
Netherlands","2 Sept recurring
2 years",Bachelor Programme
Logic,Universiteit van Amsterdam,"Amsterdam,
Netherlands","2 Sept recurring
3 years",Master Programme
"INPACT - Engineering and Digital for Heritage, Art and Culture",École centrale de Nantes,"Nantes,
France","1 Sept recurring
6 months",Master Programme
ACDH Tool Gallery,ACDH-ÖAW,"Vienna,
Austria","3 May recurring
1 days",Continuing Education
Technologies numériques appliquées à l'histoire,École nationale des chartes,"Paris,
France","1 Oct recurring
1 years",Research Master
Master Digital and computational humanities,Université Paris Sciences et Lettres (PSL),"Paris,
France","5 Sept recurring
1 years",Master Programme
Specialisation in Digital Humanities in the Applied Compute ...,Georg-August-Universität Göttingen,"Göttingen,
Germany","3 Oct recurring
4 semester",Master Programme
"Digital Humanities, interdisciplinary programme",University of Nova Gorica,"Nova Gorica,
Slovenia",1 Oct recurring,Master Programme
