Journal;Pre2010;Post2010;Tot;Percofpost
Computerandthehumanities;1465;0;1465;0
AI _ SOCIETY;869;676;1545;43.75404531
Computational Linguistics;455;373;828;45.04830918
D-Lib Magazine;736;376;1112;33.81294964
Digital Medievalist;0;73;73;100
Digital Scholarship in the Humanities (DSH);50;462;512;90.234375
Digital Studies - Le champ numérique;0;257;257;100
Digitális Bölcsészet - Digital Humanities;0;28;28;100
Frontiers in Digital Humanities;0;86;86;100
INTERNATIONAL JOURNAL OF DIGITAL CURATION;0;438;438;100
International Journal of Digital Humanities;0;24;24;100
International Journal of Humanities and Arts Computing;39;258;297;86.86868687
International Journal on Digital Libraries;150;227;377;60.21220159
Journal of Cultural Analytics;0;36;36;100
Journal of Library Metadata;35;164;199;82.4120603
Journal of Quantitative Linguistics;368;236;604;39.07284768
Journal of the Japanese Association for Digital Humanities;0;27;27;100
Journal of the Text Encoding Initiative;0;102;102;100
Journal on Computing and Cultural Heritage (JOCCH);0;7;7;100
Language Resources and Evaluation;41;371;412;90.04854369
Literary and Linguistics Computing;1171;277;1448;19.12983425
Revista de humanidades digitales;0;70;70;100
Virtual Archaeology Review;0;384;384;100
Total;5379;4952;10331;47.93340432
