AA.DAfN,AW,DOI,F.FN
"Agder University College;; Agder University College;; Agder University College","article;; seeks;; develop;; theory;; reflexive;; democracy;; practical;; action;; research;; regional;; development;; reference;; coalitions;; located;; context;; debate;; scandinavian;; worklife;; emphasising;; knowledge;; dialogue;; legitimacy","10.1007/s00146-005-0326-5","socioeconomics;; regional development;; reflexivity;; public administration;; legitimacy;; knowledge management;; democracy;; computer science;; co operation;; action research"
"","","10.1007/s00146-005-0008-3","performing arts;; knowledge management;; computer science"
"Annamalai University;; Annamalai University","computed;; tomography;; images;; widely;; diagnosis;; intracranial;; hematoma;; hemorrhage;; paper;; approach;; automated;; classification;; normal;; abnormal;; consists;; enhanced;; four;; stages;; namely;; pre;; processing;; feature;; extraction;; reduction;; discrete;; wavelet;; transform;; coefficients;; features;; extracted;; essential;; selected;; principal;; component;; derived;; train;; binary;; classifier;; infer;; automatically;; image;; brain;; pathological;; suffering;; lesion;; dataset;; 80;; success;; 92;; 97;; 98;; artificial;; neural;; network;; k;; nearest;; neighbor;; support;; vector;; machine;; respectively;; shows;; technique;; robust;; effective","10.1007/s00146-013-0442-6","k nearest neighbors algorithm;; support vector machine;; principal component analysis;; pattern recognition;; feature extraction;; discrete wavelet transform;; computer vision;; computer science;; computed tomography;; binary classification;; artificial neural network;; artificial intelligence"
"University of Tampere","article;; discusses;; background;; nature;; application;; concept;; ubiquitous;; city;; presenting;; u;; initiatives;; affluent;; techno;; savvy;; cities;; asia;; west;; special;; reference;; case;; south;; korea;; focus;; technologies;; utilised;; developing;; urban;; infrastructure;; town;; planning;; street;; property;; maintenance;; water;; supply;; public;; transportation;; environmental;; protection;; emerging;; expected;; provide;; everyone;; opportunity;; access;; services;; help;; order;; become;; reality;; requires;; kind;; democratisation;; technology;; neglected;; topic;; discourse;; important;; analyse;; developments;; point;; view;; production;; space;; potential;; colonisation;; everyday;; life;; theoretically;; speaking;; one;; answer;; compelling;; questions;; rationale;; development;; sought;; idea;; right;; slogan;; originally;; coined;; henri;; lefebvre;; approach;; highlights;; importance;; involving;; people;; envisioning;; future;; form;; starting;; perspective;; dimension;; more;; prominent;; role;; current","10.1007/s00146-013-0443-5","water supply;; urban planning;; socioeconomics;; slogan;; right to the city;; public transport;; public relations;; knowledge management;; everyday life;; enabling;; democratization;; computer science"
"University of Twente;; Kyoto University","","10.1007/s00146-005-0010-9","social intelligence;; mediated communication;; knowledge management;; computer science"
"Kingston University","","10.1007/s00146-005-0328-3","work organisation;; regional development;; performing arts;; mobile technology;; knowledge management;; computer science"
"DuckDriver Ltd","","10.1007/s00146-005-0332-7","performing arts;; knowledge management;; computer science"
"University of Sunderland","mainly;; basis;; eeurope;; surveys;; variety;; information;; society;; developments;; paths;; central;; european;; countries;; analysed;; focusing;; ict;; infrastructure;; internet;; usage;; commerce;; digital;; divides;; despite;; big;; progress;; transition;; began;; lag;; behind;; eu;; 15;; average;; indicators;; europe;; enormous;; slovenia;; estonia;; close;; main;; stream;; hand;; bulgaria;; romania;; hungary;; lagging;; far;; surveyed;; fixed;; telephone;; line;; penetration;; stagnating;; declining;; rather;; low;; level;; putting;; break;; development;; makes;; alternative;; access;; devices;; cable;; tv;; modem;; even;; more;; important","10.1007/s00146-005-0317-6","the internet;; telephone line;; telecommunications;; lagging;; knowledge management;; information society;; information and communications technology;; e commerce;; computer science"
"Bizintel Ltd.;; Kingston University","article;; reports;; feasibility;; healthy;; working;; centres;; employees;; different;; companies;; work;; shared;; premises;; close;; home;; reducing;; commuting;; taking;; account;; environmental;; issues","10.1007/s00146-005-0319-4","work organisation;; socioeconomics;; social capital;; public relations;; knowledge management;; computer science;; action research"
"University of Twente;; University of Twente;; University of Twente","paper;; survey;; research;; smart;; meeting;; rooms;; relevance;; augmented;; reality;; support;; virtual;; generation;; meetings;; real;; time;; off;; line;; forms;; part;; european;; 5th;; 6th;; framework;; programme;; projects;; multi;; modal;; manager;; m4;; party;; interaction;; ami;; both;; aim;; building;; environment;; able;; collect;; multimodal;; captures;; activities;; discussions;; room;; information;; input;; tools;; allow;; browsing;; retrieval;; summarization;; semantic;; representations;; takes;; place;; order;; g;; presentations;; voting;; etc;; so;; allows;; us;; look;; provide;; physically;; take;; way;; may;; lead;; situations;; differences;; participants;; human;; controlled;; semi;; autonomous;; disappear","10.1007/s00146-005-0016-3","voting;; virtual reality;; smart environment;; performing arts;; multimedia;; human computer interaction;; computer science;; automatic summarization;; augmented reality;; ambient intelligence"
