AA.DAfN,AW,DOI,F.FN
"Kingston Business School","","10.1007/s00146-003-0245-2","world wide web;; media studies;; knowledge management;; intelligent agent;; computer science"
"Istituto per il Lavoro, Via Marconi 8, 40122 Bologna, Italy#TAB#;; Technical University of Denmark","","10.1007/s00146-003-0272-z","performing arts;; knowledge management;; computer science;; action research"
"Kingston Business School","","10.1007/s00146-003-0244-3","software;; performing arts;; management science;; library science;; history of computing;; computer science"
"via Marconi 8, Italy, 40122 Bologna#TAB#;; via Marconi 8, Italy, 40122 Bologna#TAB#","paper;; authors;; starting;; experience;; commented;; earlier;; work;; mancini;; sbordone;; deal;; three;; main;; epistemological;; problems;; research;; group;; participated;; face;; conflicting;; ambiguous;; relationship;; psychoanalysis;; social;; researchthe;; classical;; problem;; subject;; object;; perspective;; action;; arising;; risk;; manipulation;; way;; epistemic;; perspectivethe;; dealt;; one;; time;; common;; attempt;; integrate;; richness;; variety;; human;; subjectivity;; special;; section;; devoted;; implications;; integrated;; convergent;; methodology;; team;; working;; organisations","10.1007/s00146-003-0273-y","subjectivity;; special section;; sociology;; social research;; epistemology;; dialectic;; action research"
"Technical University of Denmark","article;; focus;; paradigms;; methods;; ethics;; action;; research;; scandinavian;; countries;; specific;; features;; paradigm;; identified;; historical;; overview;; follows;; main;; projects;; norway;; sweden;; denmark;; tendency;; towards;; upscale;; organisational;; small;; community;; large;; scale;; regional;; network;; approaches;; outlined;; finally;; synthesised;; approach;; classical;; socio;; technical;; holistic;; suggested;; promising;; future","10.1007/s00146-003-0269-7","scenario analysis;; performing arts;; management science;; knowledge management;; computer science;; action research"
"Stanford University;; ETH Zentrum, Department of Computer Science, Switzerland#TAB#","skilled;; cooperative;; action;; means;; able;; understand;; communicative;; situation;; know;; respond;; appropriately;; purpose;; hand;; skill;; performance;; knowledge;; co;; form;; social;; intelligence;; sustainable;; interaction;; denotes;; ability;; actors;; agents;; manage;; relationships;; environment;; people;; tools;; artefacts;; technologies;; engage;; let;; us;; consider;; dynamic;; representations;; becomes;; enacted;; communicate;; effectively;; invisible;; challenge;; design;; create;; mediating;; interfaces;; become;; extension;; ourselves;; paper;; way;; surfaces;; afford;; graphical;; collaborative;; tasks;; order;; inform;; intelligent;; user;; descriptive;; rather;; usability;; explore;; size;; orientation;; horizontal;; vertical;; positioning;; influences;; functionality;; surface;; setting","10.1007/s00146-003-0295-5","user interface;; usability;; social intelligence;; performing arts;; knowledge management;; know how;; human computer interaction;; horizontal and vertical;; descriptive research;; computer science;; collaborative design"
"Richard Adams, 7 Lakeside, KT13 9JB, Weybridge, Surrey, UK#TAB#","digital;; media;; getting;; smarter;; home;; electrical;; goods;; article;; explores;; one;; aspect;; content;; beginning;; reflect;; advertising;; becoming;; increasingly;; important;; advertisers;; target;; consumers;; individuals;; communities;; interest;; rather;; demographic;; impact;; smart;; systems;; artificial;; intelligence;; ai;; examines;; different;; approaches;; creating;; intelligent;; behaviour;; fast;; guiding;; principle;; forms","10.1007/s00146-003-0259-9","smart system;; digital media;; computer science;; advertising"
"Linden, Walford Road, HR9 5PQ, Ross-on-Wye, UK#TAB#","nascent;; science;; sixteenth;; century;; rejected;; explanations;; terms;; purpose;; favour;; causality;; bias;; persisted;; grown;; stronger;; unfortunate;; consequences;; areas;; social;; ethical;; considerations;; prevail;; paper;; describes;; search;; extending;; over;; 20;; years;; way;; avoided","10.1007/s00146-003-0293-7","sociology;; social science;; management science;; job design;; epistemology;; causality"
"Sercon GmbH, Eschborn, Frankfurt am Main, Germany","economic;; processes;; increasingly;; networked;; across;; globe;; globalisation;; become;; information;; communication;; technology;; networks;; view;; growing;; region;; enterprises;; sustain;; competitiveness;; basis;; continuous;; innovation;; learning;; question;; kind;; framework;; established;; regional;; transregional;; politics;; needed;; support;; paper;; aspects;; structural;; change;; leading;; strategy;; implement;; concept;; characterised;; recognises;; own;; needs;; accept;; challenges;; cooperative","10.1007/s001460200019","politics;; performing arts;; knowledge management;; information and communications technology;; globe;; globalization;; economic globalization;; economic framework;; computer science"
"University of Brighton","knowledge;; networking;; cross;; cultural;; setting;; focuses;; promoting;; culture;; shared;; communication;; values;; seeking;; cooperation;; valorisation;; diversity;; process;; seen;; terms;; creating;; alliances;; creators;; users;; mediators;; facilitators;; global;; level;; symbiotic;; relationship;; local;; resources;; focus;; informed;; human;; centred;; vision;; information;; society;; seeks;; technology;; explores;; nature;; transition;; raising;; issues;; transfer;; context;; notions;; machine;; symbiosis;; coherence;; provide;; handle;; explore;; role;; sustainable;; development;; centrality;; stimulating;; collaboration;; illustrated;; exemplar;; eu;; india;; innovation;; network;; project;; european;; indian;; universities;; institutes","10.1007/s001460200021","personal knowledge management;; organizational learning;; management science;; knowledge value chain;; knowledge transfer;; knowledge management;; knowledge integration;; knowledge engineering;; knowledge economy;; domain knowledge;; computer science"
"Fondazione Istituto per il Lavoro, Bologna, Italy","notes;; brief;; description;; developments;; regions;; taking;; account;; impact;; global;; business;; regional;; processes;; example;; basis;; discussion;; region;; bologna;; italy;; analyse;; several;; theoretical;; concepts;; reflect;; widespread;; commitment;; different;; authors;; common;; cause;; concern","10.1007/s001460200020","sociology;; social science;; performing arts;; management science;; global business;; engineering ethics;; critical reflection;; common cause and special cause"
"RWTH Aachen University","narrative;; describes;; german;; electrical;; engineer;; kurt;; beyer;; micro;; entrepreneur;; he;; set;; himself;; goal;; sailing;; around;; world;; his;; own;; vessel;; without;; able;; afford;; buy;; ship;; people;; germany;; years;; started;; build;; sea;; going;; vessels;; order;; escape;; creativity;; stifling;; restrictive;; patterns;; lives;; work;; few;; ever;; finished;; building;; firstly;; experiences;; one;; secondly;; tells;; story;; turned;; period;; yacht;; later;; charter;; enterprise;; centred;; following;; model;; entrepreneurship;; dassen;; housen;; issue;; ai;; society;; illustrates;; means;; run;; view;; international;; competition;; follows;; builder;; translated;; d;; brandt","10.1007/s001460200022","sociology;; performing arts;; narrative;; management;; making of;; knowledge management;; german;; entrepreneurship;; charter;; artificial intelligence"
"Kingston University","","10.1007/s001460200024","knowledge management;; computer science"
"University of Wales","paper;; questions;; ability;; current;; university;; systems;; respond;; appropriately;; complex;; demands;; information;; economy;; argues;; relationships;; creative;; subjects;; technology;; require;; thinking;; nature;; purpose;; universities;; per;; attention;; drawn;; growing;; involvement;; private;; sector;; higher;; education;; argued;; may;; appropriate;; think;; future;; terms;; public;; quasi;; institutions;; rather;; emporium;; international;; trade;; educational;; services;; now;; understand;; occupying;; functions;; licensing;; quality;; assurance;; cultural;; custodianship","10.1007/s00146-002-0237-7","sociology;; public sector;; public relations;; private sector;; performing arts;; knowledge management;; information economy;; higher education;; e learning;; digital art;; business sector"
