AA.DAfN,AW,DOI,F.FN
"Dublin City University;; Dublin City University","developed;; example;; machine;; translation;; ebmt;; system;; uses;; world;; wide;; web;; two;; different;; purposes;; first;; populate;; memory;; translations;; gathered;; rule;; mt;; systems;; located;; source;; strings;; input;; extracted;; automatically;; extremely;; small;; subset;; types;; penn;; treebank;; subsequent;; stages;; target;; pairs;; transformed;; series;; resources;; render;; process;; more;; successful;; despite;; fact;; output;; line;; faulty;; number;; experiments;; seed;; memories;; prove;; useful;; generating;; high;; quality;; robust;; fashion;; addition;; relative;; gain;; comparison;; second;; perception;; documents;; questionable;; contrast;; postediting;; candidates","10.1162/089120103322711596","world wide web;; treebank;; transfer based machine translation;; the internet;; rule based machine translation;; postediting;; natural language processing;; machine translation;; example based machine translation;; computer science;; computational linguistics;; artificial intelligence"
"National University of Distance Education;; National University of Distance Education;; National University of Distance Education","describe;; algorithm;; combines;; lexical;; information;; wordnet;; 1;; 7;; web;; directories;; open;; directory;; project;; associate;; word;; senses;; associations;; rich;; characterizations;; acquire;; sense;; tagged;; corpora;; automatically;; cluster;; topically;; detect;; specializations;; 29;; nouns;; 147;; senseval;; 2;; competition;; obtaining;; 148;; covering;; 88;; domain;; specific;; test;; data;; 86;; accuracy;; richness;; supervised;; disambiguation;; task;; suite;; indicate;; association;; correct;; samples;; acquired;; nearly;; valid;; training;; original;; instances;; support;; hypothesis;; source;; cleaner;; more;; reliable;; structured;; full;; corpus","10.1162/089120103322711613","wordnet;; web directory;; the internet;; semeval;; noun;; natural language processing;; directory;; corpus linguistics;; computer science;; computational linguistics;; artificial intelligence"
"University of Southern California","","10.1162/089120103322711622","linguistics;; language acquisition;; computer science;; computational model;; cognitive science"
"Thomson Legal & Regulatory#TAB#","","10.1162/089120104773633411","computer science;; computational linguistics;; cognitive science"
"University of Sheffield;; Ohio State University","levin;; 1993;; verb;; classes;; widely;; resource;; lexical;; semantics;; her;; framework;; verbs;; give;; exhibit;; class;; ambiguity;; write;; several;; alternative;; extend;; inventory;; simple;; statistical;; model;; able;; generate;; preferences;; ambiguous;; without;; disambiguated;; corpus;; additionally;; show;; useful;; priors;; sense;; disambiguator","10.1162/089120104773633385","verb;; statistical model;; reflexive verb;; prior probability;; natural language processing;; linguistics;; lexical semantics;; computer science;; computational linguistics;; artificial intelligence;; applied linguistics;; ambiguity"
"City University of Hong Kong;; Tsinghua University;; City University of Hong Kong;; Tsinghua University","interested;; problem;; word;; extraction;; chinese;; text;; collections;; define;; meaningful;; string;; composed;; several;; characters;; example;; percent;; more;; recognized;; traditional;; words;; viewpoint;; people;; work;; widely;; specific;; meanings;; start;; distinguished;; linguistic;; entity;; different;; language;; environments;; consider;; directly;; predecessors;; successors;; important;; factors;; determining;; independence;; call;; accessors;; number;; distinct;; large;; corpus;; trec;; 5;; 6;; documents;; measurement;; context;; independency;; rest;; sentences;; document;; experiments;; confirm;; hypothesis;; show;; simple;; rule;; gives;; quite;; good;; comparable;; long;; outperforms;; iterative;; methods","10.1162/089120104773633394","string metric;; natural language processing;; linguistics;; iterative method;; corpus analysis;; computer science;; computational linguistics;; chinese word;; chinese characters;; artificial intelligence;; applied linguistics"
"Microsoft;; Microsoft","article;; proposes;; word;; translation;; disambiguation;; one;; uses;; machine;; learning;; technique;; called;; bilingual;; bootstrapping;; disambiguate;; words;; translated;; makes;; small;; amount;; classified;; data;; large;; unclassified;; both;; source;; target;; languages;; repeatedly;; constructs;; classifiers;; two;; parallel;; boosts;; performance;; classifying;; exchanging;; information;; regarding;; experimental;; indicate;; consistently;; significantly;; outperforms;; existing;; methods;; monolingual","10.1162/089120104773633367","speech recognition;; natural language processing;; machine translation;; computer science;; computational linguistics;; classifier;; bootstrapping;; bootstrapping;; artificial intelligence;; applied linguistics"
"Dartmouth College","origins;; articles;; preface;; 1;; history;; turing;; test;; b;; j;; copeland;; 50;; years;; later;; p;; saygin;; cicekli;; v;; akman;; 2;; interpretation;; two;; tests;; intelligence;; g;; sterrett;; right;; identification;; traiger;; rules;; imitation;; game;; piccinini;; 3;; criticism;; passing;; loebner;; case;; conflicting;; discourse;; functions;; zdenek;; constructibility;; artificial;; defined;; edmonds;; enough;; socialization;; talking;; machines;; m;; ronald;; 4;; defense;; pass;; w;; rapaport;; look;; moving;; goal;; posts;; now;; l;; hauser;; status;; future;; h;; moor;; 5;; alternatives;; creativity;; better;; lovelace;; bringsjord;; bello;; d;; ferrucci;; cartesian;; automatism;; erion;; minds;; harnad","10.1162/089120104773633420","wolfram s 2 state 3 symbol turing machine;; universal turing machine;; turing machine examples;; turing machine;; turing;; super recursive algorithm;; reverse turing test;; multitape turing machine;; computer science;; cognitive science;; artificial intelligence"
"Brandeis University","cormet;; corpus;; system;; discovering;; metaphorical;; mappings;; concepts;; finding;; systematic;; variations;; domain;; specific;; selectional;; preferences;; inferred;; large;; dynamically;; mined;; internet;; corpora;; metaphors;; transfer;; structure;; source;; target;; metaphorically;; equivalent;; verbs;; select;; concept;; tend;; regularity;; detectable;; shallow;; linguistic;; find;; interconcept;; infer;; existence;; higher;; level;; conventional;; computational;; metaphor;; systems;; small;; hand;; coded;; semantic;; knowledge;; bases;; work;; few;; examples;; base;; wordnet;; fellbaum;; 1998;; constituting;; recognize;; sentences;; instantiating;; tested;; ability;; subset;; master;; list;; lakoff;; espenson;; schwartz;; 1991","10.1162/089120104773633376","wordnet;; the internet;; semantic memory;; natural language processing;; metaphor;; knowledge base;; knowledge acquisition;; computer science;; computational linguistics;; artificial intelligence;; applied linguistics"
"University of Rome Tor Vergata","","10.1162/089120103322753374","support vector machine;; computer science;; artificial intelligence"
