AA.DAfN,AW,DOI,F.FN
"University of Edinburgh;; University of Stuttgart;; University of Stuttgart;; University of Edinburgh","nite;; xml;; toolkit;; nxt;; open;; source;; software;; working;; language;; corpora;; strengths;; multimodal;; heavily;; cross;; annotated;; data;; sets;; annotations;; types;; attribute;; value;; pairs;; relate;; signal;; via;; start;; end;; times;; representations;; external;; environment;; arbitrary;; graph;; structure;; multi;; rooted;; tree;; characterized;; both;; temporal;; structural;; orderings;; simple;; queries;; express;; variable;; bindings;; n;; tuples;; objects;; optionally;; constrained;; type;; give;; set;; conditions;; combined;; boolean;; operators;; defined;; condition;; tests;; allow;; full;; access;; timing;; properties;; model;; complex;; query;; facility;; passes;; one;; another;; filtering;; returning;; addition;; describing;; nxtÈ�9s;; core;; handling;; search;; capabilities;; explain;; stand;; off;; storage;; format;; employs;; illustrate;; examples;; early;; adopter;; technology","10.1007/s10579-006-9001-9","xml;; tree structure;; query language;; programming language;; operator;; natural language processing;; group method of data handling;; data model;; computer science;; computational linguistics;; boolean algebra;; artificial intelligence"
"University of Málaga;; University of Málaga","measure;; lexical;; repetition;; constitutes;; one;; variables;; determine;; richness;; literary;; texts;; value;; employed;; authorship;; attribution;; studies;; constants;; actually;; depend;; text;; length;; yule;; characteristic;; highly;; reliable;; independent;; aim;; paper;; questioning;; validity;; k;; repeat;; rate;; nor;; evaluate;; usefulness;; review;; accurate;; procedure;; calculate;; light;; lack;; standardization;; found;; specific;; literature;; same;; time;; peculiar;; calculation;; tact;; explained;; suggests;; certainly;; help","10.1007/s10579-005-8622-8","tact;; standardization;; speech recognition;; natural language processing;; linguistics;; lexical statistics;; lexical density;; computer science;; computational linguistics;; attribution;; artificial intelligence"
"Kyoto University;; Nagoya University;; University of Tsukuba","detecting;; idioms;; sentence;; important;; understanding;; paper;; discusses;; linguistic;; knowledge;; idiom;; detection;; challenges;; ambiguous;; literal;; idiomatic;; meanings;; transformed;; expressed;; little;; research;; japanese;; ambiguity;; transformations;; taken;; account;; propose;; set;; implemented;; dictionary;; measuring;; performance;; detector;; exploits;; more;; 90;; detected;; accuracy","10.1007/s10579-007-9024-x","word sense disambiguation;; sentence;; natural language processing;; linguistics;; computer science;; computational linguistics;; artificial intelligence;; ambiguity"
"Xi'an Jiaotong University;; University of Hertfordshire;; University of Hertfordshire","ferret;; copy;; detector;; 2001;; find;; plagiarism;; large;; collections;; students;; coursework;; english;; article;; reports;; extending;; application;; chinese;; experiments;; corpora;; collected;; two;; universities;; show;; both;; artificially;; constructed;; actually;; occurring;; previously;; undetected;; discuss;; issues;; representation;; focus;; effectiveness;; sub;; symbolic;; approach;; word;; boundaries;; first","10.1007/s10579-007-9020-1","speech recognition;; natural language processing;; linguistics;; coursework;; copy detection;; computer science;; computational linguistics;; artificial intelligence"
"Nagoya University;; Nagoya University;; ATR Spoken Language Communication Research Laboratories;; The National Institute for Japanese Language;; NHK Science & Technical Research Laboratories;; Aichi Prefectural University","spoken;; monologues;; feature;; greater;; sentence;; length;; structural;; complexity;; dialogues;; achieve;; high;; parsing;; performance;; simplifying;; structure;; dividing;; suitable;; language;; units;; prove;; effective;; paper;; proposes;; dependency;; japanese;; segmentation;; executed;; two;; stages;; clause;; level;; first;; dependencies;; identified;; clauses;; executing;; stochastic;; next;; across;; boundaries;; stochastically;; entire;; completed;; experiment;; monologue;; corpus;; shows;; effectiveness;; efficient;; sentences","10.1007/s10579-007-9023-y","spoken language;; speech recognition;; speech corpus;; sentence segmentation;; sentence;; natural language processing;; dependency structure;; dependency grammar;; computer science;; computational linguistics;; balanced sentence;; artificial intelligence"
"Radboud University Nijmegen;; Radboud University Nijmegen;; Radboud University Nijmegen","speech;; databases;; large;; spoken;; language;; corpora;; collected;; last;; fifteen;; years;; least;; partly;; annotated;; broad;; phonetic;; transcription;; transcriptions;; validated;; terms;; resemblance;; handcrafted;; reference;; two;; methodological;; issues;; questioning;; validation;; first;; fully;; represent;; truth;; calls;; question;; status;; single;; quality;; second;; generated;; serve;; purposes;; none;; same;; purpose;; mind;; development;; automatic;; recognition;; asr;; systems;; relationship;; performance;; seem;; straightforward;; verified;; justifiably;; similarity;; independent;; end;; canonical;; representations;; manually;; read;; spontaneous;; telephone;; dialogues;; one;; hand;; suitability;; whereas;; resembled;; closer;; both;; types;; yielded;; similar;; difference;; outcomes;; methods;; implications;; developers;; save;; themselves;; effort;; collecting;; expensive;; order;; validate;; preferably;; application;; higher;; guarantee;; better;; suited","10.1007/s10579-007-9033-9","validation methods;; transcription;; spoken language;; speech recognition;; speech processing;; speech corpus;; phonetic transcription;; natural language processing;; computer science;; computational linguistics;; artificial intelligence"
"Sangmyung University;; Korea University;; Korea University","paper;; propose;; segment;; annotation;; tool;; providing;; appropriate;; interactivity;; human;; annotator;; automatic;; parser;; preview;; complete;; sentence;; structure;; suggested;; updates;; whenever;; cancels;; selects;; segmentation;; point;; select;; proper;; segments;; maximizing;; parsing;; accuracy;; minimizing;; intervention;; experimental;; show;; allows;; able;; reduce;; approximately;; 39;; manual;; sejong;; korean;; treebank;; one;; large;; scale;; treebanks;; constructed","10.1007/s10579-007-9029-5","treebank;; sentence;; segmentation;; parsing;; natural language processing;; manual annotation;; interactivity;; information retrieval;; computer science;; computational linguistics;; artificial intelligence;; annotation"
"National Chi Nan University;; National Chi Nan University","hmm;; single;; character;; recovery;; scr;; model;; paper;; extract;; large;; set;; atomic;; abbreviations;; full;; forms;; text;; corpus;; abbreviation;; refers;; abbreviated;; word;; consisting;; chinese;; task;; important;; cannot;; enumerated;; exhaustively;; process;; compound;; words;; seems;; compositional;; one;; decode;; form;; dictionary;; may;; able;; handle;; multiple;; problems;; more;; easily;; property","10.1007/s10579-007-9026-8","text corpus;; speech recognition;; single character;; probabilistic logic;; natural language processing;; hidden markov model;; computer science;; computational linguistics;; compound;; artificial intelligence"
"Wuhan University;; Institute for Infocomm Research Singapore;; Wuhan University;; Wuhan University","paper;; propose;; word;; sense;; learning;; algorithm;; capable;; unsupervised;; feature;; selection;; cluster;; number;; identification;; built;; entropy;; filter;; formalized;; constraint;; optimization;; problem;; output;; set;; important;; features;; gaussian;; mixture;; model;; mdl;; criterion;; optimal;; order;; inferred;; minimizing;; evaluate;; closeness;; learned;; clusters;; ground;; truth;; classes;; introduce;; kind;; weighted;; f;; measure;; effort;; needed;; reconstruct;; experiments;; show;; retrieve;; roughly;; estimate;; class;; numbers;; automatically;; outperforms;; algorithms;; terms;; addition;; try;; apply;; specific;; task;; adding;; words;; chinese;; thesaurus","10.1007/s10579-007-9030-z","text processing;; pattern recognition;; natural language processing;; mixture model;; feature selection;; determining the number of clusters in a data set;; computer science;; computational linguistics;; cluster analysis;; cluster;; closeness;; artificial intelligence"
"Microsoft;; Microsoft","goal;; dialogue;; management;; spoken;; system;; take;; actions;; observations;; inferred;; beliefs;; ensure;; optimize;; performance;; robustness;; researchers;; turned;; reinforcement;; learning;; methods;; learn;; policies;; action;; selection;; derive;; optimal;; policy;; data;; dynamics;; represented;; markov;; decision;; process;; mdp;; assumes;; state;; depends;; previous;; article;; investigate;; constraining;; space;; assumption;; especially;; structure;; may;; unknown;; truly;; affords;; highest;; reward;; simulation;; experiments;; conducted;; context;; interacting;; speech;; enabled;; web;; browser;; models;; perform;; alternative;; model;; classifies;; total;; accumulating;; features;; discuss;; implications;; limitations","10.1007/s10579-006-9008-2","state space;; reinforcement learning;; partially observable markov decision process;; natural language processing;; markov property;; markov process;; markov model;; markov decision process;; computer science;; artificial intelligence;; action selection"
