AA.DAfN,AW,DOI,F.FN
"Dalhousie University;; Dalhousie University","reconstruct;; stemma;; kind;; statistical;; text;; tradition;; one;; needs;; accurate;; data;; variants;; occurring;; location;; witness;; usually;; computer;; collation;; programs;; existing;; collate;; every;; against;; base;; divide;; texts;; segments;; long;; longest;; variant;; phrase;; point;; methods;; give;; ideal;; reconstruction;; describe;; better;; algorithm;; progressive;; multiple;; alignment;; collates;; witnesses;; word;; without;; adding;; groups;; time;; starting;; closely;; pair","10.1007/s10579-004-8682-1","witness;; statistical analysis;; phrase;; natural language processing;; multiple sequence alignment;; linguistics;; dynamic programming;; computer science;; computational linguistics;; collation;; artificial intelligence;; applied linguistics"
"Brown University","","10.1007/s10579-004-0817-x","visual arts;; virtual reality;; narrative;; linguistics;; interactivity;; immersion;; gerontology;; electronic media;; computer science;; computational linguistics"
"Baldwin Wallace University","bach;; cantatas;; particularly;; rich;; text;; imagery;; typically;; employ;; chromatic;; melodies;; accentuate;; more;; piquant;; literary;; images;; especially;; recitatives;; heretofore;; theories;; intentionality;; compositional;; choices;; regard;; necessarily;; remained;; conjectural;; following;; objective;; measurement;; pitch;; diversity;; vocal;; lines;; church;; cantata;; relation;; themes;; specially;; designed;; computer;; software;; allowing;; pertinent;; information;; entered;; efficiently;; relational;; database;; tracked;; 90;; 000;; pitches;; constituting;; movements;; attributes;; g;; overall;; length;; presence;; absence;; accompaniment;; opening;; closing;; keys;; chronological;; position;; others;; interrelationships;; examined;; clear;; correlation;; degree;; affective;; tension;; implied;; textual;; subjects;; prove;; exclusive;; causation;; factors;; tonal;; structural;; considerations;; social;; occasion;; evolution;; style;; play;; role;; link;; two;; elements;; light;; composition;; documented;; robert;; marshall;; important;; systematic;; comprehensive;; approach;; giving;; definition;; clarity;; commonly;; held;; generalizations;; relationships;; melodic;; chromaticism;; aspect;; indicator;; content;; furthermore;; holds;; promise;; additional;; studies;; materials;; stylistic;; contexts","10.1007/s10579-004-0754-8","sociology;; relational database;; melody;; linguistics;; intentionality;; generalization;; computational linguistics;; chromaticism;; causation;; clarity"
"Bates College","","10.1007/s10579-004-0816-y","new media;; linguistics;; computer science;; art history"
"National Research Council","teachers;; adopt;; networked;; collaborative;; learning;; strategies;; even;; though;; approaches;; systematically;; increase;; time;; needed;; deal;; subject;; probably;; return;; investment;; terms;; obviously;; educational;; justifies;; commitment;; surveying;; features;; two;; experimental;; projects;; paper;; offer;; series;; thoughts;; triggered;; observation;; dynamics;; generated;; specific;; approach;; purpose;; identify;; key;; factors;; make;; measure;; real;; added;; value;; network;; collaboration;; acquisition;; skills;; knowledge;; methods;; attitudes;; go;; beyond;; mere;; contents;; fundamental;; may;; precisely;; basis;; considerations;; usually;; answer;; above;; question;; explaining","10.1007/s10579-004-1110-8","return on investment;; knowledge management;; information and communications technology;; computer science;; computational linguistics;; collaborative writing;; collaborative learning;; added value"
"University of Richmond","few;; ideas;; film;; theory;; notably;; eisenstein;; concept;; montage;; students;; understanding;; hypertexts;; lessen;; resistance;; open;; ended;; nonlinear;; narratives;; structural;; characteristics;; so;; frustrating;; readers;; hypertext;; found;; popular;; experimental;; films;; godfrey;; reggio;; 1983;; documentary;; koyaanisqatsi;; good;; starting;; point;; merging;; broke;; ground;; structure;; resembles;; landow;; model;; axial;; same;; time;; techniques;; pioneered;; joyce;; guyer;; others;; involved;; creating;; critiquing;; examine;; look;; closely;; composition;; allows;; become;; amateur;; cinematographers;; now;; possess;; software;; breaking;; down;; examining;; transitions;; subliminal;; messages;; motifs;; process;; may;; applied","10.1007/s10579-004-0755-7","narrative;; merge;; linguistics;; hypertext;; hyperlink;; film theory;; documentary film;; computer science;; computational linguistics;; amateur"
"University of the Basque Country;; University of the Basque Country","paper;; reports;; exploiting;; bitext;; primary;; linguistic;; information;; source;; design;; generation;; environment;; specialized;; bilingual;; documentation;; discusses;; issues;; text;; encoding;; initiative;; tei;; proposals;; corpus;; tagging;; segmentation;; alignment;; translation;; units;; allocation;; memories;; document;; type;; definition;; dtd;; abstraction;; tagged;; texts;; deployment;; parallel;; experimentation;; two;; main;; features","10.1007/s10579-004-0233-2","translation memory;; text segmentation;; sgml;; rule based machine translation;; natural language processing;; markup language;; linguistics;; documentation;; document type definition;; document structure description;; computer science;; artificial intelligence"
"Pohang University of Science and Technology;; Pohang University of Science and Technology;; Sogang University","paper;; automatic;; construction;; korean;; wordnet;; pre;; existing;; lexical;; resources;; develop;; set;; word;; sense;; disambiguation;; techniques;; link;; collected;; bilingual;; machine;; readable;; dictionary;; single;; corresponding;; english;; synset;; show;; individual;; links;; linearly;; combined;; produce;; nouns","10.1007/s10579-004-1367-y","extended wordnet;; wordnet;; noun;; natural language processing;; linguistics;; lexical database;; knowledge acquisition;; heuristics;; computer science;; computational linguistics;; bilingual dictionary;; artificial intelligence"
"Information Technology Services, USA;; Miami University","analyze;; four;; ince;; memed;; novels;; yasar;; kemal;; six;; style;; markers;; frequent;; words;; syllable;; counts;; word;; type;; part;; speech;; information;; sentence;; length;; terms;; text;; vocabulary;; divide;; novel;; five;; thousand;; blocks;; count;; frequencies;; marker;; showing;; best;; separation;; lengths;; stepwise;; discriminant;; determine;; discriminators;; cross;; validation;; investigation;; multiple;; variance;; manova;; reveals;; attributes;; group;; distinguish;; volumes","10.1007/s10579-004-1906-6","syllable;; stylometry;; sentence;; part of speech;; natural language processing;; multivariate analysis of variance;; linguistics;; linear discriminant analysis;; computer science;; computational linguistics;; artificial intelligence;; agglutinative language"
"University of Jordan;; Chicago State University;; DePaul University;; Illinois Institute of Technology","world;; wide;; web;; www;; today;; so;; vast;; become;; more;; difficult;; find;; answers;; questions;; standard;; search;; engines;; current;; return;; ranked;; lists;; documents;; deliver;; direct;; user;; goal;; open;; domain;; question;; answering;; qa;; systems;; take;; natural;; language;; understand;; meaning;; short;; answer;; response;; repository;; information;; paper;; qarab;; system;; combines;; techniques;; retrieval;; processing;; combination;; enables;; independence;; takes;; expressed;; arabic;; attempts;; provide;; discover;; wants;; analyzing;; variety;; candidate;; linguistic;; point;; view","10.1007/s10579-004-1917-3","shallow parsing;; ranking;; question answering;; proper noun;; natural language processing;; natural language;; linguistics;; computer science;; computational linguistics;; artificial intelligence;; arabic;; applied linguistics"
