AA.DAfN,AW,DOI,F.FN
"Harvard University","long;; assumed;; works;; published;; 1923;; 1964;; us;; currently;; public;; domain;; both;; profit;; commercial;; digital;; libraries;; dreamed;; material;; programs;; recognized;; restoration;; copyright;; foreign;; 1996;; impossible;; offer;; full;; text;; overlooked;; now;; difficulty;; created;; anyone;; trying;; determine;; if;; work;; united;; states;; still;; protected;; article;; discusses;; impact;; status;; investigations;; offers;; steps;; users;; must;; follow;; order;; investigate;; argues;; almost;; certainty;; book;; 1922;; wish;; books;; period;; so;; risk","10.1045/july2008-hirtle","world wide web;; publication;; public domain;; internet privacy;; digital library;; computer science;; certainty"
"","","10.1045/july2008-guenther","world wide web;; multimedia;; interoperability;; computer science;; battle"
";; ","","10.1045/july2008-buonora","world wide web;; robustness;; multimedia;; jpeg file interchange format;; jpeg 2000;; jpeg;; image file formats;; digital preservation;; computer science"
"","","10.1045/july2008-weaver","world wide web;; use case;; computer science"
";; ","","10.1045/july2008-hagedorn","world wide web;; web search engine;; web page;; web crawler;; static web page;; site map;; semantic url;; search engine indexing;; multimedia;; deep web;; computer science"
"","","10.1045/july2008-morris","world wide web;; multimedia;; digital library;; computer science"
";; ;; ","","10.1045/july2008-pickens","world wide web;; multimedia;; information retrieval;; digital library;; computer science"
";; ","","10.1045/september2008-dappert","world wide web;; multimedia;; computer science"
";; ","iso;; standardized;; jpeg;; 2000;; image;; format;; started;; attract;; significant;; attention;; support;; emerging;; major;; consumer;; applications;; cultural;; heritage;; community;; seriously;; considers;; viable;; digital;; preservation;; so;; far;; commercial;; servers;; come;; license;; fees;; typically;; provide;; customers;; limited;; extensibility;; capabilities;; introduce;; djatoka;; open;; source;; server;; attractive;; basic;; feature;; set;; control;; implementers;; describe;; point;; demonstrations;; digitized;; images;; marvelous;; historical;; manuscripts;; collections;; british;; library;; university;; ghent;; cail;; upon;; engage;; development","10.1045/september2008-chute","world wide web;; server;; multimedia;; license;; jpeg 2000;; image server;; image processing;; image file formats;; digital preservation;; cultural heritage;; computer science"
";; ;; ","","10.1045/september2008-maness","world wide web;; persona;; computer science"
"","","10.1045/september2008-imhof","world wide web;; interoperability;; computer science"
"","","10.1045/september2008-uzwyshyn","world wide web;; repurposing;; open source software;; multimedia;; digital image;; computer science;; agile software development"
";; ;; ;; ;; ","","10.1045/september2008-villarreal","world wide web;; humanities;; creativity;; computer science"
"","","10.1045/september2008-morris","world wide web;; library of congress;; computer science"
";; ;; ;; ","web;; resources;; becoming;; increasingly;; personalized;; two;; different;; users;; clicking;; same;; link;; time;; see;; content;; customized;; individual;; user;; changes;; multiple;; representations;; resource;; cannot;; canonicalized;; archives;; identify;; characteristics;; problem;; presenting;; potential;; solution;; generalize;; proof;; concept;; prototype;; analyzes;; warc;; archive;; format;; files;; inserts;; metadata;; establishing;; relationships;; ability;; navigate;; additional;; dimension;; environment;; variables;; modified;; wayback;; machine","10.1045/november2013-kelly","world wide web;; web resource;; web page;; war;; multimedia;; metadata;; information retrieval;; computer science"
";; ","17th;; international;; conference;; theory;; practice;; digital;; libraries;; tpdl;; took;; place;; valletta;; malta;; september;; 22;; 26;; 2013;; diverse;; community;; participants;; different;; research;; approaches;; gave;; interdisciplinary;; feel;; year;; general;; theme;; sharing;; meaningful;; information;; approximately;; 300;; delegates;; more;; 40;; countries;; presented;; challenges;; opportunities;; library;; architecture;; interoperability;; integration;; interfaces;; user;; behavior;; data;; re;; open;; access;; linked;; visualization;; long;; term;; preservation;; semantic;; web;; curation","10.1045/november2013-casarosa","world wide web;; semantic web;; multimedia;; linked data;; interoperability;; information integration;; digital library;; digital curation;; data visualization;; computer science;; architecture"
";; ","field;; books;; primary;; source;; materials;; documenting;; events;; leading;; collection;; specimens;; observation;; species;; purposes;; natural;; history;; research;; mission;; book;; project;; fbp;; create;; one;; online;; location;; content;; uses;; item;; level;; descriptive;; standards;; collections;; description;; ncd;; metadata;; object;; schema;; mods;; respectively;; additionally;; creators;; encoded;; archival;; context;; eac;; paper;; explain;; share;; characteristics;; museum;; archives;; library;; objects;; why;; schemas;; chosen;; challenges;; future;; goals","10.1045/november2013-nakasone","world wide web;; schema;; metadata object description schema;; metadata;; encoded archival context;; computer science"
";; ;; ","data;; increasingly;; recognised;; valuable;; product;; research;; number;; international;; initiatives;; underway;; ensure;; better;; managed;; connected;; published;; discovered;; cited;; reused;; context;; citation;; emergent;; practice;; rather;; norm;; scholarly;; attribution;; 2012;; project;; griffith;; university;; funded;; australian;; national;; service;; ands;; commenced;; aimed;; enhance;; existing;; infrastructure;; test;; methodologies;; tracking;; impact;; provide;; targeted;; outreach;; researchers;; benefits;; extended;; previous;; collaboration;; built;; assign;; doi;; names;; digital;; object;; identifiers;; article;; reports;; case;; achieved;; institutional;; level;; support","10.1045/november2013-simons","world wide web;; outreach;; norm;; information system;; identifier;; general partnership;; data citation;; data as a service;; computer science;; attribution"
