AA.DAfN,AW,DOI,F.FN
";; ;; ;; ","","10.1045/january2004-schonfeld","world wide web;; multimedia;; cycle basis;; computer science"
";; ","","10.1045/december2003-connaway","world wide web;; resource allocation;; multimedia;; exploratory research;; digital library;; computer science"
";; ","","10.1045/december2003-chu","world wide web;; multimedia;; digital library;; computer science"
"Indiana University Bloomington;; Indiana University Bloomington;; Information and Library Science","indiana;; university;; school;; library;; information;; science;; opened;; research;; laboratory;; january;; 2003;; processing;; iu;; ip;; lab;; purpose;; facilitate;; collaboration;; scientists;; department;; areas;; retrieval;; ir;; visualization;; iv;; several;; focus;; include;; grid;; cluster;; computing;; standard;; java;; software;; platform;; support;; plug;; play;; datasets;; selection;; modules;; algorithms;; future;; development;; includes;; enable;; researchers;; contribute;; environment;; decided;; early;; oai;; pmh;; resource;; discovery;; tool;; consistent;; mission","10.1045/december2003-mongin","world wide web;; testbed;; subject indexing;; software;; plug and play;; multimedia;; java;; information visualization;; information processing;; data as a service;; computer science"
"","","10.1045/january2004-vitiello","world wide web;; identifier;; computer science"
"","","10.1045/january2004-holmstrom","world wide web;; multimedia;; computer science"
"","","10.1045/october2003-henry","world wide web;; publishing;; multimedia;; computer science"
";; ;; ;; ","","10.1045/october2003-king","world wide web;; computer science"
"","","10.1045/october2003-titel","world wide web;; multimedia;; computer science"
";; ","","10.1045/october2003-george","world wide web;; multimedia;; computer science"
"","article;; defines;; digital;; library;; setting;; relates;; commons;; peer;; production;; cbpp;; 1;; motivations;; selecting;; challenges;; noosphere;; system;; presented;; case;; design;; specific;; aspects;; addressed;; include;; economy;; ideas;; basis;; productive;; activity;; logical;; integration;; content;; performed;; opportunistic;; updating;; attained;; services;; foster;; community;; provide;; social;; done;; different;; ways;; benefit;; libraries","10.1045/october2003-krowne","world wide web;; social integration;; peer production;; noosphere;; multimedia;; knowledge management;; digital library system;; digital library;; computer science;; commons"
"","","10.1045/april2004-holmstrom","total return;; return on investment;; rate of return;; multimedia;; monetary economics;; investment performance;; holding period return;; discounting;; computer science;; absolute return"
";; ;; ;; ;; ","","10.1045/april2004-mcgovern","world wide web;; web resource;; toolbox;; risk management information systems;; risk management;; remote control;; multimedia;; computer science"
"","","10.1045/april2004-lavoie","world wide web;; multimedia;; metadata;; digital preservation;; computer science"
"","terms;; conditions;; article;; http;; www;; dlib;; org;; access;; html","10.1045/april2004-muswazi","world wide web;; the internet;; multimedia;; continuing education;; computer science"
";; ","","10.1045/april2004-dobratz","world wide web;; multimedia;; digital resources;; digital preservation;; computer science"
"","","10.1045/february2004-davis","world wide web;; internet privacy;; confidentiality;; computer science"
