AA.DAfN,AW,DOI,F.FN
"Co- Director and Project Manager, Digital Image Archive of Medieval Music","article;; discusses;; digital;; image;; archive;; medieval;; music;; diamm;; ground;; breaking;; work;; done;; digitizing;; manuscript;; sources;; involved;; reconstruction;; notation;; illegible;; erased;; hidden;; later;; texts;; good;; example;; instrumental;; educating;; photographers;; archives;; researchers;; alike;; proper;; methodology;; photography;; regard;; manuscripts;; standards;; especially;; high;; capturing;; images;; metadata;; store;; enables;; undertake;; sometimes;; miraculous;; restoration;; covers;; project;; delivery;; problems;; encountered","10.16995/dm.16","visual arts;; notation;; multimedia;; metadata;; medieval music;; image restoration;; digital restoration;; digital reconstruction;; digital photography;; digital image;; art"
"College of Charleston","illustrated;; incunable;; short;; title;; catalog;; cd;; rom;; iistc;; now;; second;; edition;; unrivaled;; wealth;; information;; fifteenth;; century;; printing;; computer;; database;; allows;; rapid;; searching;; printed;; reference;; works;; search;; interface;; suffers;; numerous;; problems;; paul;; needham;; thorough;; review;; essay;; article;; solution;; implemented;; end;; user;; shows;; kind;; useful;; doing;; so;; entails;; exporting;; records;; large;; text;; file;; analyzing;; scripts;; written;; perl;; importing;; full;; featured;; application;; conducting;; queries;; more;; robust;; better;; documented;; data;; directly;; accessible;; fields;; manipulated;; implement;; features;; missing;; original;; separate;; part;; imprint;; count;; recorded;; copies;; query;; generated;; output;; include;; table;; incunables;; highest;; number;; printers;; ulm;; signed;; editions;; dates;; year;; sample;; recreating;; instructions;; implementing;; discussion;; points;; consider;; found;; appendices","10.16995/dm.6","world wide web;; user interface;; text file;; scripting language;; perl;; end user;; database application;; database;; computer science;; computer database;; cd rom"
"University of Kentucky","analytical;; tools;; created;; part;; comprehensive;; edition;; production;; technology;; ept;; image;; electronic;; editions;; help;; editors;; reconstruct;; folios;; lost;; damaged;; manuscripts;; case;; point;; napier;; fragment;; alfredian;; boethius;; bottom;; portion;; ms;; leaf;; found;; 1886;; assembling;; displaying;; detailed;; descriptions;; digital;; recreate;; plausible;; reconstruction;; throw;; legitimate;; doubt;; authenticity","10.16995/dm.7","old english;; art history;; art"
"University of North Carolina at Chapel Hill","digital;; media;; offer;; great;; possibilities;; access;; disabled;; ensure;; designers;; must;; take;; reasonable;; measures;; texts;; conform;; relevant;; accessibility;; standards;; observing;; benefits;; users;; may;; legal;; requirement;; fortunately;; part;; difficult;; implement;; article;; examines;; methods;; ensuring;; advocates;; development;; disciplinary;; design;; medieval;; projects;; final;; section;; shows;; same;; hypothetical;; text;; accessible;; inaccessible;; codings","10.16995/dm.9","world wide web;; web accessibility;; universal design;; engineering;; discipline;; digital media"
"University of Virginia;; Boston University","article;; discusses;; early;; history;; current;; publications;; future;; directions;; piers;; plowman;; electronic;; archive;; ppea;; begins;; account;; project;; origins;; computer;; assisted;; middle;; english;; alliterative;; meter;; mid;; 1980s;; describes;; technical;; challenges;; facing;; digital;; editing;; projects;; forthcoming;; documentary;; editions;; manuscripts;; work;; b;; archetype;; concentrating;; posed;; heterogeneous;; tradition;; first;; appendix;; list;; manuscript;; sigils;; avoid;; problems;; caused;; traditional;; ad;; hoc;; system;; second;; features;; elwood;; browser;; volumes","10.16995/dm.5","middle english;; meter;; markup language;; library science;; engineering;; archetype"
"De Montfort University","more;; ten;; years;; first;; digital;; editions;; began;; see;; light;; day;; article;; examines;; current;; state;; future;; possibilities;; critical;; edition;; despite;; great;; promise;; argues;; successful;; general;; scholarly;; community;; expected;; early;; theorists;; author;; attributes;; failure;; two;; main;; problems;; lack;; easy;; tools;; support;; major;; publishing;; houses;; currently;; remains;; far;; easier;; make;; print;; electronic;; situation;; until;; distribution;; projects;; scholar;; disciplinary;; skills;; assured;; he;; she;; access;; necessary;; medium","10.16995/dm.8","xml;; publishing;; library science;; electronic edition;; discipline;; critical edition;; computer science"
"University of Virginia","work;; documentary;; edition;; huntington;; library;; manuscript;; hm;; 114;; piers;; plowman;; ht;; difficult;; yet;; tei;; inspired;; markup;; experimental;; way;; scope;; larger;; conformant;; project;; moreover;; experiment;; essential;; productive;; done;; specifications;; limited;; texts;; manuscripts;; eccentric;; cannot;; fully;; modeled;; examined;; without;; application;; attempt;; carry;; experimentation;; context;; electronic;; archive;; ppea;; demonstrates;; develop;; community;; wide;; recommendations;; best;; practices;; controlled;; text;; scribal;; paratext;; codex;; co;; exist;; every;; artifact;; patterns;; evidence;; partially;; p4;; emerging;; p5;; eminently;; suited;; machine","10.16995/dm.10","world wide web;; paratext;; markup language;; computer science;; best practice"
"University of Oxford","article;; reports;; three;; case;; studies;; research;; projects;; looking;; conversion;; legacy;; resources;; first;; cursus;; project;; http;; www;; uea;; ac;; uk;; created;; electronic;; editions;; medieval;; benedictine;; liturgical;; service;; books;; second;; personal;; proof;; concept;; printed;; volumes;; records;; early;; english;; drama;; reed;; utoronto;; ca;; final;; formed;; part;; pilot;; studying;; problems;; possibilities;; converting;; archived;; oxford;; text;; archive;; ota;; ox;; different;; form;; media;; manuscript;; print;; benefitted;; same;; techniques;; overcame;; hurdles","10.16995/dm.11","xml;; world wide web;; liturgy;; library science;; engineering;; drama"
"University of Copenhagen","article;; discusses;; manuscript;; description;; module;; tei;; p5;; looking;; why;; differs;; immediate;; predecessors;; proposals;; master;; project;; medieval;; manuscripts;; work;; group;; mmss","10.16995/dm.12","xml;; world wide web;; information retrieval;; general purpose;; computer science"
"University of Tennessee","annual;; bibliography;; old;; english;; newsletter;; reference;; work;; first;; resort;; field;; anglo;; saxon;; studies;; bibliographies;; 1973;; 2002;; formerly;; back;; issues;; oen;; now;; online;; searchable;; database;; essay;; describes;; conceived;; created;; mysql;; php;; discusses;; structure;; data;; tables;; contain;; items;; system;; insert;; search;; functions;; access;; routines;; retrieve;; user;; doing;; so;; reflects;; trial;; error;; involved;; discovering;; best;; methods;; practices;; creating;; problems;; hosting;; maintenance;; directions;; future;; development","10.16995/dm.13","world wide web;; trial and error;; old english;; library science;; database;; computer science;; bibliography"
"University of Calgary","cd;; rom;; digital;; facsimile;; one;; important;; manuscripts;; anglo;; saxon;; period;; offers;; outstanding;; functionality;; high;; resolution;; photographs;; entire;; manuscript;; binding;; strips;; close;; ups;; initials;; full;; transcription;; linked;; images;; translations;; poems;; introductory;; essays;; commentary;; illustrations;; search;; facility;; once;; substantial;; advance;; editing;; practice;; contribution;; old;; english;; literary;; art;; historical;; studies","10.16995/dm.14","poetry;; old english;; library science;; history;; facsimile;; classics"
"Digital Humanities","paper;; considers;; application;; image;; processing;; data;; mining;; scribal;; hands;; work;; forensic;; document;; analysts;; feature;; extraction;; particularly;; algorithms;; developed;; automatic;; handwriting;; recognition;; srihari;; bulacu;; schomaker;; clustering;; autoclass;; package;; preliminary;; author;; own;; experiments;; approaches;; presented;; obstacles;; outlined;; must;; overcome;; practical;; system;; identification;; medieval;; scribes","10.16995/dm.15","information retrieval;; image processing;; feature extraction;; computer science;; cluster analysis"
"King's College London","paper;; discusses;; value;; electronic;; medium;; publication;; one;; project;; inscriptions;; aphrodisias;; 2007;; uses;; example;; extrapolate;; illustrate;; case;; paradigm;; advantages;; research;; pedagogy;; dissemination;; categories;; accessibility;; scale;; media;; hypertext;; updates;; iterative;; transparency;; apply;; equally;; discussion;; focuses;; appropriate;; digital;; tagged;; epigraphic;; texts;; images","10.16995/dm.19","world wide web;; transparency;; multimedia;; hypertext;; epigraphy;; computer science"
"King's College London;; King's College London","classicists;; long;; forefront;; digital;; humanities;; true;; mediaeval;; studies;; engagement;; technology;; primarily;; complexity;; primary;; sources;; consideration;; patchy;; fragmentary;; state;; same;; artefacts;; papers;; collaborative;; issue;; medievalist;; continue;; tradition;; cutting;; edge;; technological;; disciplinary;; work;; drawing;; presented;; inaugural;; classicist;; progress;; seminar;; series;; london;; summer;; 2006;; adding;; specially;; commissioned;; depth;; view;; current;; research;; important;; areas;; classics;; text;; markup;; electronic;; publication;; geotagging;; network;; semantic;; web;; social;; networking;; technologies;; visualization;; relational;; database;; tools;; written;; focus;; discuss;; obvious;; interest;; mediaevalists;; working;; more;; generally","10.16995/dm.17","social network;; semantic web;; relational database;; markup language;; library science;; geotagging;; engineering ethics;; engineering;; discipline;; digital humanities;; as is"
"University of Lethbridge","","10.16995/dm.1","world wide web;; library science;; engineering;; electronic publishing"
"Cardiff University;; Brown University","article;; brief;; introduction;; brown;; university;; virtual;; humanities;; lab;; vhl;; major;; project;; electronic;; esposizioni;; texts;; decameron;; web;; vernacular;; work;; boccaccio;; text;; his;; unfinished;; lecture;; series;; dante;; commedia;; fundamentally;; concerned;; definition;; relationship;; two;; canonical;; medieval;; authors;; expressed;; primary;; commented;; secondary;; commentary;; first;; part;; overview;; historical;; literary;; contexts;; great;; demand;; explication;; poem;; sprang;; italy;; immediately;; death;; 1321;; forms;; tradition;; unlike;; commentaries;; written;; intention;; becoming;; published;; book;; instead;; notes;; public;; lectures;; gave;; florence;; 1373;; 74;; oral;; nature;; one;; elements;; upon;; focuses;; benefits;; medium;; able;; distance;; material;; format;; bound;; fixes;; immutable;; object;; second;; information;; computing;; developed;; italian;; studies;; department;; following;; grant;; national;; endowment;; neh;; famous;; now;; dual;; role;; provide;; civic;; intellectual;; culture;; early;; modern;; broad;; audience;; students;; specialists;; alike;; develop;; variety;; tools;; collaborative;; teaching;; research;; section;; considers;; potential;; popular;; field;; compares;; already;; established;; dartmouth;; final;; paper;; edition;; technical;; description;; discussion;; structural;; semantic;; encoding;; principles;; examples;; practice;; hybrid;; autograph;; manuscript;; survives;; inevitably;; contains;; uncertainties;; rather;; try;; create;; definitive;; online;; constructing;; editing;; house;; allow;; scholars;; privileged;; access;; opportunity;; comment;; add;; own;; annotations;; together;; time;; digital;; creation;; ongoing","10.16995/dm.3","vernacular;; privileged access;; poetry;; literature;; italian studies;; immutable object;; humanities computing;; explication;; classics;; autograph;; art"
"Strategy and Research Division, Bibliothèque nationale de France;; Department of Manuscripts, Bibliothèque nationale de France;; Associate Director of OUROUK","europeana;; regia;; project;; digitise;; manuscripts;; middle;; ages;; renaissance;; supported;; european;; commission;; involving;; five;; libraries;; qualitative;; conducted;; determine;; rank;; expectations;; needs;; current;; potential;; users;; medieval;; online;; focus;; groups;; organised;; three;; partner;; group;; dedicated;; one;; user;; categories;; primarily;; targeted;; 1;; researchers;; academics;; 2;; history;; arts;; applied;; teachers;; high;; schools;; 3;; interested;; general;; public;; confirmed;; considerable;; interest;; pointed;; demanding;; standards;; existing;; offer;; sites;; requests;; less;; concerned;; functionalities;; tools;; perform;; speed;; access;; exhaustive;; information;; accustomed;; working;; web;; choose;; compare;; field;; seen;; excellent;; teaching;; aid;; require;; suggestions;; courses;; themed;; presentations;; selections;; noteworthy;; pages;; effort;; provide;; mediation;; translated;; passages;; reading;; original;; language;; video;; conferences;; specialists;; analyses;; important;; encourage;; browse;; around;; marked;; space;; consult;; illuminated;; time;; motivated;; family;; cultural;; events;; illustrations;; main;; attraction;; category;; already;; identified;; population;; seniors;; fascinated;; process;; calligraphy;; paleography;; etc","10.16995/dm.45","the arts;; qualitative research;; population;; mediation;; library science;; focus group;; engineering;; commission;; calligraphy;; applied arts"
"École Normale Supérieure","2006;; ecole;; nationale;; chartes;; launched;; research;; project;; whose;; main;; purpose;; edit;; publish;; almost;; entirely;; unedited;; medieval;; series;; charters;; abbey;; saint;; denis;; great;; quantity;; dissemination;; critical;; edition;; progressive;; digital;; work;; original;; documents;; richest;; cartulary;; kept;; cartulaire;; blanc;; white;; contains;; 2;; 600;; copies;; olivier;; guyotjeannin;; scientific;; leader;; florence;; clavaud;; order;; provide;; quick;; access;; entire;; content;; integrates;; images;; manuscript;; one;; inventories;; inventaire;; general;; inventory;; established;; 1680;; 1720;; corpus;; now;; includes;; 4;; 370;; several;; xml;; files;; ead;; tei;; ongoing;; mets;; express;; relations;; components;; models;; explained;; website;; built;; adapting;; open;; source;; preexisting;; tools;; released;; june;; 2010;; see;; http;; enc;; sorbonne;; fr;; functionalities;; evolving;; stage;; article;; prospective;; assessment","10.16995/dm.48","xml;; saint;; rdf;; library science;; javascript;; engineering;; digitization;; digital work;; digital edition;; ajax"
"Centre national de la recherche scientifique","paper;; addresses;; question;; objective;; categories;; medieval;; scripts;; elaboration;; both;; palaeography;; image;; introduces;; dataset;; 9800;; images;; metadata;; catalogues;; dated;; manuscripts;; france;; ground;; truth;; evaluation;; protocol;; feature;; taxonomy;; building;; clustering;; methods;; compares;; categorization;; performed;; two;; teams;; one;; lyon;; liris;; insa;; frank;; lebourgeois;; tel;; aviv;; blavatnik;; school;; computer;; science;; university;; lior;; wolf;; questions;; interpretation;; goals;; interdisciplinary;; research;; development;; expert;; systems;; exploratory","10.16995/dm.61","scripting language;; pattern recognition;; palaeography;; metadata;; information retrieval;; geography;; exploratory research;; expert system;; data science;; cluster analysis;; categorization"
