AA.DAfN,AW,DOI,F.FN
"University of Luton, Luton, UK;; ;; ","his;; daughter;; tullia;; died;; 45;; bc;; roman;; orator;; marcus;; tullius;; cicero;; 106;; 43;; assailed;; grief;; he;; attempted;; assuage;; writing;; philosophical;; work;; now;; consolatio;; despite;; high;; reputation;; classical;; world;; fragments;; text;; form;; quotations;; subsequent;; authors;; survived;; fall;; rome;; 1583;; book;; printed;; venice;; purporting;; rediscovery;; editor;; prominent;; humanist;; scholar;; ciceronian;; stylist;; called;; carlo;; sigonio;; contemporaries;; notably;; antonio;; riccoboni;; voiced;; doubts;; authenticity;; time;; scholarly;; opinion;; differed;; over;; genuineness;; main;; aim;; bring;; modern;; stylometric;; methods;; bear;; question;; see;; internal;; linguistic;; evidence;; supports;; belief;; fake;; probably;; perpetrated;; himself;; secondary;; objective;; test;; application;; previously;; almost;; exclusively;; english;; texts;; language;; different;; structure;; namely;; latin;; show;; extremely;; uncharacteristic;; indeed;; more;; likely;; written;; renaissance;; times;; author;; strong;; though;; conclusive","10.1093/llc/14.3.375","stylometry;; reflexive pronoun;; philosophy;; literature;; linguistics;; linguistic evidence;; humanism;; grief;; fall of man;; classical antiquity;; cicero"
"University of the West of England;; University of the West of England","stylometrists;; wide;; variety;; textual;; features;; markers;; until;; recently;; little;; attention;; focused;; question;; come;; text;; categorization;; tasks;; choice;; crucial;; determinant;; success;; yet;; typically;; left;; intuition;; analyst;; argue;; desirable;; least;; if;; part;; process;; less;; dependent;; subjective;; judgement;; accordingly;; paper;; compares;; five;; different;; methods;; feature;; finding;; background;; knowledge;; external;; texts;; analysed;; three;; previous;; stylometers;; two;; devised;; rely;; parsing;; semantic;; tied;; english;; language;; benchmark;; test;; ten;; representative;; classification;; problems;; technique;; designated;; monte;; carlo;; certain;; advantages;; deserve;; consideration;; future;; workers;; area","10.1093/llc/11.4.163","parsing;; natural language processing;; linguistics;; judgement;; intuition;; english language;; computer science;; artificial intelligence"
"University of Neuch̢tel","","10.1093/llc/fqx007","rhetoric;; psychology;; presidential system;; media studies"
"Hankuk University of Foreign Studies","","10.1093/llc/fqx056","visibility;; natural language processing;; linguistics;; computer science;; artificial intelligence"
"Jagiellonian University","multivariate;; word;; frequencies;; identify;; gender;; authors;; corpus;; 18th;; early;; 19th;; century;; english;; sentimentalist;; gothic;; fiction;; frequent;; words;; medium;; frequency;; burrows;; zeta;; characteristic;; both;; genders;; sensitive;; two;; periods;; c;; 20th;; terms;; usefulness;; identification;; literary;; texts","10.1093/llc/fqv023","word lists by frequency;; tracing;; multivariate analysis;; linguistics;; computer science"
"Goldsmiths, University of London","christopher;; marlowe;; hype;; hoax;; 2018;; hartmut;; ilsemann;; implies;; his;; application;; rolling;; delta;; feature;; r;; stylo;; sufficiently;; robust;; century;; half;; traditional;; scholarship;; overturned;; stripped;; majority;; canon;; doctor;; faustus;; edward;; article;; concludes;; totally;; overrated;; influence;; modern;; english;; drama;; 26;; natural;; consequence;; stripping;; away;; 5;; 7ths;; response;; assumptions;; underlying;; itself;; fundamentally;; flawed;; leading;; predictably;; erroneous;; conclusions;; problems;; include;; poorly;; designed;; test;; environment;; incorrect;; preparation;; texts;; assuming;; style;; determined;; single;; early;; play;; selecting;; constructing;; shakespeare;; comparison;; manner;; likely;; prejudice;; ignoring;; effect;; upon;; date;; genre;; failing;; consider;; different;; length;; dismissing;; external;; evidence;; authorship;; conflicts;; outcomes;; argue;; light;; issues;; must;; dismissed;; question;; raised;; current;; methods;; computational;; stylistics;; even;; more;; rigorously;; applied;; equipped;; challenge;; attribution;; accepted","10.1093/llc/fqy040","stylometry;; scholarship;; prejudice;; modern english;; literature;; history;; drama;; computational stylistics;; canon;; attribution"
"Pennsylvania State University;; University of Sheffield","","10.1093/llc/fqx017","stylometry;; sociology;; social science;; gender studies;; digital humanities"
"Leibniz University of Hanover","","10.1093/llc/fqy001","hoax;; art history;; art"
"University of Leicester;; University of Leicester","","10.1093/llc/fqz085","literature;; drama;; computational stylistics;; art;; aphra"
"Huygens Institute for the History of the Netherlands;; Huygens Institute for the History of the Netherlands","scholarly;; nature;; code;; evaluate;; scholarship;; involved;; coding;; claim;; humanities;; urgent;; answer;; questions;; increasing;; softwarization;; both;; society;; pushes;; boundaries;; methods;; objects;; argue;; develop;; criticism;; critical;; reflexive;; tool;; positioned;; respect;; studies;; textual;; literary;; interface;; critique;; finally;; outline;; approach;; ideas;; reciprocal;; inquiry;; continuum;; literacies;; connects;; literature","10.1093/llc/fqx006","theatre criticism;; textual criticism;; sociological criticism;; scholarship;; reflexivity;; political science;; literature;; literary criticism;; epistemology;; criticism;; critical code studies"
