AA.DAfN,AW,DOI,F.FN
"Carnegie Mellon University;; University of Colorado Boulder","identifies;; flagship;; digital;; humanities;; conference;; evolved;; 2004;; continues;; evolve;; analyzing;; topical;; regional;; authorial;; trends;; presentations;; additionally;; explore;; extent;; humanists;; live;; characterization;; diverse;; collaborative;; global;; proxy;; popularization;; last;; decade;; especially;; successes;; popular;; press;; grant;; initiatives;; tempers;; sometimes;; utopic;; rhetoric;; appears;; alongside;; mentions;; term;; cette;; etude;; pour;; cerner;; comment;; phare;; sur;; humanites;; numeriques;; evolue;; depuis;; continue;; evoluer;; analysant;; tendances;; thematiques;; regionales;; d;; auteur;; dans;; ses;; plus;; nous;; explorons;; quelle;; mesure;; humanistes;; sont;; hauteur;; caracterisation;; matiere;; diversite;; collaboration;; mondialisation;; utilisant;; comme;; intermediaire;; etant;; donne;; vulgarisation;; croissante;; au;; cours;; derniere;; decennie;; particulier;; recents;; succes;; presse;; populaire;; subvention;; modere;; rhetorique;; parfois;; utopique;; qui;; apparait;; aux;; cotes;; du;; terme;; mots;; cles;; adho;; authorship;; disciplinarite","10.16995/dscn.284","rhetoric;; popular press;; humanities;; digital humanities;; art history;; art"
"Philadelphia University","two;; main;; parts;; first;; one;; reviews;; current;; scholarship;; theories;; materiality;; text;; print;; digital;; form;; exemplified;; works;; johanna;; drucker;; jerome;; mcgann;; matthew;; kirschenbaum;; g;; thomas;; tanselle;; d;; f;; mckenzie;; hybrid;; model;; comprehensive;; practical;; designed;; make;; capacities;; medium;; stems;; understanding;; material;; repercussions;; migration;; second;; part;; elaborates;; elements;; codex;; book;; overviews;; history;; novel;; genre;; prepare;; basis;; prototype;; digitizing;; novels;; called;; inovel;; last;; detailed;; description;; different;; tools;; serves;; realization;; theoretical;; earlier;; l;; etude;; comporte;; deux;; principaux;; volets;; le;; premier;; examine;; erudition;; actuelles;; au;; sujet;; materialite;; du;; texte;; imprime;; numerique;; illustres;; dans;; travaux;; presente;; ensuite;; modele;; hybride;; fois;; complet;; pratique;; ce;; est;; concu;; pour;; exploiter;; maximum;; capacites;; il;; decoule;; comprehension;; materielles;; deuxieme;; volet;; decrit;; livre;; fait;; survol;; histoire;; roman;; cela;; preparer;; base;; numerisation;; romans;; appele;; derniere;; partie;; detaillee;; ses;; differents;; outils;; sert;; realisation;; theorique;; plus;; haut;; mots;; cles;; textualite;; numeriques","10.16995/dscn.273","realisation;; materiality;; digitization;; art history;; art"
"University of Virginia","founders;; online;; digital;; initiative;; national;; historical;; publications;; records;; commission;; nhprc;; u;; archives;; launched;; june;; 2013;; debut;; site;; attracted;; over;; million;; visitors;; interested;; learning;; more;; creation;; united;; states;; america;; words;; six;; founding;; fathers;; contains;; 177;; 000;; letters;; writings;; men;; contemporaries;; widely;; academics;; general;; public;; value;; humanities;; emphasis;; free;; access;; former;; assistant;; editor;; documents;; compass;; program;; virginia;; foundation;; served;; project;; manager;; early;; portion;; worked;; directly;; staffs;; currently;; active;; documentary;; editing;; projects;; make;; preliminary;; versions;; unpublished;; viewing;; eventually;; replaced;; fully;; vetted;; annotated;; completed;; later;; relying;; large;; staff;; thirty;; people;; transcribed;; proofread;; 50;; 2012;; 2015;; my;; experience;; give;; employees;; constant;; feedback;; reward;; good;; work;; encourage;; specialization;; reemphasized;; unified;; metadata;; standards;; aggregating;; different;; sets;; data;; multiple;; single;; platform;; numerique;; nationales;; etats;; unis;; lancee;; juin;; depuis;; ses;; debuts;; le;; attire;; plus;; d;; visiteurs;; interesses;; apprendre;; davantage;; au;; sujet;; amerique;; apres;; peres;; fondateurs;; contient;; lettres;; ou;; autres;; ecrits;; ces;; hommes;; leurs;; contemporains;; largement;; utilise;; par;; universitaires;; demontre;; valeur;; l;; emphase;; humanites;; numeriques;; sur;; libre;; acces;; tant;; qu;; ancien;; redacteur;; chef;; adjoint;; programme;; j;; ai;; travaille;; comme;; gestionnaire;; projet;; pour;; partie;; anticipe;; du;; nous;; avons;; directement;; avec;; membres;; personnel;; projets;; montage;; documentaire;; actifs;; heure;; actuelle;; rendre;; disponibles;; preliminaires;; publies;; seront;; eventuellement;; remplaces;; entierement;; approuvees;; annotees;; qui;; completees;; tard;; comptant;; nombreux;; trente;; personnes;; transcrit;; relu;; entre;; mon;; besoin;; donner;; aux;; employes;; retroaction;; constante;; recompenser;; leur;; bon;; travail;; encourager;; specialisation;; parmi;; souligne;; normes;; metadonnees;; communes;; transposant;; differents;; ensembles;; donnees;; multiples;; plateforme;; unique;; mots;; cles;; transcription;; externalisation;; grande;; echelle;; histoire","10.16995/dscn.277","unpublished documents;; project staff;; national archives;; metadata;; humanities;; digital humanities;; digital history;; commission;; art"
"Washington State University Vancouver","background;; author;; describes;; curating;; sound;; radio;; context;; practice;; prompts;; creative;; digital;; humanities;; research;; scholarship;; presentation;; his;; nouspace;; project;; site;; focus;; methodology;; endeavor;; curation;; re;; creation;; vintage;; dramas;; live;; audiences;; order;; prompt;; listeners;; consider;; ability;; sounds;; convey;; appreciation;; emotion;; experience;; information;; meaning;; unique;; rewarding;; opportunity;; important;; component;; despite;; ephemerality;; both;; immersive;; inclusive;; engagement;; imaginations;; conclusion;; implications;; introduction;; realm;; tangible;; curatorial;; demonstrates;; interesting;; opportunities;; contexte;; l;; auteur;; decrit;; conservation;; sons;; dans;; le;; radiophonique;; comment;; cette;; pratique;; invite;; recherche;; humanites;; numeriques;; erudition;; son;; projet;; comme;; objectif;; methodologie;; initiatives;; particulier;; consiste;; conserver;; reconstituant;; d;; anciens;; feuilletons;; radiophoniques;; devant;; public;; afin;; inviter;; auditeurs;; considerer;; capacite;; transmettre;; emotions;; signification;; analyse;; du;; fournit;; occasion;; enrichissante;; element;; malgre;; leur;; caractere;; ephemere;; sont;; tous;; deux;; immersifs;; inclusifs;; invitent;; engager;; par;; entremise;; imagination;; au;; domaine;; fait;; rendre;; moyen;; renseignements;; permet;; demontrer;; possibilites;; interessantes;; enrichissantes;; pour;; mots;; cles;; feuilleton;; audio;; art;; sonore;; action;; narration;; conter;; ecoute","10.16995/dscn.275","storytelling;; sound art;; narrative;; humanities;; erudition;; ephemerality;; digital humanities;; art"
"Indiana University","case;; offers;; strategies;; tei;; projects;; limited;; funding;; focusing;; needs;; volunteers;; victorian;; women;; writers;; project;; developed;; truly;; collaborative;; relationships;; partners;; contributions;; resources;; grown;; digital;; humanities;; survey;; courses;; literature;; classes;; independent;; work;; paper;; concludes;; brief;; sketch;; efforts;; support;; continued;; rethinking;; social;; media;; outreach;; online;; presence;; cette;; etude;; cas;; offre;; pour;; projets;; initiative;; l;; encodage;; texte;; dont;; le;; financement;; est;; limite;; mettant;; accent;; sur;; besoins;; nos;; benevoles;; projet;; mis;; au;; point;; relations;; veritablement;; collaboratives;; avec;; partenaires;; du;; aux;; ressources;; sont;; issues;; cours;; d;; introduction;; litterature;; humanites;; numeriques;; travail;; independant;; article;; conclut;; par;; bref;; resume;; initiatives;; afin;; appuyer;; continu;; reevaluant;; notre;; diffusion;; dans;; medias;; sociaux;; ligne;; mots;; cles;; hn;; feministes;; durabilite","10.16995/dscn.276","sustainable growth rate;; sociology;; social media;; outreach;; online presence management;; ligne;; humanities;; digital humanities"
"Dipartimento di Scienze Politiche, UniversitÃ  Roma Tre","article;; briefly;; discuss;; connections;; geopolitical;; scenario;; emerging;; creation;; brics;; development;; bank;; digitization;; languages;; cultures;; carried;; substantially;; anglophone;; driven;; economic;; technological;; context;; appearance;; especially;; plan;; independent;; internet;; challenging;; financial;; system;; long;; run;; affect;; current;; digital;; knowledge;; monopolies;; activating;; ways;; encode;; decode;; cultural;; objects;; challenge;; standards;; humanists;; levels;; called;; upon;; react;; developing;; asking;; themselves;; questions;; political;; representation;; diversity;; encoding;; infrastructures;; linguistic;; hegemonies;; old;; equilibrium;; unequal;; power;; relationships;; perhaps;; close;; end;; unique;; time;; opportunity;; create;; genuinely;; democratic;; international;; scholarly;; community;; dans;; cet;; je;; discute;; brievement;; liens;; entre;; le;; geopolitique;; qui;; emerge;; nouvelle;; banque;; developpement;; pays;; du;; numerisation;; langues;; realisee;; contexte;; economique;; technologique;; essentiellement;; l;; apparition;; particulier;; projet;; d;; independant;; remet;; question;; seulement;; systeme;; financier;; mais;; terme;; pourrait;; aussi;; toucher;; monopoles;; connaissances;; numeriques;; actuelles;; mettant;; oeuvre;; nouveaux;; moyens;; encoder;; decoder;; objets;; culturels;; remettre;; cause;; normes;; humanistes;; tous;; niveaux;; sont;; invites;; reagir;; au;; sujet;; ce;; emergent;; poser;; politique;; diversite;; culturelle;; encodage;; linguistiques;; ancien;; equilibre;; fonde;; sur;; relations;; pouvoir;; inegales;; est;; peut;; etre;; pres;; prendre;; fin;; il;; agit;; periode;; occasion;; creer;; communaute;; erudite;; veritablement;; democratique;; internationale;; mots;; cles;; dialogue;; sud;; fiscalite;; linguistique","10.16995/dscn.274","humanities;; geopolitics;; geography;; digital humanities;; democracy"
"Sobhe Sadegh Institute of Higher Education","reading;; work;; digital;; fiction;; challenging;; experience;; anyone;; approaching;; print;; oriented;; stance;; paying;; attention;; materiality;; medium;; presented;; useful;; tool;; n;; katherine;; hayles;; emphasized;; upon;; coining;; phrase;; media;; specific;; approach;; texts;; name;; states;; exploring;; instantiated;; active;; component;; signifying;; process;; case;; chosen;; paper;; chemical;; landscapes;; tales;; 2006;; edward;; falco;; brings;; foreground;; makes;; essential;; part;; order;; devise;; working;; works;; web;; three;; different;; interrelated;; dimensions;; text;; physical;; organization;; design;; narrative;; strategy;; lecture;; d;; Å“uvre;; numerique;; peut;; averer;; stimulante;; pour;; quiconque;; l;; aborde;; selon;; optique;; impression;; il;; etre;; utile;; preter;; particuliere;; au;; caractere;; substantiel;; du;; dans;; lequel;; est;; presentee;; c;; sur;; ce;; point;; que;; mis;; emphase;; inventant;; expression;; analyse;; specifique;; aux;; medias;; cette;; maniere;; aborder;; textes;; comme;; son;; nom;; indique;; basee;; exploration;; ouvrage;; instancie;; composante;; processus;; signification;; etude;; cas;; choisie;; cet;; article;; ramene;; importance;; premier;; plan;; fait;; partie;; essentielle;; afin;; elaborer;; methode;; travail;; autres;; ouvrages;; analysera;; trois;; texte;; fois;; differentes;; reliees;; entre;; elles;; dire;; organisation;; conception;; physique;; strategie;; le","10.16995/dscn.19","narrative;; materiality;; humanities;; art history;; art"
"Max Planck Society;; Arizona State University;; Arizona State University","computational;; turn;; humanities;; precipitated;; sustainable;; software;; development;; projects;; specifically;; focused;; research;; problems;; graduate;; undergraduate;; training;; models;; address;; trans;; disciplinary;; nature;; paper;; describe;; one;; approach;; addressing;; two;; challenges;; simultaneously;; interdisciplinary;; team;; called;; digital;; innovation;; group;; diging;; quickly;; necessarily;; became;; experiment;; education;; interface;; computer;; science;; play;; important;; role;; developing;; infrastructure;; d;; chps;; creates;; environment;; hands;; students;; biology;; history;; philosophy;; discuss;; rationale;; benefits;; inception;; primary;; objectives;; broaden;; discussion;; programs;; organized;; conceived;; independent;; activities;; le;; tournant;; informatique;; sciences;; humaines;; rendu;; imperatif;; besoin;; projets;; durables;; matiere;; developpement;; logiciels;; specifiquement;; axes;; sur;; problemes;; recherche;; modeles;; formation;; etudiants;; premier;; cycle;; diplomes;; qui;; abordent;; transdisciplinaire;; dans;; cet;; article;; nous;; decrivons;; methode;; visant;; aborder;; ces;; deux;; defis;; facon;; simultanee;; equipe;; interdisciplinaire;; appelee;; est;; devenu;; rapidement;; necessairement;; experience;; l;; numeriques;; seulement;; joue;; t;; il;; pour;; cree;; aussi;; environnement;; pratique;; informatiques;; biologie;; histoire;; philosophie;; discutons;; justification;; avantages;; depuis;; sa;; creation;; nos;; principaux;; objectifs;; sont;; elargir;; propos;; dont;; programmes;; organises;; suggerer;; que;; n;; ont;; pas;; etre;; concus;; comme;; activites;; independantes;; autre","10.16995/dscn.17","software development;; humanities;; history and philosophy of science;; digital humanities;; computer science;; art"
";; York University;; ","article;; terms;; creative;; commons;; attribution;; 3;; 0;; united;; states;; license;; https;; creativecommons;; org;; licenses;; us;; modified;; original;; displayed;; format;; web;; pdf;; content;; remains;; unchanged","10.16995/dscn.18","world wide web;; license;; library science;; engineering;; digital history;; creative commons;; adventure"
"","jockers;; book;; describes;; host;; digital;; techniques;; applied;; literary;; studies;; main;; focus;; idea;; macro;; developed;; his;; work;; stanford;; lab;; collaboration;; franco;; moretti;; le;; ouvrage;; jocker;; decrit;; nombreuses;; numeriques;; qui;; peuvent;; etre;; appliquees;; aux;; etudes;; litteraires;; principal;; objectif;; est;; l;; idee;; macroanalyse;; mise;; au;; point;; dans;; cadre;; son;; travail;; laboratoire;; litteraire;; avec","10.16995/dscn.62","stylometry;; media studies;; literary criticism;; humanities;; history of literature;; art"
