AA.DAfN,AW,DOI,F.FN
"University of Valencia;; Institut Català de Paleoecologia Humana i Evolució Social, Campus Sescelades, Spain;; University of Valencia","approaches;; evolutionary;; dynamics;; first;; neolithic;; societies;; cycle;; rise;; fall;; several;; authors;; mainly;; c14;; dates;; demographic;; proxy;; identified;; general;; pattern;; boom;; population;; coincident;; arrival;; food;; production;; economies;; followed;; rapid;; decline;; centuries;; afterwards;; multiple;; european;; regions;; concerning;; iberia;; noted;; phenomenon;; correlates;; initial;; development;; archaeological;; entities;; cultures;; over;; large;; areas;; g;; impresso;; cardial;; west;; mediterranean;; phase;; cultural;; fragmentation;; end;; early;; picture;; higher;; diversity;; effect;; more;; limited;; spread;; artifacts;; work;; propose;; apply;; network;; approach;; material;; culture;; consider;; spatiotemporal;; patterns;; emergent;; interaction;; processes;; acting;; locally;; research;; pointed;; variability;; phenomena;; resulting;; individual;; group;; interactions;; whose;; structure;; resembles;; spatially;; structured;; complex;; networks;; observed;; global;; explained;; specially;; structural;; measured;; betweenness;; centrality;; geographical;; position;; nodes;; appearance;; disappearance;; specific;; positions;; changes;; distribution;; throughout;; c;; 7700;; 6700;; cal;; bp;; east;; view;; especial;; role;; played;; facilitating;; limiting;; information;; flow;; entire;; growth;; posterior;; seem;; key;; drivers;; behind","10.3389/fdigh.2017.00007","sociocultural evolution;; population;; network dynamics;; natural language processing;; fragmentation;; evolutionary dynamics;; economic geography;; cultural diversity;; computer science;; complex network;; betweenness centrality;; artificial intelligence;; archaeology"
"Lancaster University","challenge;; digital;; historians;; deceptively;; simple;; good;; history;; combines;; computer;; ability;; search;; summarize;; researcher;; interpret;; argue;; involves;; both;; developing;; understanding;; sources;; appropriately;; more;; importantly;; methods;; deliver;; scholarship;; enhances;; past;; plenty;; make;; potential;; false;; dawns;; computing;; boonstra;; al;; 2004;; until;; recently;; computers;; primarily;; performing;; calculations;; numbers;; resulted;; becoming;; fundamental;; tools;; fields;; economic;; historical;; demography;; geographical;; information;; systems;; gis;; 1;; geography;; relatively;; small;; discipline;; whole;; work;; done;; taken;; place;; outside;; departments;; example;; economics;; sociology;; texts;; hardly;; surprising;; style;; little;; impact;; wider;; last;; few;; years;; shift;; put;; simply;; moved;; number;; crunching;; machines;; become;; technology;; contain;; textual;; form;; creation;; truly;; massive;; amounts;; content;; ranges;; social;; media;; internet;; private;; sector;; digitization;; projects;; google;; books;; gale;; cengage;; collections;; limited;; investment;; academic;; charitable;; sectors;; thomas;; johnson;; 2013;; now;; inextricably;; concerned;; exactly;; type;; source;; central;; consequence;; almost;; without;; realizing;; vast;; desktop;; so;; everything;; garden;; currently;; rosy;; answer;; judging;; hitchcock;; responses;; knights;; prescott;; seems;; resounding;; criticisms;; centered;; themselves;; whose;; quality;; lower;; might;; hoped;; digitizing;; document;; usually;; two;; stage;; process;; first;; image;; created;; bitmap;; encoded;; machine;; readable;; text;; brought;; together;; user;; term;; located;; shown;; appropriate;; page;; stages;; scanner;; camera;; if;; properly;; minor;; abstractions;; original;; facsimile;; copy;; second;; hugely;; problematic;; involving;; manually;; typed;; optical;; character;; recognition;; ocr;; software;; automatically;; identify;; letters;; slow;; expensive;; errorprone;; tends;; largescale;; faster;; cheaper;; far;; errors;; whatever;; approach;; checking;; difficult;; common;; approaches;; involve;; carefully;; typing;; gold;; standard;; samples;; parts;; comparing;; bulk;; entered;; material;; give;; percentage;; words;; consequences;; scores;; mean;; practice;; even;; error;; removed;; scans;; heavily;; abstracted;; potentially;; useful;; lost;; once;; interrogated;; techniques;; understood;; nevertheless;; uncritically;; classic;; data;; capture;; uncritical;; problems;; keyword;; web;; interface;; returns;; list;; hits;; sorted;; relevance;; points;; idea;; implications;; miss;; spelling;; variations;; derived;; engines;; decides;; relevant;; may;; reality;; tool;; indeed;; lack;; widely;; interrogate;; understand;; large;; volumes;; remember;; foremost;; fundamentally;; business;; taking;; complex;; incomplete;; full;; biases;; interpreting;; critically;; develop;; argument;; answers;; research;; question;; change","10.3389/fdigh.2014.00001","world wide web;; social media;; optical character recognition;; multimedia;; information technology;; information system;; facsimile;; digitization;; digital media;; digital history;; computer science"
"University of Lleida;; University of Lleida;; University of Lleida","digital;; tools;; gis;; enormously;; possibilities;; historical;; geography;; article;; shall;; explain;; evolution;; population;; density;; over;; significant;; period;; territorial;; units;; municipalities;; allow;; detailed;; research;; projects;; take;; points;; reference;; tend;; complex;; boundaries;; undergone;; numerous;; changes;; course;; modern;; history;; same;; occurred;; greater;; lesser;; degree;; countries;; europe;; bennett;; 1989;; stable;; municipal;; past;; 150;; years;; include;; france;; italy;; spain;; though;; modifications;; notable;; relevant;; challenges;; offer;; us;; opportunities;; if;; able;; cope;; case;; challenge;; achieve;; homogenisation;; series;; words;; limits;; changed;; necessary;; adapt;; data;; old;; territories;; ones;; exercise;; number;; applications;; just;; one;; possibility;; detecting;; areas;; periods;; growth;; decline;; stagnation;; serve;; indicator;; proxy;; organising;; fields;; understand;; apply;; make;; evaluate;; interest;; expect;; homogenised;; work;; think;; despite;; type;; until;; now;; rare;; account;; methodological;; difficulties;; involved;; field;; hgis;; spatial;; aggregation;; moran;; techniques;; helped;; provide;; solutions;; assume","10.3389/fdigh.2016.00009","spatial aggregation;; sociology;; regional science;; proxy;; population growth;; population geography;; multimedia;; modern history;; law;; historical geography"
"Memorial University of Newfoundland","women;; owned;; quarter;; rental;; units;; montreal;; canada;; 1903;; city;; 85;; population;; tenants;; major;; world;; today;; control;; equivalent;; area;; formal;; economy;; paper;; asks;; gender;; proprietorship;; matter;; answers;; series;; tests;; linking;; 30;; sample;; immigrant;; headed;; households;; 1901;; census;; complete;; historical;; gis;; properties;; owners;; plays;; special;; attention;; ashkenazi;; jews;; syrians;; chinese;; italians;; relatively;; immigration;; streams;; constituted;; break;; largely;; british;; french;; ancestry;; majority;; 300;; year;; old;; settler;; colony;; links;; patterns;; index;; explore;; families;; integrated;; larger;; host;; communities;; shows;; landladies;; landlords;; differing;; practices;; regard;; overcrowding;; enforcement;; segregation;; makes;; sustained;; argument;; rethinking;; approach;; relationship;; property","10.3389/fdigh.2016.00008","sociology;; renting;; quarter;; population;; overcrowding;; multimedia;; multiculturalism;; law;; immigration;; enforcement;; demographic economics;; census"
"University of Colorado Denver;; University of Colorado Denver","large;; areas;; old;; urban;; core;; american;; cities;; destroyed;; post;; war;; era;; city;; leaders;; sought;; counteract;; metropolitan;; decentralization;; implementing;; renewal;; programs;; part;; places;; deemed;; worthy;; documentation;; indeed;; declared;; blighted;; widely;; viewed;; ugly;; cancerous;; threats;; future;; health;; enthusiastically;; demolished;; reason;; rarely;; object;; paper;; attempts;; address;; neglect;; lost;; landscapes;; gis;; provide;; means;; envision;; past;; focusing;; case;; auraria;; district;; downtown;; denver;; pursues;; three;; aims;; first;; develop;; test;; reconstructing;; scale;; methods;; data;; derived;; historic;; sanborn;; fire;; insurance;; maps;; second;; aim;; conduct;; preliminary;; land;; spatial;; connectivity;; building;; massing;; order;; evaluate;; utility;; generating;; insight;; form;; character;; functioning;; third;; assess;; degree;; reconstructions;; kind;; become;; valuable;; tools;; contemporary;; planning;; efforts","10.3389/fdigh.2015.00003","urban planning;; urban history;; urban geography;; urban density;; multimedia;; metropolitan area;; land use;; environmental planning;; downtown;; documentation;; computer science;; archaeology"
"Swiss RISM Office, Switzerland","work;; humanities;; increasingly;; driven;; digital;; technology;; musicology;; exception;; field;; undergoing;; same;; revolution;; disciplines;; least;; two;; key;; areas;; transforming;; research;; access;; scale;; internet;; radically;; changed;; data;; make;; accessible;; others;; correlatively;; scope;; projects;; broadened;; completely;; extent;; mean;; scholars;; base;; wide;; range;; materials;; music;; forms;; heritage;; western;; culture;; preserved;; text;; form;; far;; widely;; type;; material;; musicological;; studies;; handwritten;; printed;; sources;; constitute;; core;; historical;; rely;; types;; textual;; archival;; letter;; writings;; libretti;; inventories;; diverse;; kind;; essential;; understanding;; socio;; economic;; context;; written;; better;; specific;; aspects;; performance;; practice;; time;; itself;; may;; sound;; recordings;; focusing;; relatively;; history;; case;; ethno;; folk;; songs;; cook;; 2010;; obtaining;; always;; struggle;; musicologists;; few;; years;; ago;; studying;; source;; meant;; first;; locating;; relevant;; bibliographies;; writing;; holding;; library;; waiting;; microfilm;; prepared;; sent;; process;; take;; months;; unpredictably;; expensive;; guarantee;; success;; obstacle;; seriously;; reduced;; breadth;; reasonably;; envisage;; consequent;; inclination;; toward;; close;; reading;; approaches;; restricted;; set;; coming;; world;; situation;; resources;; now;; online;; bibliographic;; finding;; aids;; makes;; significantly;; easier;; collections;; digitized;; greatly;; facilitates;; secondary;; composer;; archive;; beethoven;; haus;; repertoire;; oriented;; image;; medieval;; manuscripts;; diamm;; collection;; julliard;; manuscript;; cite;; three;; examples;; archives;; cameras;; allowed;; capture;; quickly;; straightforward;; store;; thousands;; images;; personal;; computer;; cloud;; even;; share;; community;; websites;; turn;; raises;; copyright;; concerns;; issues;; addressed;; still;; overwhelmingly;; linked;; several;; important;; ocve;; edirom;; mostly;; philological;; successful;; relying;; extensively;; bradley;; vetch;; 2007;; bohl;; al;; 2011;; address;; searching;; require;; referred;; content;; never;; behind;; experimenting;; computational;; domains;; quite","10.3389/fdigh.2015.00004","western culture;; the internet;; programming;; pop music automation;; personal computer;; natural language processing;; musicology;; music theory;; multimedia;; microform;; computer science;; artificial intelligence"
"UMR 7041 ArScAn ’Archéologies Environnementales’, University Paris 1, France;; EA 4543 ’SAMM’, University Paris 1, France;; UMR 7041 ArScAn ’Archéologies Environnementales’, University Paris 1, France","article;; one;; first;; steps;; project;; aims;; exploring;; diffusion;; patterns;; mediterranean;; imported;; goods;; late;; iron;; age;; europe;; 250;; 25;; bc;; organisation;; commercial;; interactions;; brings;; together;; two;; archaeologists;; mathematician;; wide;; inventory;; 57;; 735;; italian;; greek;; imports;; discovered;; england;; serbia;; large;; amount;; unpublished;; data;; analysed;; joint;; network;; tools;; formal;; statistical;; methods;; focuses;; detecting;; association;; artefacts;; found;; same;; sites;; objectives;; highlight;; groups;; may;; circulated;; emphasise;; regional;; selections;; local;; populations;; stage;; main;; systems;; highlighted;; respectively;; west;; central;; interesting;; leads;; investigation;; include;; status;; role;; played;; celtic;; societies;; acculturated;; objects;; more;; acculturation","10.3389/fdigh.2017.00001","multimedia;; mediterranean climate;; late iron age;; economy;; computer science;; celtic languages;; archaeology;; acculturation"
"University of Strasbourg","rapid;; progress;; deep;; neural;; network;; architectures;; allowing;; both;; automate;; production;; artworks;; extend;; domain;; creative;; expression;; opening;; ground;; professional;; amateur;; artists;; alike;; major;; asset;; computer;; processes;; capacity;; derive;; training;; phase;; generative;; model;; artefacts;; attribute;; allows;; wide;; range;; novel;; applications;; music;; paintings;; style;; famous;; click;; button;; combined;; form;; graphical;; compositions;; hallucinated;; algorithmic;; models;; produce;; striking;; unexpected;; visual;; forms;; same;; token;; dependence;; pre;; existing;; protected;; lays;; potential;; zones;; friction;; rights;; holders;; source;; data;; helped;; shape;; articulation;; popular;; movement;; initiated;; authors;; leads;; confrontation;; legal;; framework;; protection;; artistic;; creations;; modalities;; offered;; technological;; objects;; work;; address;; conditions;; generated;; networks;; main;; copyright;; regimes","10.3389/fdigh.2017.00003","security token;; multimedia;; intellectual property;; human computer interaction;; hallucinated;; generative model;; deep learning;; computer science;; computational creativity;; automaton;; artificial intelligence;; amateur"
"École Polytechnique Fédérale de Lausanne;; École Polytechnique Fédérale de Lausanne;; École Polytechnique Fédérale de Lausanne","paper;; methodology;; analyze;; linguistic;; changes;; textual;; corpus;; allowing;; overcome;; two;; common;; problems;; linguistics;; studies;; one;; issues;; monotonic;; increase;; size;; time;; presence;; noise;; data;; addition;; allows;; better;; target;; evolution;; instead;; aspects;; fluctuation;; topics;; formed;; newspapers;; gazette;; lausanne;; le;; journal;; gen;; eve;; providing;; 4;; million;; articles;; 200;; years;; archives;; first;; perform;; classical;; measurements;; order;; provide;; indicators;; visualizations;; define;; concept;; lexical;; kernel;; word;; resilience;; face;; challenges;; noises;; fluctuations;; ends;; discussion;; comparison;; change;; concludes;; future;; works;; continuing;; direction","10.3389/fdigh.2017.00002","text corpus;; psychological resilience;; newspaper;; natural language processing;; linguistics;; linguistic change;; kernel;; corpus linguistics;; computer science;; artificial intelligence"
"University of Cambridge;; University of Barcelona;; University of Barcelona;; Institut Català de Paleoecologia Humana i Evolució Social (IPHES), Spain","period;; beginning;; early;; iron;; age;; end;; archaic;; time;; changes;; developments;; italian;; peninsula;; led;; creation;; regional;; ethnic;; political;; groups;; formation;; first;; city;; states;; western;; europe;; focus;; evolution;; terrestrial;; route;; network;; tyrrhenian;; region;; latium;; vetus;; hypothesised;; scholars;; archaeological;; evidence;; main;; goal;; investigate;; mechanisms;; linking;; decision;; processes;; structure;; transportation;; networks;; attempted;; replicate;; features;; applying;; three;; models;; previously;; elaborated;; neighboring;; southern;; etruria;; attain;; entirely;; satisfactory;; modified;; model;; performed;; better;; etruscan;; tunable;; amount;; rich;; get;; richer;; bias;; considerably;; performance;; coordinated;; slightly;; unbalanced;; power;; responsible;; peculiar;; characteristics;; topology;; moreover;; mechanism;; implemented;; implies;; places;; located;; favourable;; positions;; build;; initial;; advantage;; more;; powerful;; fits;; picture;; different;; nature;; balance;; dynamics","10.3389/fdigh.2017.00004","politics;; peninsula;; network topology;; network model;; network analysis;; multimedia;; flow network;; economic geography;; computer science;; artificial intelligence;; archaic period;; archaeological evidence"
