AA.DAfN,AW,DOI,F.FN
";; ","scientific;; researchers;; today;; frequently;; package;; measurements;; metadata;; digital;; datasets;; anticipation;; storage;; data;; repositories;; lens;; environmental;; stewardship;; consider;; repository;; organizational;; element;; central;; curation;; one;; aspect;; commercial;; distance;; origin;; explored;; terms;; remote;; categories;; three;; idealized;; types;; distinguished;; local;; center;; archive;; paralleling;; research;; resource;; reference;; collection;; respectively;; type;; characteristics;; scope;; structure;; goals;; similarities;; roles;; activities;; responsibilities;; examined;; care;; responsible;; communication;; supported;; infrastructure;; coordinates;; defined;; set;; repeated;; repeatable;; focusing;; tending;; creating;; products;; arena;; concept;; sphere;; context;; introduced;; aid;; distinguishing;; conceptualizing;; web;; accommodates;; variety;; represents;; ecologically;; inclusive;; approach","10.2218/ijdc.v4i2.90","world wide web;; scientific communication;; metadata;; information repository;; environmental data;; data science;; data products;; data mining;; data curation;; computer science"
";; ","academic;; librarians;; increasingly;; engaging;; data;; curation;; providing;; infrastructure;; g;; institutional;; repositories;; offering;; services;; management;; plan;; consultations;; support;; research;; campuses;; efforts;; develop;; resources;; may;; benefit;; greater;; understanding;; disciplinary;; differences;; needs;; conducting;; survey;; practices;; perspectives;; university;; categorized;; faculty;; members;; four;; domains;; arts;; humanities;; social;; sciences;; medical;; basic;; variations;; patterns;; responses;; found;; statistically;; significant;; nearly;; every;; item;; revealing;; important;; distinctions;; actions;; attitudes;; interest;; serious;; consideration;; both;; similarities;; dissimilarities;; disciplines;; help;; guide;; professionals;; developing;; range;; tailored;; unique;; different;; scholarly;; researchers","10.2218/ijdc.v8i2.263","knowledge management;; discipline;; data mining;; data management plan;; data management;; data curation;; computer science"
"","","10.2218/ijdc.v14i1.656","scripting language;; reproducibility;; knowledge management;; information retrieval;; computer science"
"","national;; archives;; developing;; range;; practical;; solutions;; active;; preservation;; electronic;; records;; extensible;; service;; oriented;; architecture;; central;; technical;; registry;; pronom;; paper;; describes;; tna;; methodologies;; characterisation;; planning;; action;; technologies;; adopted;; implement;; role;; supporting;; services;; approach;; fits;; international;; research;; programmes;; types;; may;; able;; provide;; externally;; future","10.2218/ijdc.v2i1.10","world wide web;; national archives;; international research;; electronic records;; data mining;; computer science;; architecture"
"","successful;; research;; innovation;; system;; depends;; open;; exchange;; ideas;; information;; knowledge;; both;; methods;; scholarly;; communications;; undergoing;; fundamental;; changes;; opportunities;; challenges;; communicating;; funders;; different;; stages;; responding;; turn;; researchers;; institutions;; paper;; reports;; undertaken;; 2006;; policies;; practices;; views;; range;; major;; uk;; relation;; management;; outputs;; generated;; benefit;; support;; covers;; full;; journal;; articles;; monographs;; data;; generally;; published;; traditional;; form;; article;; conclusions;; issues;; addressed;; development;; coherent;; consistent;; policy;; framework;; future","10.2218/ijdc.v2i1.12","knowledge management;; innovation system;; computer science;; communications system"
";; ;; ","understanding;; communicating;; cost;; value;; digital;; curation;; activities;; now;; recognised;; number;; projects;; initiatives;; important;; factor;; ensuring;; long;; term;; survival;; assets;; developed;; costing;; models;; preservation;; remains;; major;; problem;; information;; otherwise;; difficult;; express;; terms;; readily;; understood;; stakeholders;; especially;; might;; fund;; paper;; introduces;; range;; issues;; concerning;; business;; sustained;; funding;; reference;; espida;; project;; recently;; completed;; university;; glasgow;; model;; builds;; balanced;; scorecard;; approach;; performance;; kaplan;; norton;; casts;; investment;; current;; ongoing;; expenditure;; incurred;; order;; produce;; future;; returns;; benefitting;; formulation;; seen;; multi;; facetted;; point;; view;; individual;; organisation;; explicitly;; funder;; strategic;; goals;; recognises;; benefits;; may;; accrue;; over;; risk;; preserved;; fail;; deliver;; return;; examples;; concern;; establishment;; institutional;; repository;; thesis;; service;; educational;; institution;; concludes;; deconstruction;; kind;; more;; quickly;; fully;; even;; necessarily;; expert;; field;; facilitates;; production;; constructed;; case;; clearly;; articulates;; benefit;; accrues;; turn;; allows;; senior;; management;; funders;; make;; decisions;; understandable;; basic;; premise;; good;; practice;; commonly;; idea;; one;; methodology;; helps;; fulfil","10.2218/ijdc.v2i1.11","senior management;; knowledge management;; digital preservation;; digital curation;; data mining;; data curation;; computer science;; business model;; balanced scorecard;; asset;; activity based costing"
";; ","paper;; builds;; work;; presented;; ecdl;; 2006;; automated;; genre;; classification;; step;; toward;; automating;; metadata;; extraction;; digital;; documents;; ingest;; repositories;; run;; archives;; libraries;; eprint;; services;; kim;; ross;; 2006b;; previously;; dividing;; features;; document;; five;; types;; visual;; layout;; language;; model;; stylometric;; semantic;; structure;; contextual;; object;; linked;; classified;; objects;; external;; sources;; examined;; current;; compares;; testing;; classifiers;; image;; binary;; show;; certain;; genres;; strong;; enable;; effective;; separation;; belonging;; large;; pool","10.2218/ijdc.v2i1.13","natural language processing;; metadata;; language model;; information retrieval;; feature;; eprint;; computer science;; binary classification;; artificial intelligence"
"Centre for e-Research;; Digital Humanities","reference;; model;; open;; archival;; information;; system;; oais;; established;; research;; community;; modelling;; functions;; digital;; repository;; basis;; frame;; curation;; preservation;; issues;; 5th;; anniversary;; review;; timely;; consider;; may;; interpreted;; institutional;; paper;; examines;; methods;; sharing;; essential;; requirements;; two;; more;; institutions;; outlining;; practical;; considerations;; outsourcing;; details;; approach;; taken;; sherpa;; dp;; project;; introduce;; disaggregated;; service;; repositories;; wish;; implement;; services","10.2218/ijdc.v2i1.14","service model;; reference model;; outsourcing;; open archival information system;; knowledge management;; digital curation;; data mining;; computer science"
"School of Social and Political Science;; School of Social and Political Science;; ;; ;; University of Edinburgh;; ","work;; licensed;; creative;; commons;; attribution;; rights;; reserved;; http;; creativecommons;; org","10.2218/ijdc.v2i1.15","world wide web;; data science;; data mining;; data curation;; creative commons;; computer science"
";; ","mit;; libraries;; san;; diego;; supercomputer;; center;; university;; california;; conducting;; pledge;; project;; determine;; set;; policies;; affect;; operational;; digital;; preservation;; archives;; develop;; standardized;; means;; recording;; enforcing;; rules;; engines;; potential;; allow;; automated;; assessment;; trustworthiness;; evaluating;; completeness;; efforts;; define;; rlg;; nara;; trusted;; repository;; checklist;; premis;; metadata;; schema;; date","10.2218/ijdc.v2i1.16","world wide web;; trustworthiness;; supercomputer;; pledge;; digital preservation;; digital library;; digital curation;; digital asset management;; data mining;; computer science;; checklist"
