AA.DAfN,AW,DOI,F.FN
"Ghent University","","10.1007/s42803-019-00010-y","world wide web;; history;; cultural studies;; computational linguistics"
"Huygens Institute for the History of the Netherlands","online;; book;; discussion;; popular;; activity;; weblogs;; specialized;; sites;; booksellers;; elsewhere;; discussions;; important;; research;; literary;; reception;; kept;; accessible;; researchers;; article;; asks;; archive;; look;; describe;; terms;; central;; concepts;; textual;; scholarship;; work;; document;; text;; transcription;; variant;; approach;; lines;; mean;; collection;; if;; holds;; pieces;; information;; usually;; demographic;; contributors;; still;; call;; edition;; editing;; preparing;; introduces;; relevant;; dutch;; language;; summarizes;; properties;; others;; dynamic;; vulnerable;; contain;; structured;; data;; large;; perspective;; creating;; discusses;; interpretation;; essential;; studies;; context;; briefly;; lists;; number;; components;; digital;; might;; argues;; scholarly;; just;; web","10.1007/s42803-019-00014-8","world wide web;; war;; textual scholarship;; social media;; history;; digital edition"
"University of Lausanne","article;; model;; annotating;; textual;; variants;; annotations;; queried;; order;; analyse;; find;; patterns;; variation;; flexible;; allowing;; scholars;; set;; boundaries;; readings;; nest;; concatenate;; sites;; annotate;; pair;; furthermore;; organizes;; characteristics;; features;; presenting;; conceptual;; applications;; number;; case;; studies;; introduces;; two;; implementations;; logical;; models;; namely;; relational;; database;; schema;; owl;; 2;; ontology;; scope;; specific;; issue;; criticism;; broader;; focus;; data;; structured;; visualized;; digital;; scholarly;; editing","10.1007/s42803-019-00023-7","web ontology language;; textual criticism;; ontology;; information retrieval;; implementation;; digital edition;; data model;; conceptual model;; concatenation;; computer science"
"Research and Development – KNAW Humanities Cluster, Amsterdam, Netherlands;; Research and Development – KNAW Humanities Cluster, Amsterdam, Netherlands;; Research and Development – KNAW Humanities Cluster, Amsterdam, Netherlands","technological;; developments;; field;; textual;; scholarship;; lead;; renewed;; focus;; variation;; variants;; liberated;; peripheral;; place;; appendices;; footnotes;; more;; prominent;; position;; digital;; edition;; work;; constitutes;; informative;; meaningful;; visualisation;; article;; takes;; collation;; software;; point;; departure;; examining;; several;; visualisations;; output;; contains;; wealth;; information;; variance;; newly;; developed;; hypercollate;; touchstone;; issue;; representing;; advance;; literary;; research;; concludes;; set;; recommendations;; order;; evaluate;; different","10.1007/s42803-019-00012-w","visualization;; textual scholarship;; textual information;; software;; point of departure;; markup language;; information retrieval;; graph;; computer science;; collation"
"Ghent University;; University of Sussex;; Eötvös Loránd University","","10.1007/s42803-019-00011-x","visual arts;; history;; digital humanities;; born digital"
"University of Colorado Boulder;; University of Colorado Boulder","media;; archaeology;; lab;; mal;; university;; colorado;; boulder;; u;; acts;; both;; archive;; site;; authors;; describe;; anarchival;; practice;; research;; creation;; indicates;; creative;; activity;; enacted;; complement;; existing;; stable;; researching;; one;; laptop;; per;; child;; initiative;; way;; donation;; xo;; laptops;; devised;; modular;; process;; groups;; investigate;; gap;; intended;; affordances;; piece;; technology","10.1007/s42803-019-00005-9","multimedia;; modular design;; mesh networking;; media archaeology;; laptop;; cultural studies;; computer science;; computational linguistics;; affordance"
"Library of Congress;; Library of Congress","over;; last;; two;; decades;; publishing;; distributing;; content;; web;; become;; core;; part;; society;; ephemeral;; rapidly;; essential;; component;; human;; record;; writing;; histories;; late;; 20th;; early;; 21st;; century;; require;; engaging;; archives;; scale;; significant;; challenges;; research;; access;; engage;; material;; digital;; humanities;; scholars;; advancing;; computational;; methods;; work;; corpora;; millions;; digitized;; resources;; fully;; growing;; now;; approach;; examine;; billions;; ultimately;; trillions;; incongruous;; article;; approaches;; one;; seemingly;; insignificant;; fundamental;; aspect;; design;; history;; tiny;; transparent;; images;; tool;; layout;; surfaces;; traces;; files;; illustrate;; future;; paths;; case;; offers;; implications;; allowing;; prompts;; considerations;; librarians;; archivists;; thinking;; data;; development;; systems;; qualitative;; quantitative;; make","10.1007/s42803-019-00006-8","world wide web;; web design;; web content;; web archiving;; spacer gif;; publishing;; page layout;; digital history;; computer science;; computational linguistics"
"Gesellschaft für wissenschaftliche Datenverarbeitung mbh Göttingen (GWDG), Göttingen, Germany;; Austrian Academy of Sciences;; National Research University – Higher School of Economics;; Centre national de la recherche scientifique;; Göttingen State and University Library, Göttingen, Germany;; Austrian Academy of Sciences;; Göttingen State and University Library, Göttingen, Germany","way;; researchers;; arts;; humanities;; disciplines;; work;; changed;; significantly;; research;; longer;; done;; isolation;; increasing;; number;; digital;; tools;; certain;; types;; knowledge;; deal;; material;; questions;; scaled;; see;; emergence;; infrastructures;; address;; change;; infrastructure;; dariah;; open;; international;; network;; community;; revolves;; around;; exchange;; experiences;; sharing;; expertise;; resources;; comprise;; digitised;; wide;; variety;; born;; data;; services;; software;; learning;; teaching;; materials;; sustaining;; reuse;; involves;; different;; parties;; stakeholders;; influenced;; multitude;; factors;; play;; pivotal;; role;; article;; describes;; tries;; meet;; requirements;; broad;; range;; details;; approaches;; situated;; specific;; national;; contexts;; otherwise;; large;; heterogeneous;; scenario;; gives;; overview;; ongoing;; efforts;; towards;; convergence;; social;; technical;; aspects","10.1007/s42803-019-00008-6","the arts;; software;; situated;; reuse;; multitude;; descriptive knowledge;; data science;; cultural studies;; computer science;; computational linguistics"
"University of Antwerp","","10.1007/s42803-019-00020-w","visual arts;; artificial imagination;; art"
"Université Grenoble Alpes – LUHCIE, Grenoble, France","digital;; scholarly;; editions;; expensive;; make;; maintain;; prove;; unattainable;; less;; established;; scholars;; early;; careers;; phd;; students;; indeed;; anyone;; without;; access;; significant;; funding;; one;; solution;; create;; tools;; platforms;; able;; provide;; publishing;; framework;; requires;; neither;; high;; tech;; skillset;; nor;; big;; investment;; call;; type;; edition;; pret;; porter;; distinguished;; haute;; couture;; tailored;; specific;; needs;; argued;; both;; types;; necessary;; healthy;; environment","10.1007/s42803-019-00019-3","xml;; sociology;; ready to wear;; publishing;; library science;; cultural studies;; computational linguistics"
