AA.DAfN,AW,DOI,F.FN
";; ","historians;; historical;; quantitative;; social;; scientists;; motivated;; renewed;; interest;; history;; sophisticated;; tools;; digital;; infrastructure;; developing;; data;; repositories;; global;; scale;; collaborative;; archives;; slow;; grow;; article;; directed;; toward;; contemplating;; projects;; repository;; development;; valuable;; hand;; studies;; show;; rely;; upon;; voluntary;; contribution;; numerous;; researchers;; seldom;; reach;; critical;; mass;; surveys;; information;; hoover;; project;; confirm;; assessment;; conclude;; remain;; poorly;; aligned;; day;; scholarly;; practices;; unlikely;; realize;; promise;; until;; life;; becomes;; part;; profession;; believe;; introduce;; four;; strategies;; one;; backed;; successful","10.3366/ijhac.2016.0170","sociology;; social science;; social life;; quantitative history;; data sharing;; data science;; analysis data"
";; College of Arts, Humanities and Social Sciences","bentham;; papers;; transcription;; initiative2;; transcribe;; short;; award;; winning;; crowdsourced;; manuscript;; initiative;; engages;; students;; researchers;; general;; public;; thought;; life;; philosopher;; reformer;; jeremy;; 1748;; 1832;; digital;; images;; his;; manuscripts;; anyone;; anywhere;; world;; launch;; september;; 2010;; over;; 2;; 6;; million;; words;; transcribed;; volunteers;; paper;; examine;; contribution;; humanities;; research;; burgeoning;; field;; discuss;; potential;; project;; make;; significant;; discoveries;; vast;; collection;; several;; examples;; interesting;; material;; far;; crowd;; sourced;; open;; activities;; traditionally;; viewed;; academic;; endeavors;; wider;; au","10.3366/ijhac.2014.0119","sociology;; social science;; digital humanities;; crowdsourcing;; academic history"
";; ;; ;; ","mapping;; moment;; performance;; culture;; nottingham;; 1857;; 67;; project;; http;; www;; ac;; uk;; mapmoment;; interdisciplinary;; collaboration;; history;; geography;; aim;; investigation;; complex;; connections;; different;; kinds;; sites;; entertainment;; people;; communities;; involved;; watching;; rapidly;; developing;; east;; midlands;; town;; mid;; victorian;; questions;; space;; proximity;; temporal;; relationships;; central;; choice;; processes;; both;; venue;; managers;; potential;; spectators;; so;; sought;; create;; resource;; map;; nineteenth;; century;; organised;; information;; ways;; highlighted;; allowed;; us;; explore;; place;; audience;; describe;; creation;; reflect;; development;; o","10.3366/ijhac.2011.0027","sociology;; social science;; multimedia;; entertainment;; drama"
"","whilst;; application;; online;; multimedia;; digital;; technology;; arts;; humanities;; research;; burgeoned;; over;; last;; decade;; practice;; openly;; conducting;; collaborative;; discursive;; publicly;; remains;; one;; unfamiliar;; conceptually;; problematic;; areas;; academics;; field;; user;; surveys;; blog;; posts;; forum;; discussions;; article;; both;; account;; assessment;; web;; 2;; 0;; technologies;; large;; scale;; project;; examining;; usage;; impressions;; team;; wider;; community;; users;; investigates;; advantages;; gained;; problems;; faced;; virtual;; environment;; vre;; pays;; special;; attention;; video;; implications;; practices","10.3366/ijhac.2011.0029","world wide web;; web 2 0;; virtual research environment;; the arts;; social science;; project team;; multimedia;; humanities;; geography"
"","one;; strategic;; way;; understand;; impact;; digital;; technologies;; domain;; research;; identify;; factor;; scholars;; realm;; everyday;; academic;; practice;; evaluative;; strategy;; grounded;; field;; social;; informatics;; referred;; socio;; technical;; interaction;; networks;; stin;; approach;; central;; tenet;; analytical;; models;; context;; humanities;; routine;; engagement;; sociotechnical;; network;; web;; relationships;; technological;; elements;; qualitative;; data;; collected;; multiple;; sources;; value;; analysing;; assimilation;; geographical;; information;; systems;; gis;; researchers;; studying;; historical;; topics;; conclude;; identifying;; core;; issues;; emerging;; useful;; think;; policy;; aspects","10.3366/ijhac.2011.0030","sociotechnical system;; sociology;; social science;; social informatics;; realm;; qualitative property;; knowledge management;; information system;; digital humanities;; assimilation;; academic practice"
"","papers;; volume;; elsewhere;; testify;; ample;; evidence;; gis;; embraced;; successfully;; tool;; explore;; visualize;; historical;; events;; surprise;; generic;; hands;; creative;; user;; applied;; field;; situation;; spatial;; component;; deliberately;; helps;; illustrate;; thinking;; now;; needs;; evolve;; put;; simply;; fully;; benefiting;; history;; requires;; more;; applying;; importantly;; proper;; understanding;; happens;; knowledge;; transformed;; information;; digital;; data;; computer;; mostly;; untapped;; value;; scholarly;; lies;; opportunities;; arise;; thoughtful;; awareness;; changes;; transformations;; so;; let;; us;; consider;; nature;; today;; might;; differently;; major;; horizon;; may;; impact;; users;; ready","10.3366/ijhac.2009.0006","surprise;; multimedia;; history;; enterprise gis;; digital data;; data science;; archaeology"
"School of Geography, Archaeology and Palaeoecology;; School of Geography, Archaeology and Palaeoecology","uk;; network;; expert;; centres;; collaborative;; approach;; digital;; arts;; humanities;; recently;; established;; broad;; mission;; facilitate;; exchange;; expertise;; outreach;; across;; community;; practice;; engaged;; aspects;; research;; scholarship;; led;; promote;; engagement;; methodologies;; broader;; areas;; interest;; members;; include;; data;; creation;; curation;; preservation;; management;; rights;; legal;; issues;; access;; dissemination;; re;; membership;; open;; great;; britain;; ireland;; demise;; service;; ahrc;; ict;; methods;; centralized;; supporting;; infrastructure;; co;; oordination;; activity;; area;; means;; substitute;; services","10.3366/ijhac.2009.0016","the arts;; social science;; scholarship;; outreach;; multimedia;; knowledge management;; information and communications technology;; humanities;; geography;; digital humanities;; digital art;; data as a service;; community of practice"
"Institut de Recherche et Coordination Acoustique/Musique;; Heuristique et Diagnostic des Systèmes Complexes [Compiègne]","papers;; starts;; mysterious;; contribution;; michel;; foucault;; 1967;; heterotopias;; special;; epistemological;; sites;; case;; immersive;; virtual;; reality;; art;; project;; dealing;; ancient;; abbey;; reconstruction;; managed;; french;; engineering;; school;; analyse;; successive;; attempts;; satisfy;; system;; users;; extending;; heterotopology;; appears;; useful;; creative;; research;; communities","10.3366/ijhac.2009.0015","virtual reality;; sociology;; social science;; michel foucault;; immersion;; heterotopia"
";; ;; ;; ;; ;; ;; ;; ","paper;; explores;; creating;; large;; scale;; urban;; 3d;; models;; historical;; gis;; data;; capable;; automatically;; generating;; realistic;; vr;; low;; cost;; houses;; created;; polygon;; fences;; line;; pedestrians;; trees;; point;; applied;; virtual;; kyoto;; project;; landscape;; whole;; city;; early;; edo;; era;; ca;; 17c;; reconstructed","10.3366/ijhac.2009.0007","urban model;; the arts;; polygon;; multimedia;; geography;; cartography;; architectural engineering"
"","visible;; past;; cross;; platform;; scalable;; research;; learning;; environment;; primary;; aim;; help;; students;; scholars;; experience;; communicate;; fully;; immersive;; historically;; accurate;; models;; geographic;; realities;; relate;; information;; specific;; real;; locations;; includes;; location;; aware;; capabilities;; future;; include;; attention;; scenario","10.3366/ijhac.2009.0014","world wide web;; virtual reality;; scalability;; multimedia;; learning environment;; geography;; digital humanities"
"","paper;; propose;; methodology;; analysing;; landscape;; drawing;; methods;; gis;; subject;; my;; genre;; japanese;; screen;; paintings;; rakuchÅ«;; rakugai;; zu;; created;; 16th;; 18th;; centuries;; provide;; bird;; eye;; views;; capital;; city;; kyoto;; buildings;; natural;; features;; human;; activities;; introduced;; uses;; spatial;; functions;; scan;; painting;; surface;; onto;; survey;; coordinate;; grid;; relative;; positions;; landmarks;; analytic;; sequence;; follows;; 1;; derive;; values;; both;; 2;; generate;; link;; table;; two;; point;; data;; sets;; 3;; projective;; transformation;; rubber;; sheeting;; techniques;; project;; 4;; areas;; sheet;; derived;; polygons;; process;; gives;; visual;; representation","10.3366/ijhac.2009.0008","visualization;; polygon;; painting;; multimedia;; homography;; grid;; geography;; computer graphics images;; cartography"
";; ","one;; early;; drivers;; historical;; gis;; development;; national;; giss;; systems;; usually;; hold;; country;; census;; statistics;; nineteenth;; twentieth;; centuries;; represent;; extremely;; valuable;; resource;; same;; time;; remain;; expensive;; consuming;; build;; investment;; worthwhile;; paper;; takes;; great;; britain;; explores;; built;; methodologies;; developed;; exploit;; data;; contains;; example;; unique;; railroads;; wales;; first;; world;; war","10.3366/ijhac.2009.0013","social science;; regional science;; population;; information system;; geography;; genealogy;; first world war;; exploit;; comparative historical research;; census"
"","paper;; assesses;; role;; potential;; cultural;; virtual;; reality;; cvr;; modelling;; archaeological;; landscapes;; digital;; visualisations;; spreading;; rapidly;; tool;; research;; medium;; communication;; landscape;; archaeology;; benefits;; limitations;; published;; case;; studies;; reviewed;; question;; extent;; computer;; game;; engines;; may;; assist;; past;; model;; laxton;; castle;; england;; introduced;; created;; sega;; gaming;; software","10.3366/ijhac.2009.0011","visualization;; virtual reality;; virtual model;; software;; multimedia;; geography;; archaeology"
";; ;; ;; ","year;; long;; project;; investigate;; digital;; technologies;; prosopographical;; research;; resulted;; creation;; intermediary;; objects;; called;; factoids;; database;; model;; multiple;; relationships;; elite;; medieval;; landholders;; facilitated;; modular;; approach;; development;; whereas;; virtual;; environment;; vre;; allowed;; flexible;; speedy;; data;; entry;; gis;; mapping;; function;; via;; web;; map;; services","10.3366/ijhac.2009.0012","world wide web;; virtual research environment;; social science;; prosopography;; modular design;; middle ages;; geography;; elite;; data entry"
";; ","geographic;; information;; system;; gis;; lithic;; procurement;; patterns;; crucial;; energy;; expenditure;; territoriality;; prehistoric;; communities;; cost;; weight;; analyses;; calculate;; proxy;; energetic;; expenditures;; agents;; transport;; materials;; quarry;; nearest;; habitation;; site;; illustrating;; values;; onto;; maps;; helps;; us;; understand;; changes;; toolstone;; time;; comparing;; one;; period;; another;; demonstrates;; developed;; sense;; research;; investigates;; central;; mesa;; verde;; puebloans;; utilised;; resources;; landscape;; d;; 600;; 1280","10.3366/ijhac.2009.0010","territoriality;; social science;; proxy;; procurement;; prehistory;; mesa;; geography;; geographic information system;; environmental resource management;; energy expenditure;; archaeology"
"","","10.3366/ijhac.2009.0018","social science;; scholarship;; media studies;; history;; historical geography;; anthropology"
"","","10.3366/ijhac.2009.0004","social science;; scholarship;; media studies;; geography"
"","","10.3366/ijhac.2009.0017","spatial analysis;; social science;; scholarship;; geography;; art history"
"","","10.3366/ijhac.2009.0005","social science;; scholarship;; geography"
";; ;; ","developments;; technological;; tools;; happen;; every;; day;; publication;; books;; production;; readers;; happening;; daily;; currently;; young;; people;; live;; highly;; areas;; exposed;; adult;; reading;; independently;; accessing;; internet;; cd;; roms;; multimedia;; usually;; provide;; assistance;; oral;; written;; text;; discourse;; music;; sound;; effects;; animations1;; main;; purpose;; investigate;; influence;; integrating;; elementary;; school;; science;; technology;; classes;; students;; learning;; effectiveness;; employed;; nonequivalent;; group;; pre;; test;; post;; quasi;; experimental;; design;; consisted;; conducting;; activities;; 20;; minutes;; period;; three;; periods;; week;; total;; six;; weeks;; 60;; sixth;; grade;; equally;; divided;; control;; grou","10.3366/ijhac.2012.0051","the internet;; social science;; multimedia;; happening;; computer science"
"","article;; introduces;; case;; across;; sectors;; partnerships;; digitalisation;; industrial;; heritage;; taiwan;; common;; values;; endeavors;; part;; personnel;; national;; science;; technology;; museum;; chunghwa;; telecom;; company;; cooperating;; preserve;; digitalise;; artifacts;; relevant;; historical;; materials;; partnership;; plentiful;; include;; interpretation;; establishment;; digital;; database;; variety;; content;; applications;; websites;; physical;; exhibitions;; publications;; cultural;; goods;; etc;; key;; successful;; factors;; listed","10.3366/ijhac.2012.0039","telecommunications;; industrial heritage;; geography;; general partnership;; exhibition;; digital content;; cultural goods"
