AA.DAfN,AW,DOI,F.FN
";; ","","10.1007/s00799-004-0087-7","information retrieval;; digital library;; computer science"
"George Mason University;; University of South Carolina;; George Mason University","paper;; generalized;; authorization;; model;; multimedia;; digital;; libraries;; aim;; support;; enforcement;; access;; control;; requirements;; original;; data;; sources;; without;; create;; unified;; library;; integrate;; three;; widely;; models;; mandatory;; discretionary;; role;; single;; framework;; allowing;; seamless;; accesses;; protected;; security;; address;; needs;; continuous;; media;; supporting;; quality;; service;; qos;; preserving;; operational;; semantics;; technical;; core;; focuses;; development;; metadata;; corresponding;; metastructure;; represent;; policies;; shows;; applicabilty;; define;; objects;; synchronized;; integration;; language;; smil;; controls;; presentations;; following;; synchronization;; constructs;; par;; seq;; normal;; form;; streams;; called;; syntax;; independent;; representation;; semantically;; equivalent;; compositions;; extended;; decorated;; rdf;; statements;; representing;; interpretation;; object;; defined;; represented;; daml;; oil;; ontology;; propose;; concept;; subject;; encompasses;; permissions;; user;; regardless;; multiple;; different;; finally;; develop;; methods;; generate;; secure;; views;; retrieve;; server","10.1007/s00799-004-0080-1","world wide web;; synchronized multimedia integration language;; rdf;; quality of service;; operational semantics;; multimedia;; metadata;; digital library;; computer security model;; computer science;; access control"
"Università di Modena e Reggio Emilia, Dipartimento di Ingegneria dell’Informazione, via Vignolese 905, 41100, Modena, Italy#TAB#;; Università di Modena e Reggio Emilia, Dipartimento di Ingegneria dell’Informazione, via Vignolese 905, 41100, Modena, Italy#TAB#;; Università di Modena e Reggio Emilia, Dipartimento di Ingegneria dell’Informazione, via Vignolese 905, 41100, Modena, Italy#TAB#","ever;; growing;; volumes;; textual;; information;; sources;; fostered;; development;; digital;; libraries;; content;; readily;; accessible;; easy;; malicious;; users;; plagiarize;; giving;; rise;; security;; problems;; paper;; introduce;; duplicate;; detection;; scheme;; able;; determine;; particularly;; high;; accuracy;; degree;; one;; document;; similar;; another;; pairwise;; comparison;; detects;; resemblance;; documents;; considering;; chunks;; representing;; contexts;; words;; selected;; text;; resulting;; technique;; good;; level;; protection;; intellectual;; property;; improving;; availability;; data;; stored;; library;; correctness;; search;; finally;; addresses;; efficiency;; scalability;; issues;; introducing;; reduction;; techniques","10.1007/s00799-004-0079-7","scalability;; pairwise comparison;; intellectual property;; information retrieval;; digital library;; digital content;; data reduction;; data mining;; correctness;; computer science;; cluster analysis"
"Virginia Tech;; Virginia Tech;; Virginia Tech","advances;; digital;; libraries;; closely;; intertwined;; internet;; technologies;; advent;; web;; able;; reach;; constituencies;; previously;; unanticipated;; wide;; deployability;; accessible;; potential;; privacy;; violations;; grown;; tremendously;; touted;; semantic;; agent;; service;; ontology;; slated;; take;; another;; qualitative;; level;; unfortunately;; may;; open;; doors;; ways;; never;; seen;; propose;; infrastructure;; called;; semwebdl;; enables;; dynamic;; composition;; disparate;; autonomous;; preserving;; user;; users;; pose;; more;; queries;; require;; ad;; hoc;; collaboration;; multiple;; addition;; quality;; response;; rest;; extraneous;; information;; form;; profile;; introduce;; concept;; communities;; enable;; subject;; cooperation;; search;; speedup;; heterogeneity;; autonomy;; transcended;; layered;; library;; providers;; advertise;; services;; turn;; organized;; accessed;; purpose;; preservation;; devise;; three;; tier;; model;; consisting;; offers;; perspectives;; definition;; violation;; approach;; seamlessly;; interoperates;; potentially;; conflicting;; definitions;; policies;; different;; levels;; key;; aspect;; reputations;; outsourcing;; reputation;; behavior;; regard;; developed;; technique;; uses;; attribute;; ontologies;; flow;; difference;; collect;; evaluate;; disseminate","10.1007/s00799-004-0081-0","world wide web;; web service;; social semantic web;; semantic web stack;; semantic web;; privacy software;; privacy by design;; internet privacy;; information privacy;; data web;; computer science"
"Monash University;; Monash University;; University of North Carolina at Charlotte","content;; extraction;; signatures;; ces;; enable;; selective;; disclosure;; verifiable;; signed;; documents;; previously;; policy;; fragment;; grouping;; allow;; document;; signer;; designate;; subsets;; original;; valid;; subdocuments;; extending;; ability;; introduce;; hierarchical;; more;; powerful;; encoding;; dramatically;; smaller;; existing;; maps;; naturally;; onto;; hierarchically;; structured;; commonly;; found;; digital;; libraries;; giving;; motivating;; example;; involving;; conjecture;; enrich;; functionality;; cess;; show;; implement;; xml;; custom;; transform;; design;; signature;; structure;; order;; achieve","10.1007/s00799-004-0082-z","xml signature;; xml;; verifiable secret sharing;; selective disclosure;; relationship extraction;; information retrieval;; encoding;; digital library;; digital content;; data mining;; computer science"
"University of New South Wales;; University of New South Wales;; Hewlett-Packard","scalable;; approach;; trust;; negotiation;; digital;; library;; dl;; environments;; large;; dynamic;; user;; populations;; paper;; introduce;; serv;; model;; driven;; framework;; web;; services;; show;; effectively;; handle;; dls;; employs;; state;; machines;; extended;; security;; abstractions;; high;; level;; specifications;; expressed;; machine;; translated;; formats;; suitable;; automating;; process;; supports;; policy;; lifecycle;; management;; important;; trait;; characterize;; set;; change;; operations;; enable;; evolution;; policies;; without;; disrupting;; ongoing;; negotiations;; implemented;; container;; centric;; mechanism;; transparent;; developers;; simplifying;; development;; enabling;; deployments","10.1007/s00799-004-0083-y","world wide web;; web service;; scalability;; negotiation;; finite state machine;; digital library;; conceptual model;; computer science;; application lifecycle management;; abstraction"
"Academia Sinica;; Academia Sinica;; National Taiwan University","paper;; proposes;; effective;; query;; translation;; approach;; enables;; cross;; language;; information;; retrieval;; clir;; service;; more;; easily;; supported;; digital;; library;; systems;; contain;; monolingual;; content;; engine;; called;; livetrans;; process;; requests;; lingual;; queries;; connected;; automatically;; extract;; translations;; covered;; standard;; dictionaries;; developed;; novel;; integration;; dictionary;; resources;; web;; mining;; approaches;; anchor;; text;; search;; methods;; exploits;; broad;; range;; multilingual;; live;; bilingual;; corpora;; alleviate;; difficulties;; shown;; particularly;; extracting;; equivalents;; terms;; containing;; proper;; names;; terminology;; show;; feasibility;; great;; potential;; creating;; english;; chinese;; services;; existing;; libraries;; applications;; searching;; still;; remain;; investigated","10.1007/s00799-004-0091-y","world wide web;; web search query;; web resource;; web query classification;; web modeling;; web mining;; terminology;; information retrieval;; digital library;; cross language information retrieval;; computer science"
"University of Waikato;; University of Waikato;; University of Waikato;; University of Waikato","browsing;; part;; information;; seeking;; process;; needs;; ill;; defined;; unspecific;; searching;; interleaved;; accommodate;; changing;; awareness;; digital;; libraries;; support;; three;; systems;; created;; greenstone;; library;; software","10.1007/s00799-004-0088-6","world wide web;; software;; self organizing map;; multimedia;; information seeking;; information retrieval;; information needs;; digital library;; computer science"
"University of Milan;; George Mason University;; University of Vermont;; George Mason University","paper;; formal;; framework;; represent;; manage;; advanced;; policy;; rules;; incorporate;; notions;; provision;; obligation;; provisions;; conditions;; satisfied;; actions;; must;; performed;; user;; agent;; decision;; rendered;; obligations;; fulfilled;; system;; itself;; certain;; period;; time;; proposes;; specific;; formalism;; express;; investigates;; reasoning;; mechanism;; may;; supported;; more;; one;; rule;; derivation;; potentially;; different;; set;; called;; global;; po;; derive;; sets;; facilitates;; selection;; best;; numerical;; weights;; assigned;; semantic;; relationships;; presented;; hold;; applications;; requiring;; specification;; policies;; illustrates;; security;; domain","10.1007/s00799-004-0078-8","security domain;; obligation;; formalism;; data mining;; computer science;; access control"
"Duke University;; Durham University;; Duke University","data;; grids;; middleware;; systems;; offer;; secure;; shared;; storage;; massive;; scientific;; datasets;; over;; wide;; area;; networks;; main;; challenge;; design;; provide;; reliable;; search;; transfer;; numerous;; large;; files;; geographically;; dispersed;; heterogeneous;; platforms;; resource;; broker;; srb;; example;; system;; services;; deployed;; multiple;; high;; performance;; projects;; past;; few;; years;; paper;; take;; detailed;; look;; several;; functional;; features;; examine;; scalability;; synthetic;; trace;; workloads;; unlike;; traditional;; file;; uses;; commodity;; database;; manage;; both;; user;; defined;; metadata;; quantitatively;; evaluate;; decision;; draw;; insightful;; conclusions;; implications;; architecture;; characteristics;; find;; bulk;; facilities;; good;; properties;; identify;; bottleneck;; resources;; across;; different;; tasks;; sensitivity;; configuration;; parameters;; details;; internal;; operations;; contribute;; overall","10.1007/s00799-004-0086-8","systems architecture;; storage resource broker;; scalability;; middleware;; metadata;; grid;; database;; computer science;; client server model;; bottleneck"
