AA.DAfN,AW,DOI,F.FN
"Gettysburg College","years;; seen;; increase;; number;; digital;; collections;; academic;; public;; special;; libraries;; endeavors;; represent;; direction;; engaged;; initiating;; implementing;; maintaining;; expanding;; traditional;; roles;; collecting;; organizing;; providing;; access;; resources;; include;; creating;; content;; ways;; involved;; business;; producing;; task;; easier;; technology;; developed;; begun;; scant;; initial;; funding;; achieved;; converting;; staff;; members;; already;; dedicated;; tasks;; institution;; article;; look;; bright;; future;; usability;; remembering;; digitization;; humble;; beginnings;; lessons;; learning;; way","10.1080/10911360802087341","world wide web;; special collections;; metadata;; information access;; electronic document;; digitization;; digital library;; computer science;; collections management;; collection development"
"Hostos Community College;; Hostos Community College","viewpoint;; essay;; argue;; combining;; cataloging;; standard;; metadata;; practices;; user;; developed;; tags;; folksonomies;; good;; way;; subject;; access;; resources;; aligns;; foundational;; principles;; catalogers;; know;; better;; care;; precision;; goes;; creating;; updating;; library;; congress;; headings;; frustrated;; difficulty;; describing;; digital;; controlled;; vocabularies;; academic;; libraries;; especially;; gaining;; importance;; educators;; video;; games;; web;; community;; college;; incorporating;; collections;; order","10.1080/10911360802087358","world wide web;; web resource;; subject access;; resource description and access;; metadata;; library 2 0;; information retrieval;; controlled vocabulary;; computer science;; community college;; cataloging"
"","according;; calhoun;; library;; operations;; digital;; resources;; remotely;; accessible;; involve;; professional;; human;; judgement;; expertise;; require;; conceptual;; categorization;; standardization;; rather;; relevance;; ranking;; keywords;; fit;; leadership;; strategy;; itself;; inappropriate;; business;; model;; misrepresentation;; begin;; draws;; unjustified;; conclusions;; age;; inflates;; wishful;; thinking;; fails;; make;; critical;; distinctions;; disregards;; mischaracterizes;; alternative;; niche;; research;; libraries;; promote;; scholarship;; increase;; market;; position;; recommendations;; eliminate;; congress;; subject;; headings;; fast;; turnaround;; time;; gold;; standard;; cataloging;; particularly;; serious;; negative;; consequences;; t","10.1080/10911360802087374","world wide web;; wishful thinking;; standardization;; scholarship;; misrepresentation;; judgement;; computer science;; categorization;; cataloging;; business model"
"University of Chicago","banush;; leblanc;; 2007;; utilitarianism;; bentham;; resurrected;; offered;; philosophical;; backdrop;; dealing;; competing;; library;; choices;; article;; discusses;; two;; serious;; failures;; failure;; situate;; utility;; current;; context;; shared;; bibliographic;; databases;; cooperative;; cataloging;; programs;; automated;; data;; manipulation;; exchange;; simplistic;; assumptions;; users;; diverse;; needs;; allow;; authors;; reduce;; metadata;; issues;; simple;; managerial;; task;; triage","10.1080/10911360802087317","world wide web;; utilitarianism;; triage;; social life;; shared database;; metadata;; data manipulation language;; computer science;; cataloging"
"","google;; print;; change;; everything;; regarding;; professional;; cataloging;; classification;; books;; limitations;; make;; even;; more;; important;; researchers;; keyword;; search;; mechanism;; backed;; display;; relevance;; ranked;; order;; expressly;; designed;; optimized;; quick;; information;; seeking;; rather;; scholarship;; internet;; searching;; provide;; scholars;; structured;; menus;; research;; options;; opac;; browse;; displays;; overview;; perspectives;; book;; literature;; topics;; fails;; map;; taxonomies;; alert;; unanticipated;; aspects;; subjects;; retrieve;; uses;; keywords;; researcher;; specify;; misses;; synonyms;; variant;; phrases;; relevant;; works;; foreign;; languages;; same;; conceptual;; categories;; softwa","10.1080/10911360802087366","world wide web;; the internet;; scholarship;; ranking;; keyword search;; information retrieval;; foreign language;; computer science;; cataloging"
"Indiana University;; University of Minnesota;; University of Illinois at Urbanaâ€“Champaign;; Emory University;; Yale University","article;; describes;; progress;; digital;; library;; federation;; aquifer;; metadata;; working;; group;; demonstrates;; model;; construction;; application;; testing;; collaboratively;; developed;; best;; practices;; sharing;; environment;; set;; aggregation;; context;; initiative;; began;; describe;; development;; implementation;; guidelines;; shareable;; object;; description;; schema;; mods;; records;; supporting;; documentation;; tools;; discuss;; work;; contributed;; understanding;; features;; describing;; primary;; source;; humanities;; resources;; needs;; order;; support;; scholarly;; end;; summary;; future;; efforts;; lessons;; applied;; harvesting;; environments","10.1080/19386380802397083","world wide web;; metadata object description schema;; metadata;; meta data services;; geospatial metadata;; documentation;; digital library;; computer science;; best practice;; aquifer"
"Getty Research Institute","against;; backdrop;; increasing;; access;; full;; text;; perceived;; success;; web;; search;; engines;; academic;; disciplines;; highly;; specialized;; if;; esoteric;; nomenclature;; remain;; specially;; crafted;; metadata;; art;; history;; architecture;; represent;; two;; historically;; field;; specific;; research;; databases;; maintained;; canons;; citations;; complemented;; descriptive;; abstracting;; precise;; indexing;; surveys;; architectural;; historians;; identify;; value;; scholarly;; importance;; indicates;; integrate;; discipline;; abstracts;; vocabularies;; evolving;; infrastructure;; searching;; literature;; enable;; continued;; production","10.1080/19386380802627117","world wide web;; search engine indexing;; metadata;; information retrieval;; discipline;; database;; computer science;; bibliographic database;; architecture"
"Colorado State University;; Colorado State University;; Colorado State University;; College of Natural Resources","metadata;; best;; practices;; task;; force;; mbptf;; colorado;; state;; university;; csu;; libraries;; developed;; core;; set;; elements;; accompanying;; data;; dictionary;; facilitate;; coordinated;; management;; approach;; central;; digital;; repository;; diverse;; objects;; article;; describes;; rationale;; process;; work;; following;; look;; background;; digitization;; past;; includes;; literature;; review;; institutional;; projects;; examples;; ends;; description;; ongoing;; plans;; future;; assessment","10.1080/19386380802656371","world wide web;; task force;; metadata management;; metadata;; meta data services;; digitization;; data science;; data dictionary;; computer science;; best practice"
"Bibliographical Center for Research , 14394 East Evans Avenue, Aurora, CO, 80014 E-mail: lgonzale@bcr.org ","oclc;; online;; computer;; library;; center;; involvement;; dublin;; core;; metadata;; element;; set;; dates;; 1995;; hosted;; meeting;; parties;; interested;; schema;; world;; wide;; web;; environment;; grew;; conversations;; time;; developed;; cataloging;; interfaces;; functionalities;; allow;; libraries;; implement;; elements;; article;; brief;; overview;; efforts;; area","10.1080/10911360802087333","world wide web;; software;; online computer;; metadata schema;; metadata element;; metadata;; dublin core;; computer science;; cataloging"
"Rutgers University","social;; tagging;; increasingly;; attracts;; attention;; information;; scientists;; research;; focused;; large;; scale;; assessment;; tag;; sets;; systems;; reasons;; remain;; uncertain;; date;; library;; science;; lis;; field;; explicitly;; explored;; differences;; author;; supplied;; metadata;; endo;; user;; exo;; article;; reviews;; number;; studies;; recommends;; centered;; motivation;; carried;; conjunction;; focusing;; different","10.1080/10911360802087325","world wide web;; web 2 0;; metadata;; information retrieval;; computer science"
