AA.DAfN,AW,DOI,F.FN
"","recently;; statistical;; models;; identification;; word;; senses;; english;; text;; suggested;; latent;; semantic;; lsa;; dimensionality;; reduction;; approach;; yielded;; promising;; makes;; assumptions;; underlying;; structure;; paper;; goal;; cluster;; group;; objectively;; basis;; co;; occurrence;; words;; make;; priori;; case;; might;; assigned;; arbitrary;; classification;; specific;; number;; classified;; metric;; distance;; one;; another;; high;; dimensional;; space;; classifying;; two;; bank;; indicate;; accuracy;; primary;; poor;; secondary;; role;; determine;; highly;; discriminating;; items","10.1076/jqul.9.1.77.8479","statistical model;; speech recognition;; natural language processing;; metric;; latent semantic analysis;; dimensionality reduction;; computer science;; artificial intelligence;; a priori and a posteriori"
";; ;; ","structural;; compound;; words;; necessary;; important;; process;; natural;; language;; processing;; corpus;; statistics;; japanese;; determine;; structure;; word;; internet;; calculating;; strength;; association;; constituent;; experiments;; 5;; 6;; 7;; 8;; kanji;; show;; works;; performance;; better;; comparable;; studies","10.1076/jqul.9.1.1.8480","word association;; the internet;; semantic dependency;; natural language processing;; linguistics;; kanji;; computer science;; compound;; artificial intelligence"
"","focus;; two;; fold;; 1;; determine;; phonemic;; material;; must;; predicting;; nominal;; gender;; spanish;; 2;; if;; assignment;; analogical;; process;; database;; nouns;; extracted;; frequency;; dictionary;; serves;; make;; syllable;; structure;; penultimate;; rhyme;; final;; serve;; variables;; number;; simulations;; modeling;; language;; algorithm;; far;; back;; may;; aid;; analogy;; shown;; closely;; mirror;; speakers;; intuitions;; regarding;; unknown;; words;; errors;; children;; fall;; architecture","10.1076/jqul.9.1.49.8482","syllable;; spanish nouns;; rhyme;; natural language processing;; linguistics;; intuition;; frequency dictionary;; computer science;; artificial intelligence;; architecture;; analogy;; analogical modeling"
";; ","certain;; word;; types;; natural;; languages;; conjunctions;; articles;; prepositions;; verbs;; low;; grammatically;; marked;; semantic;; contribution;; usually;; named;; functional;; categories;; relational;; items;; recently;; possibility;; considering;; simple;; parametrical;; variations;; features;; instead;; categorial;; irrelevance;; pointed;; discussion;; particles;; still;; widespread;; controversial;; nonetheless;; quantitative;; evidence;; weakness;; satisfactory;; against;; coexistence;; requirements;; fragility;; aspects;; aims;; quantify;; corpora;; english;; uncertainty;; come;; mentioned","10.1076/jqul.9.1.35.8483","qualitative evidence;; natural language processing;; natural language;; linguistics;; fragility;; computer science;; artificial intelligence"
";; ;; ","methodological;; guidelines;; analyzing;; linguistic;; dissimilarity;; matrices;; graph;; theoretic;; procedures;; multivariate;; methods;; discuss;; usefulness;; limitations;; phonological;; data;; besides;; lexical;; basis;; classification","10.1076/jqul.9.2.97.8485","speech recognition;; natural language processing;; multivariate statistics;; multivariate classification;; linguistics;; linguistic classification;; computer science;; artificial intelligence"
";; ","","10.1076/jqul.9.2.187.8486","natural language processing;; linguistics;; computer science;; artificial intelligence"
"","paper;; attempts;; show;; formalism;; quantum;; mechanics;; successfully;; applied;; language;; self;; organising;; system;; discrete;; state;; spaces;; shown;; typical;; long;; tails;; frequency;; distributions;; correspond;; high;; energy;; states;; taken;; account;; necessary;; condition;; stabilising;; distribution","10.1076/jqul.9.2.125.8487","statistical physics;; quantitative linguistics;; natural language processing;; high energy;; frequency distribution;; formalism;; computer science;; artificial intelligence"
"","experiment;; japanese;; german;; translation;; 2;; part;; compound;; nouns;; via;; components;; small;; dictionary;; large;; target;; language;; tl;; corpus;; variants;; expressions;; containing;; adjectives;; genitive;; adjuncts;; diverse;; forms;; first;; component;; verification;; good;; means;; deciding;; least;; order;; get;; significant;; statistics;; corpora;; data;; quantities;; important;; parallel;; still;; quite;; scarce;; monolingual;; instead;; option;; requires;; insufficient;; size;; obstacle;; bigger;; tried;; quantify;; relative;; influence;; two;; resources;; assess;; system;; balance;; predict;; middle;; sized;; 100;; 000;; entries;; give;; coverage;; noun","10.1076/jqul.8.2.137.4103","speech recognition;; parallel corpora;; noun;; natural language processing;; linguistics;; german;; genitive case;; expression;; computer science;; artificial intelligence"
"","meaning;; evolve;; natural;; symbol;; system;; human;; language;; paper;; intends;; show;; beginning;; initial;; state;; yet;; exist;; extracted;; signs;; later;; fixed;; more;; less;; accidental;; communication;; effects;; prevailing;; environmental;; conditions;; lead;; supposition;; underlying;; structures;; potential;; causing;; attempts;; mathematical;; model;; factor;; possibility;; demonstrating;; generate;; artificial;; hypothesis;; introduced;; intuitive;; traditional;; point;; view;; words;; carrying;; reverse;; supported;; emerges;; idea;; emergence;; occ","10.1076/jqul.8.2.101.4104","symbol;; linguistics;; human language;; computer science;; communication effects;; analytic model;; accidental"
"","aim;; offer;; quantitative;; time;; needed;; students;; understand;; different;; types;; oral;; comprehension;; items;; involved;; second;; language;; l2;; listening;; processes;; duration;; data;; models;; allow;; us;; focus;; fundamental;; variable;; analyzing;; degree;; acquisition;; linguistic;; approach;; lets;; identify;; subskills;; take;; longer;; understood;; factors;; conditioning;; consequently;; knowing;; learners;; successfully;; achieve;; effective;; potentially;; important;; implications;; teaching;; learning","10.1076/jqul.8.1.51.4089","second language;; natural language processing;; listening comprehension;; language education;; data modeling;; data model;; computer science;; comprehension;; artificial intelligence;; active listening"
