AA.DAfN,AW,DOI,F.FN
"University of Oslo","","10.17928/jjadh.1.1_58","literature;; history;; classics"
"University of Tokyo;; University of Tokyo;; University of Tokyo","","10.17928/jjadh.1.1_37","visualization;; modern history;; japanese philosophy;; digitization;; art history;; art"
"Tokyo Institute of Technology","","10.17928/jjadh.1.1_44","linguistics;; geography;; chiasmus"
"Trinity College, Dublin;; Max Planck Society;; Trinity College, Dublin","","10.17928/jjadh.1.1_107","visual arts;; taste;; comparative historical research;; art;; advertising"
"Kyoto University","","10.17928/jjadh.1.1_86","natural language processing;; computer science;; artificial intelligence;; annotation"
"University of Tsukuba;; University of Tsukuba;; University of Tsukuba;; Toyo University","","10.17928/jjadh.1.1_1","multimedia;; computer science"
"Tsurumi University","","10.17928/jjadh.1.1_68","natural language processing;; linguistics;; linguistic description;; corpus linguistics;; computer science;; artificial intelligence"
"King's Digital Lab;; University of Canterbury;; University of Canterbury","","10.17928/jjadh.1.1_10","software engineering;; open data;; library science;; engineering;; design elements and principles;; architecture"
"Tokyo Institute of Technology;; Tokyo Institute of Technology","","10.17928/jjadh.2.1_48","symphony;; mathematics;; mozart;; discrete mathematics;; combinatorics"
"Future University Hakodate","","10.17928/jjadh.2.1_31","narratology;; literature;; art"
"University of Tokyo;; University of Tokyo;; University of Tokyo;; University of Tokyo","","10.17928/jjadh.2.1_60","social science;; geography"
"Nihon University;; Toyo University;; Toyo University","","10.17928/jjadh.2.1_90","popular music;; lyrics;; literature;; art"
"Temple University;; Dharma Drum Institute of Liberal Arts;; Dharma Drum Institute of Liberal Arts","","10.17928/jjadh.2.1_1","literature;; linguistics;; chinese particles;; buddhism;; attribution;; art"
"Peking University;; Peking University","","10.17928/jjadh.3.1_33","history of china;; history;; digital humanities;; classics"
"Nagoya University","","10.17928/jjadh.3.1_114","history;; classics"
"Stanford University;; Stanford University","","10.17928/jjadh.3.1_1","supervised learning;; stylometry;; recurrent neural network;; linguistic change;; history;; digital history;; artificial neural network;; artificial intelligence;; arc"
"Future University Hakodate","","10.17928/jjadh.3.1_49","philosophy;; literature;; chiasmus"
"University of Victoria","","10.17928/jjadh.3.1_73","sociology;; genealogy;; ethnic group"
"Edith Cowan University;; University of Sydney;; Huygens Institute for the History of the Netherlands;; Huygens Institute for the History of the Netherlands;; Curtin University","migrants;; over;; world;; left;; multiple;; traces;; different;; countries;; cultural;; heritage;; growing;; interest;; researchers;; migrant;; community;; alike;; institutions;; dwindling;; funds;; resources;; meet;; demand;; article;; propose;; key;; bridge;; gap;; found;; possibilities;; digital;; collection;; exploration;; resource;; linking;; building;; composite;; distributed;; around;; life;; courses;; connect;; dispersed;; collections;; provide;; detailed;; data;; families;; serial;; qualitative;; sophisticated;; innovative;; research;; begin;; dutch;; australian;; collaborative;; project;; mobilities;; connection;; case;; course;; centered;; methodology;; may;; develop;; migration;; template;; worldwide","10.17928/jjadh.3.1_98","sociology;; qualitative property;; public relations;; mobilities;; cultural heritage;; archival research"
"University of Alberta;; University of Alberta","","10.17928/jjadh.4.1_1","sociology;; media studies;; game studies;; digital humanities"
"University of Alberta;; Seijoh University","","10.17928/jjadh.4.1_72","human computer interaction;; computer science"
"Bath Spa University","article;; focuses;; nintendo;; influential;; celebrated;; 1998;; videogame;; legend;; zelda;; ocarina;; time;; hereafter;; oot;; explores;; unexpectedly;; creative;; wholly;; transformative;; ways;; game;; played;; speedrunners;; seeking;; race;; quickly;; play;; distinctive;; way;; combines;; mastery;; performance;; execution;; deep;; knowledge;; operation;; systems;; may;; exploited;; speedrunning;; performances;; involve;; astonishingly;; detailed;; investigations;; minutiae;; behaviors;; disrupt;; even;; invert;; vaunted;; aspects;; sequences;; slow;; down;; progress;; circumvented;; otherwise;; class;; crucial;; moments;; storyline;; key;; character;; development;; locales;; raced;; actively;; skipped;; narrative;; connectivity;; spaces;; complex;; clearly;; mapped;; passage;; set;; officially;; endorsed;; strategy;; guides;; see;; buchanan;; al;; hollinger;; loe;; guess;; speedrun;; constructs;; altogether;; different;; vastly;; altered;; priorities;; so;; offer;; join;; legendary;; hero;; link;; he;; journeys;; across;; hyrule;; thwart;; plans;; ganondorf;; 2017;; recast;; breakneck;; dash;; closing;; credits;; sequence;; evading;; avoiding;; essential;; gameplay","10.17928/jjadh.4.1_7","transformative learning;; narrative;; minutiae;; legend;; image warping;; hero;; contiguity;; computer science;; architecture;; aesthetics"
"University of Alberta;; University of Alberta","","10.17928/jjadh.4.1_37","psychology;; politics;; feminism;; false accusation;; criminology"
"Ritsumeikan Center for Game Studies","","10.17928/jjadh.4.1_5"
"","","10.17928/jjadh.4.1_54","feeling;; art;; aesthetics"
