AA.DAfN,AW,DOI,F.FN
"","behalf;; board;; text;; encoding;; initiative;; my;; co;; editors;; markus;; flatscher;; kevin;; hawkins;; am;; delighted;; announce;; publication;; inaugural;; issue;; journal;; nearly;; three;; years;; natural;; outgrowth;; expansion;; yearly;; members;; meeting;; conference;; format;; beginning;; 2007;; university;; maryland;; regularly;; attracts;; over;; 100;; participants;; felt","10.4000/jtei.229","performance art;; medicine;; library science"
"","essay;; address;; challenges;; possibilities;; presented;; text;; encoding;; initiative;; particularly;; area;; interoperability;; large;; collections;; order;; millions;; volumes;; computational;; work;; environments;; texts;; reprocessed;; representations;; manipulated;; analytical;; tools;; consider;; tei;; potential;; role;; design;; argument;; piece;; process;; state;; requires;; mechanisms;; sustain;; one","10.4000/jtei.215","world wide web;; sustainability;; semantic interoperability;; interoperability;; encoding;; data science;; computer science"
"","paper;; formulates;; proposal;; standardising;; spoken;; language;; transcription;; practised;; conversation;; sociolinguistics;; dialectology;; fields;; help;; tei;; guidelines;; two;; areas;; relevant;; standardisation;; identified;; first;; macro;; structure;; transcriptions;; embodied;; data;; models;; file;; formats;; tools;; elan;; praat;; exmaralda;; second;; micro;; conventions;; ca;; hiat;; gat;; step;; process;; represented;; generic;; format;; elements;; defined;; p5;; version;; character;; representation;; parsed;; according;; regularities;; convention;; resulting;; more;; fine;; grained;; markup;; argued;; one;; hand;; map;; idiosyncratic;; differences;; tool;; onto;; unified;; motivated;; different;; theoretical;; decisions;; retained;; manner;; still;; allows;; common;; processing;; sources;; order;; make;; standard;; usable;; practice;; conversion;; drop;; presented;; uses;; xsl;; transformations;; carry;; chat;; folker;; transcriber;; vice;; versa;; methods;; parsing;; cgat;; transcribers;; continue;; work;; software;; familiar;; producing;; conformant;; files;; concludes;; discussion;; needed;; establish;; both;; sufficiently;; mature;; state;; serve;; basis;; consequently;; remains;; analysing","10.4000/jtei.142","xsl;; transcription;; transcription;; spoken language;; parsing;; natural language processing;; markup language;; macro;; file format;; computer science;; artificial intelligence"
"","transition;; selected;; poems;; baroness;; elsa;; freytag;; loringhoven;; publicly;; scholarly;; edition;; twelve;; unpublished;; written;; 1923;; 1927;; access;; textual;; performance;; her;; creative;; work;; digital;; environment;; encoded;; text;; encoding;; initiative;; tei;; p5;; guidelines;; critical;; apparatuses;; parallel;; segmentation;; location;; referenced;; rendered;; interactive;; web;; interface;; xslt;; css;; javascript;; versioning;; machine;; http;; www;; v;; org;; one;; aspect;; theory;; am;; exploring;; concerns;; social;; network;; texts;; always;; already;; represent;; presupposes;; notion;; constant;; circulation;; networked;; systems;; represented;; primarily;; issues;; reception;; materiality;; themes;; engage;; reflect;; nature;; 1920s;; now;; say;; two;; things;; 1;; concept;; editions;; 2;; networks;; foreground;; situated;; history;; real;; time;; electronic;; reading;; argument;; formed;; underlying;; content;; application;; form;; takes;; discussion;; employs;; language;; knowledge;; representation;; computation;; terms;; domain;; ontology;; logic;; order;; situate;; existing;; frameworks;; theories;; editing","10.4000/jtei.203","xslt;; situated;; ontology;; materiality;; linguistics;; knowledge representation and reasoning;; javascript;; information retrieval;; digital edition;; creative work;; computer science"
";; ;; ;; ;; ;; ;; ;; ","if;; notion;; methodological;; commons;; centrally;; located;; believe;; visualization;; accurately;; depicting;; intellectual;; structure;; digital;; humanities;; literary;; studies;; mccarty;; 2005;; 119;; so;; too;; must;; community;; itself;; whose;; members;; provide;; populates;; interdiscipline;; computing;; always;; understood;; methodologies;; indeed;; part;; more;; generally;; virtue;; way;; render;; explicit;; tangible;; theoretical;; models;; govern;; representative;; analytical;; endeavour;; fields;; via;; computational;; application;; field;; documented;; formal;; structures;; institutional;; manifestations;; chief;; example;; text;; encoding;; initiative;; less;; explicitly;; rendered;; formally;; though;; intuited;; practitioners;; builders;; exact;; nature;; depth;; breadth;; own;; centre;; perhaps;; important;; embrace;; interdisciplinarity;; far;; self;; serving;; periphery;; aspects;; promise;; become;; central;; article;; work;; carried;; conjunction;; consortium;; foundation;; projects;; seeks;; document;; full;; research;; project;; groups;; comprise;; appear;; side;; easily;; permeable;; separates;; largely;; individual;; areas;; hitherto;; closely;; identified;; clearly;; sharing;; methods;; tools;; suggesting;; place;; same;; communities;; practice;; approach;; drawn;; marketing;; organizational;; behavior;; manifest;; social;; networking;; viral;; campaigns;; conducted;; online;; environments;; centred;; around;; experiment;; designed;; showcase;; tei;; novel;; ways;; encode;; different;; kinds;; heart;; bob;; dylan;; song;; video;; incorporated;; encoded;; overlaid;; posted;; youtube;; blog;; links;; website;; traffic;; patterns","10.4000/jtei.210","xml;; world wide web;; viral marketing;; social network;; organizational behavior;; literary criticism;; library science;; engineering;; digital humanities;; community of practice;; commons"
";; ","paper;; describes;; work;; progress;; i5;; tei;; document;; grammar;; corpus;; holdings;; institut;; fur;; deutsche;; sprache;; ids;; mannheim;; text;; model;; begins;; background;; information;; nature;; purposes;; corpora;; collected;; motivation;; project;; section;; 1;; continues;; description;; origin;; history;; 2;; 3;; techniques;; automate;; far;; preparation;; odd;; file;; documenting;; ends;; concluding;; remarks;; 4;; survey;; additional;; features;; xces;; realization;; appendix","10.4000/jtei.508","work in process;; natural language processing;; grammar;; computer science;; artificial intelligence"
"French Institute for Research in Computer Science and Automation;; Julius-Maximilians-Universität Würzburg [Wurtzbourg, Allemagne]","paper;; outlines;; proposal;; consistent;; modeling;; heterogeneous;; lexical;; structures;; semasiological;; dictionaries;; element;; detail;; chapter;; 9;; tei;; guidelines;; core;; describes;; system;; relatively;; autonomous;; crystals;; constraints;; relevant;; definition;; combined;; form;; complex;; description;; morphological;; grammatical;; information;; etymology;; word;; formation;; meaning;; structure;; encoding;; guarantee;; sustainability;; support;; re;; usability;; interoperability;; data;; case;; studies;; dictionary;; entries;; order;; illustrate;; concepts;; test;; comment;; issues;; involving;; refinements;; internal;; content","10.4000/jtei.540","usability;; natural language processing;; lexical choice;; lexical chain;; lemma;; interoperability;; etymology;; encoding;; computer science;; artificial intelligence"
";; ;; ","relevant;; dictionary;; productions;; past;; relied;; digital;; data;; methods;; little;; consensus;; formats;; standards;; institute;; corpus;; linguistics;; text;; technology;; icltt;; austrian;; academy;; sciences;; conducting;; number;; varied;; lexicographic;; projects;; both;; digitising;; print;; dictionaries;; working;; creation;; genuinely;; designed;; serve;; varying;; purposes;; machine;; readability;; one;; second;; goal;; interoperability;; nlp;; tools;; achieve;; end;; uniform;; encoding;; system;; applicable;; across;; developed;; paper;; describes;; constraints;; imposed;; content;; models;; elements;; tei;; module;; arguments;; favour;; p5;; represent;; digitised","10.4000/jtei.522","schema;; natural language processing;; lexicographical order;; interoperability;; encoding;; digital data;; corpus linguistics;; computer science;; artificial intelligence"
";; ;; ;; ;; ","paper;; xml;; schema;; representation;; genres;; computer;; mediated;; communication;; cmc;; compliant;; encoding;; framework;; defined;; tei;; designed;; annotation;; documents;; project;; deutsches;; referenzkorpus;; zur;; internetbasierten;; kommunikation;; derik;; aims;; building;; corpus;; language;; popular;; german;; speaking;; internet;; focus;; written;; dialogic;; forums;; bulletin;; boards;; chats;; instant;; messaging;; wiki;; weblog;; discussions;; microblogging;; twitter;; conversation;; social;; network;; sites;; format;; main;; structural;; features;; discourse;; elements;; units;; regarded;; typical;; introduces;; element;; describes;; stretches;; text;; sent;; server;; user;; certain;; point;; time;; postings;; constituting;; threads;; logfiles;; two;; types;; macrostructures;; microlevel;; structure;; content;; selected;; jargon;; emoticons;; interaction;; words;; addressing;; terms;; allows;; easy;; anonymization;; data;; purposes;; annotated;; publicly;; includes;; metadata;; necessary;; referencing;; random;; excerpts;; references;; dictionary;; entries;; queries;; documentation;; examples;; retrieved;; web;; http;; www;; empirikom;; net;; bin;; view;; themen;; cmctei;; meant;; core;; model;; representing;; modified;; extended;; others;; according;; own;; specific;; perspectives;; first;; step;; towards;; integration;; future;; version;; guidelines","10.4000/jtei.476","xml schema;; world wide web;; the internet;; social media;; schema;; microblogging;; metadata;; logfile;; computer mediated communication;; computer science;; annotation"
";; ;; ","","10.4000/jtei.475","information retrieval;; encoding;; computer science"
