AA.DAfN,AW,DOI,F.FN
"King Abdulaziz City for Science and Technology;; King Abdulaziz City for Science and Technology","vast;; amount;; valuable;; human;; knowledge;; recorded;; documents;; rapid;; growth;; number;; machine;; readable;; public;; private;; access;; necessitates;; automatic;; text;; classification;; lot;; effort;; put;; western;; languages;; mostly;; english;; minimal;; experimentation;; done;; arabic;; paper;; first;; date;; review;; work;; field;; second;; large;; diverse;; dataset;; benchmarking;; algorithms;; different;; techniques;; derived;; literature;; illustrated;; application;; feature;; selections;; weighting;; methods;; show;; average;; superiority;; support;; vector;; followed;; decision;; tree;; algorithm;; c4;; 5;; naive;; bayes;; best;; accuracy;; 97;; islamic;; topics;; least;; accurate;; 61;; poems","10.1007/s10579-013-9221-8","weighting;; support vector machine;; statistical classification;; speech recognition;; natural language processing;; naive bayes classifier;; decision tree learning;; computer science;; computational linguistics;; benchmarking;; artificial intelligence;; arabic"
"University of Leeds;; University of Leeds;; Columbia University","quranic;; arabic;; corpus;; http;; quran;; com;; collaboratively;; constructed;; linguistic;; resource;; initiated;; university;; leeds;; multiple;; layers;; annotation;; part;; speech;; tagging;; morphological;; segmentation;; dukes;; habash;; 2010;; syntactic;; dependency;; grammar;; buckwalter;; motivation;; behind;; work;; produce;; enables;; 1;; 400;; year;; old;; central;; religious;; text;; islam;; project;; contrasts;; treebanks;; providing;; deep;; model;; historical;; traditional;; r;; b;; adapting;; canon;; familiar;; tagset;; encourage;; online;; linguists;; experts;; article;; approach;; supervised;; collaboration;; multi;; stage;; different;; stages;; include;; automatic;; rule;; initial;; manual;; verification;; collaborative;; proofreading;; popular;; website;; attracting;; thousands;; visitors;; per;; day;; approximately;; 100;; unpaid;; volunteer;; annotators;; suggesting;; corrections;; existing;; ensure;; high;; quality;; small;; number;; expert;; promoted;; supervisory;; role;; allowing;; review;; veto;; suggestions;; collaborators;; benefits;; large;; body;; grammatical;; may;; leveraged;; paper;; evaluate;; effectiveness;; chosen;; methodology;; discuss;; unique;; challenges;; annotating;; describe;; custom;; software;; aid","10.1007/s10579-011-9167-7","treebank;; traditional grammar;; speech recognition;; quranic arabic corpus;; parsing;; natural language processing;; linguistics;; grammar;; dependency grammar;; computer science;; computational linguistics;; artificial intelligence;; annotation"
"Real Estate Mass Valuation System, Surveying and Mapping Authority of the Republic of Slovenia;; Department of Knowledge Technologies, JoÅ¾ef Stefan Institute, Ljubljana, Slovenia;; Faculty of Information Studies","introduce;; slovene;; web;; crawled;; news;; corpora;; sentiment;; annotation;; three;; levels;; granularity;; sentence;; paragraph;; document;; describe;; methodology;; tools;; construction;; contain;; more;; 250;; 000;; documents;; political;; business;; economic;; financial;; content;; five;; media;; resources;; 10;; manually;; annotated;; negative;; neutral;; positive;; publicly;; creative;; commons;; copyright;; license;; construct;; lexicon;; first;; kind;; assess;; classification;; approaches;; constructed;; utilised;; monitor;; dynamics;; changes;; over;; time;; relations;; topics;; show;; average;; explicit;; beginning;; loses;; sharpness;; towards;; end","10.1007/s10579-018-9413-3","sentiment analysis;; sentence;; paragraph;; natural language processing;; lexicon;; document classification;; corpus linguistics;; computer science;; computational linguistics;; artificial intelligence;; annotation"
"University of Sussex;; Sapienza University of Rome","inception;; senseval;; series;; great;; deal;; debate;; word;; sense;; disambiguation;; wsd;; community;; right;; distinctions;; evaluation;; consensus;; opinion;; relevant;; intended;; application;; solution;; above;; issue;; lexical;; substitution;; replacement;; target;; context;; suitable;; alternative;; substitute;; paper;; describe;; english;; task;; exhaustive;; systems;; participating;; organized;; semeval;; 2007;; aim;; provide;; inventory;; predefined;; performance;; bode;; applications;; reflects;; capabilities;; compare;; resources;; man;; automatically;; created;; potential;; benefit;; several;; natural;; language","10.1007/s10579-009-9084-1","word sense disambiguation;; semeval;; natural language processing;; linguistics;; computer science;; computational linguistics;; artificial intelligence"
"University of Illinois at Urbana–Champaign;; Bulgarian Academy of Sciences;; University of California, Berkeley;; EML Research gGmbH;; Polish Academy of Sciences;; University of Ottawa;; National Research Council;; Koç University","nlp;; community;; shown;; renewed;; interest;; deeper;; semantic;; analyses;; automatic;; recognition;; relations;; text;; development;; evaluation;; task;; pairs;; nominals;; sentence;; part;; semeval;; 2007;; fourth;; edition;; event;; previously;; senseval;; apart;; observations;; long;; lasting;; effect;; may;; framework;; comparing;; approaches;; introduce;; problem;; recognizing;; process;; drafting;; refining;; definitions;; show;; created;; training;; test;; data;; list;; briefly;; describe;; 15;; participating;; systems;; discuss;; conclude;; lessons;; learned;; course;; exercise","10.1007/s10579-009-9083-2","test data;; sentence;; semantic similarity;; semantic relation;; semantic computing;; semeval;; proper noun;; natural language processing;; computer science;; computational linguistics;; artificial intelligence"
"University of the Basque Country;; Polytechnic University of Catalonia;; Swarthmore College","","10.1007/s10579-009-9091-2","statistical semantics;; semantics;; semantic computing;; semantic compression;; semeval;; operational semantics;; natural language processing;; formal semantics;; computer science;; computational semantics;; artificial intelligence"
"University of Stuttgart","","10.1007/s10579-010-9124-x","speech recognition;; python;; natural language processing;; natural language;; linguistics;; computer science;; computational linguistics;; cognitive science;; artificial intelligence"
"University of the Aegean;; Bar-Ilan University","1;; authorship;; attribution;; plagiarism;; analysisthe;; internet;; facilitated;; both;; dissemination;; anonymous;; texts;; aseasy;; borrowing;; ideas;; words;; others;; raised;; number;; ofimportant;; questions;; regarding;; identify;; author;; ofa;; text;; comparing;; writings;; authors;; determineif;; parts;; plagiarized;; clearly;; bothacademic;; commercial;; importance;; task;; determining;; verifying;; basedsolely;; internal;; evidence;; old;; one;; dating;; back;; least;; medievalscholastics;; whom;; reliable;; ancientauthority;; essential;; veracity;; more;; recently;; problemof;; gained;; greater;; prominence;; applications;; inforensic;; humanities;; scholarship;; electronic;; commerce;; thedevelopment;; computational;; methods;; addressing;; problem;; over;; last;; century;; great;; variety;; applied;; toauthorship;; problems;; sorts;; roughly;; trace;; evolutionof;; three;; main;; stages;; earliest;; stage;; researchers;; sought;; asingle;; numeric;; function;; discriminate;; later;; statistical;; multivariate;; discriminant;; word;; frequencies;; andrelated;; numerical;; features;; machine;; learning;; high;; dimensional;; textual;; sets;; training;; documents","10.1007/s10579-011-9136-1","word lists by frequency;; verification problem;; the internet;; scholarship;; plagiarism detection;; natural language processing;; linear discriminant analysis;; computer science;; computational linguistics;; attribution;; artificial intelligence"
"Bauhaus University, Weimar;; Polytechnic University of Valencia;; Bauhaus University, Weimar;; Polytechnic University of Valencia","cross;; language;; plagiarism;; detection;; deals;; automatic;; identification;; extraction;; multilingual;; setting;; suspicious;; document;; task;; retrieve;; sections;; originate;; large;; collection;; contributions;; field;; follows;; 1;; comprehensive;; retrieval;; process;; introduced;; highlighting;; differences;; monolingual;; 2;; state;; art;; solutions;; two;; important;; subtasks;; reviewed;; 3;; models;; assessment;; similarity;; surveyed;; 4;; three;; cl;; cng;; esa;; asa;; evaluation;; realistic;; scale;; relies;; 120;; 000;; test;; documents;; selected;; corpora;; jrc;; acquis;; wikipedia;; so;; highly;; similar;; six;; languages;; english;; german;; spanish;; french;; dutch;; polish;; employed;; series;; ranking;; tasks;; more;; 100;; million;; similarities;; computed;; model;; indicate;; despite;; simple;; approach;; best;; choice;; rank;; compare;; texts;; across;; if;; syntactically;; almost;; matches;; performance;; arbitrary;; pairs;; works;; exact;; translations;; generalize","10.1007/s10579-009-9114-z","test document;; speech recognition;; ranking;; plagiarism detection;; natural language processing;; german;; computer science;; computational linguistics;; artificial intelligence"
"National Scientific and Technical Research Council;; Council of Independent Colleges;; National Scientific and Technical Research Council","engineering;; activities;; produce;; considerable;; documentation;; product;; development;; process;; complexity;; technical;; analysts;; benefit;; text;; processing;; techniques;; able;; identify;; concepts;; interest;; analyze;; deficiencies;; documents;; automated;; fashion;; practice;; sentences;; usually;; transformed;; vector;; space;; model;; suitable;; traditional;; machine;; learning;; classifiers;; transformations;; suffer;; problems;; synonyms;; ambiguity;; cause;; classification;; mistakes;; alleviating;; growing;; semantic;; enrichment;; unfortunately;; general;; purpose;; thesaurus;; encyclopedias;; enrich;; belonging;; domain;; g;; requirements;; introduces;; noise;; work;; aim;; boosting;; exploiting;; information;; roles;; explored;; approach;; building;; multi;; label;; classifier;; identifying;; special;; called;; actions;; textual;; software;; evaluating;; combinations;; algorithms;; found;; kind;; semantically;; enriched;; data;; leads;; improvements;; 18;; both;; precision;; recall;; strategy;; allowed;; reach;; acceptable;; accuracy;; levels;; small;; training;; sets;; moreover;; outperformed;; wikipedia;; wordnet;; enrichments;; failed;; boost;; several;; drove;; two;; tools;; successfully;; applied","10.1007/s10579-017-9406-7","wordnet;; vector space model;; text processing;; technical documentation;; statistical classification;; semantic role labeling;; semantic computing;; requirements engineering;; natural language processing;; computer science;; artificial intelligence"
