AA.DAfN,AW,DOI,F.FN
"Loyola University Chicago","dank;; cellar;; surveys;; rather;; critically;; litter;; casualty;; electronic;; editions;; false;; bases;; limited;; goals;; informed;; so;; early;; current;; efforts;; points;; hopefully;; best;; though;; still;; inadequate;; provide;; texts;; responsibly;; added;; scholarly;; value;; looks;; problems;; representing;; victorian;; fiction","10.1093/llc/fqn031","sociology;; scientific communication;; media studies;; linguistics;; electronic publishing;; artificial intelligence"
"Utrecht University","article;; discusses;; development;; digital;; format;; suitable;; storing;; literary;; works;; part;; larger;; investigation;; generation;; meaning;; sixteenth;; seventeenth;; century;; genre;; emblem;; emblems;; contain;; texts;; images;; applied;; both;; takes;; semiotic;; approach;; considering;; vehicles;; signs;; resource;; description;; framework;; rdf;; vocabulary;; sign;; class;; model;; ontology;; formulated;; schema;; rdfs;; linked;; tei;; text;; encoding;; initiative;; encoded;; argues;; representation;; facilitates;; verification;; interpretation;; claims;; constituents;; directly;; relevant;; image;; fragments;; employed;; concepts;; defined;; source;; fragment;; immediately;; accessible;; point;; facilitating;; readers;; assessment;; scholarly;; interpretational;; may;; lead;; robustness;; interpretations","10.1093/llc/fql035","vocabulary;; source text;; semiotics;; semantics;; semantic interpretation;; rdf schema;; rdf;; ontology;; natural language processing;; linguistics;; computer science;; artificial intelligence"
"University of Groningen;; Radboud University Nijmegen","two;; west;; germanic;; languages;; dutch;; afrikaans;; so;; closely;; expected;; mutually;; intelligible;; large;; extent;; investigation;; focuses;; written;; language;; comprehension;; established;; means;; cloze;; tests;; basis;; newspaper;; articles;; easier;; subjects;; understand;; south;; african;; order;; explain;; attitudes;; several;; types;; linguistic;; distances;; assessed;; relations;; attitude;; scales;; intelligibility;; scores;; few;; weak;; asymmetries;; relationships;; probably;; more;; important;; especially;; number;; noncognates;; opacity;; relatedness;; cognates;; caused;; historical;; developments;; respect;; lexicon;; grammar;; spelling","10.1093/llc/fql036","written language;; spelling;; natural language processing;; linguistics;; linguistic distance;; lexicon;; grammar;; dialectometry;; dialectology;; computer science;; comprehension;; artificial intelligence"
"University of Groningen;; University of Georgia","dialectometric;; techniques;; analyze;; linguistic;; variation;; quantitatively;; allowing;; one;; aggregate;; over;; frequently;; rebarbative;; geographic;; patterns;; individual;; variants;; word;; concept;; language;; area;; sounds;; words;; leads;; general;; formulations;; relation;; explanatory;; factors;; maturing;; continuously;; paving;; way;; genuinely;; opportunities;; explanation;; include;; prominently;; analyzing;; syntactic;; comparing;; relative;; importance;; different;; variables;; levels;; pronunciation;; vocabulary;; prosody;; more;; article;; serves;; introduction;; special;; issue;; literary;; computing;; devoted;; presenting;; work;; constituting;; progress;; dialectometry;; toward","10.1093/llc/fql034","vocabulary;; syntax;; prosody;; pronunciation;; natural language processing;; linguistics;; linguistic description;; dialectometry;; dialectology;; deep linguistic processing;; computer science;; artificial intelligence"
"University of New Brunswick","article;; elements;; correspondence;; ca;; approach;; measurement;; linguistic;; distances;; dialectology;; argues;; both;; spatial;; factors;; part;; explanation;; geolinguistic;; variation;; shows;; exploratory;; graphical;; properties;; contribute;; application;; different;; realizations;; phoneme;; r;; acadian;; french;; dialect;; spoken;; canada;; data;; atlas;; linguistique;; du;; vocabulaire;; maritime;; acadien;; include;; over;; 5;; 000;; tokens;; eighteen;; localities;; chi;; square;; two;; dimensional;; space;; arranges;; continua;; interpretation;; features;; identified;; accounting;; structuring;; suggests;; hierarchy;; phonological;; processes;; alternation;; apical;; dorsal;; articulations;; words;; replacement;; retroflex;; rhotic;; found;; english;; origin;; variants;; external;; local;; concentration;; francophone;; speakers;; spheres;; activity;; shown;; correlate","10.1093/llc/fql032","linguistics;; linguistic distance;; hierarchy;; geographic variation;; french;; dialectometry;; dialectology;; correspondence analysis;; computer science;; alternation"
"University of Groningen;; University of Groningen","period;; 1999;; 2002;; jorn;; almberg;; kristian;; skarbo;; compiled;; database;; consists;; recordings;; phonetic;; transcriptions;; translations;; fable;; north;; wind;; sun;; fifty;; norwegian;; dialects;; basis;; fifteen;; charlotte;; gooskens;; carried;; perception;; experiment;; heeringa;; 2004;; she;; investigated;; distances;; perceived;; speakers;; themselves;; wilbert;; measured;; computational;; linguistic;; varieties;; calculated;; means;; levenshtein;; distance;; finds;; minimum;; cost;; changing;; one;; pronunciation;; another;; inserting;; substituting;; deleting;; segments;; correlated;; perceptual;; found;; significant;; correlation;; r;; 0;; 67;; pronunciational;; lexical;; morphological;; variation;; processed;; levels;; studied;; separately;; contribution;; article;; measure;; prosodic;; distinguish;; consonants;; vowels;; hand;; substitutions;; insertions;; deletions;; correlating;; separate;; multiple;; linear;; regression;; analyses;; important;; especially;; vowel;; play;; major;; role","10.1093/llc/fql038","vowel;; transcription;; pronunciation;; norwegian;; natural language processing;; linguistics;; linguistic distance;; levenshtein distance;; dialectometry;; dialectology;; computer science;; artificial intelligence"
"University of Georgia","aristotle;; long;; ago;; divided;; kinds;; technē;; epistēmē;; roughly;; translate;; modern;; terms;; art;; science;; certainly;; case;; computational;; dialectologists;; technical;; construction;; execution;; statistical;; experiments;; two;; different;; prominent;; models;; choose;; one;; corresponding;; mode;; scientific;; discovery;; deductive;; inductive;; procedure;; itself;; whole;; story;; dialectology;; lies;; creation;; arguments;; appropriate;; motivates;; us;; so;; clear;; done;; work;; really;; mean;; way;; choices;; linguistic;; theory;; hard;; find;; looking;; paper;; requires;; practitioners;; take;; more;; subtle;; approach;; first;; place;; especially;; relationship;; perception;; production;; language","10.1093/llc/fql033","theoretical linguistics;; scientific discovery;; perception;; linguistics;; dialectometry;; dialectology;; computer science"
"Rice University","","10.1093/llc/fqn041","the internet;; scholarship;; linguistics;; library science;; knowledge management;; information infrastructure;; computer science"
"Centre for Scholarly Editing and Document Studies, Royal Academy of Dutch Language and Literature, Belgium","","10.1093/llc/fqn042","versa;; linguistics;; computer science;; common sense;; common knowledge"
"Carleton University;; Carleton University","article;; discusses;; development;; integrated;; multilingual;; web;; databases;; help;; preservation;; native;; american;; language;; east;; cree;; creation;; digital;; online;; resources;; threatened;; aboriginal;; languages;; technical;; educational;; ethical;; challenges;; focus;; order;; discuss;; both;; problems;; encountered;; context;; solutions;; explored;; illustrate;; discussion;; examples;; oral;; stories;; database;; developed;; collaboration;; education;; consultants;; speakers;; 2002;; 04;; advocate;; approach;; includes;; fast;; prototyping;; open;; source;; design;; engine;; balances;; speed;; availability;; features;; impact;; combination;; participatory;; action;; research;; maintenance","10.1093/llc/fql049","participatory action research;; on language;; natural language processing;; native american;; linguistics;; language preservation;; language documentation;; database engine;; database;; computer science;; computational linguistics;; artificial intelligence"
