AA.DAfN,AW,DOI,F.FN
"University of Haifa;; University of Haifa;; University of Haifa;; University of Haifa","computational;; system;; morphological;; annotation;; qur;; research;; teaching;; purposes;; facilitates;; variety;; queries;; anic;; text;; make;; reference;; words;; linguistic;; attributes;; core;; set;; finite;; state;; rules;; describe;; morpho;; phonological;; syntactic;; phenomena;; language;; toolbox;; apply;; obtain;; full;; stored;; efficient;; database;; accessed;; graphical;; user;; interface;; presentation;; complex;; currently;; exemplify;; usefulness;; investigating;; several;; semantic;; stylistic;; aspects","10.1093/llc/19.4.431","toolbox;; syntax;; natural language processing;; morphological analysis;; linguistics;; graphical user interface;; computer science;; computational linguistics;; artificial intelligence;; applied linguistics;; annotation"
"","","10.1093/llc/19.4.427","obituary;; linguistics;; computer science"
";; ","sentence;; lengths;; sixteen;; essays;; goldsmith;; examined;; relation;; data;; ten;; call;; doubtfuls;; attributed;; him;; comparisons;; goldsmiths;; reference;; x;; 2;; goodness;; fit;; test;; reciprocal;; averaging;; form;; close;; group;; four;; doubtful;; outside;; two;; less;; remote;; cluster;; comparison;; fifty;; nine;; contemporaries;; reveals;; distinctiveness;; his;; length;; patterns;; strengthens;; probability;; least;; case;; may;; reliable;; stylistic;; marker","10.1093/llc/19.4.497","stylometry;; sociology;; sentence;; reciprocal;; quantitative linguistics;; phrase;; optimal distinctiveness theory;; literature;; linguistics;; attribution"
";; ;; ;; English, History & Creative Writing;; ;; ;; ;; ;; ;; ;; ;; ;; ","paper;; describes;; work;; carried;; emille;; project;; enabling;; minority;; language;; engineering;; undertaken;; universities;; lancaster;; sheffield;; primary;; resource;; developed;; corpus;; consists;; series;; monolingual;; corpora;; fourteen;; south;; asian;; languages;; totalling;; more;; 96;; million;; words;; parallel;; english;; five;; includes;; annotated;; component;; namely;; part;; speech;; tagged;; urdu;; data;; together;; twenty;; written;; hindi;; files;; show;; nature;; demonstrative;; addition;; address;; number;; issues;; establishing;; le;; environment;; processing;; translating;; 8;; bit;; unicode;; producing;; basic;; tools;; development;; contributed;; ongoing;; architecture;; gate;; extended;; make;; plugs;; gaps;; r;; d;; necessary;; exploitation","10.1093/llc/19.4.509","unicode;; text corpus;; natural language processing;; minority language;; linguistics;; languages of asia;; hindi;; corpus linguistics;; computer science;; computational linguistics;; artificial intelligence;; applied linguistics"
"The College of New Jersey","","10.1093/llc/19.4.528","linguistics;; computer science"
"Calouste Gulbenkian Foundation","","10.1093/llc/19.4.525","yearbook;; world wide web;; metadata;; linguistics;; information management;; computer science"
"","","10.1093/llc/19.4.534","philology;; new media;; linguistics;; library science;; computer science"
"","","10.1093/llc/19.4.531","sociology;; linguistics;; library science;; informatics;; humanism"
"","","10.1093/llc/19.4.530","linguistics;; information age;; futures contract;; computer science"
"New York University","","10.1093/llc/19.4.537","world wide web;; natural language processing;; computer science;; artificial intelligence"
