AA.DAfN,AW,DOI,F.FN
"University of Santiago de Compostela","como;; advierte;; profesor;; blecua;; su;; celebre;; manual;; critica;; textual;; collatio;; codicum;; es;; fase;; mas;; ingrata;; y;; delicadas;; todo;; proceso;; editorial;; 1983;; 43;; tradicionalmente;; esta;; ardua;; tarea;; realizaba;; cotejando;; visualmente;; diferentes;; testimonios;; anotando;; divergencias;; pesar;; ventajas;; que;; metodos;; computacionales;; nos;; ofrecen;; entre;; otras;; mayor;; rapidez;; sobre;; menos;; margen;; para;; error;; implementacion;; aun;; escasa;; este;; articulo;; hacemos;; revision;; recursos;; ya;; existentes;; analizando;; sus;; inconvenientes;; terminar;; haciendo;; propuesta;; alternativa;; herramientas;; requieren;; conocimientos;; lenguajes;; programacion","10.5944/rhd.vol.1.2017.16678","philosophy;; humanities"
"Paris-Sorbonne University;; Paris-Sorbonne University","articulo;; presenta;; trabajo;; editorial;; proyecto;; gongora;; labex;; obvil;; entre;; 2013;; y;; 2016;; este;; publica;; edicion;; digital;; obra;; completa;; luis;; polemica;; su;; recepcion;; durante;; siglo;; xvii;; para;; cometido;; complementariedad;; filologia;; tradicional;; humanidades;; digitales;; es;; requisito;; que;; traduce;; reflexion;; metodologica;; sobre;; cientifica;; esa;; base;; hace;; hincapie;; construccion;; hipertexto;; conecte;; con;; traves;; marcado;; xml;; hipervinculos;; dos;; proyectos;; desarrollo;; hipertextos;; partir;; ontologias;; analisis;; redes;; abren;; pistas;; teoricas;; lectura;; web;; novedades;; aportan;; al;; estudio","10.5944/rhd.vol.1.2017.16682","philosophy;; humanities;; gongora"
"Universidad Miguel Hernández de Elche;; Universidad Miguel Hernández de Elche","creacion;; nuevos;; documentos;; xml;; desde;; cero;; o;; partir;; texto;; plano;; puede;; ser;; tarea;; dificil;; lenta;; y;; propensa;; errores;; sobre;; todo;; cuando;; vocabulario;; marcado;; utilizado;; es;; rico;; complejo;; como;; caso;; tei;; por;; lo;; general;; lleva;; bastante;; tiempo;; lograr;; que;; documento;; valide;; primera;; vez;; juntando;; espiritu;; viejo;; sgml;; principios;; markdown;; llegamos;; idea;; proyecto;; teidown;; consiste;; ampliacion;; sintaxis;; para;; crear;; programas;; transformacion;; correspondientes;; con;; este;; enfoque;; facil;; obtener;; valido;; muy;; corto;; evitando;; pasar;; larga;; lista;; validacion","10.5944/rhd.vol.1.2017.16683","markdown;; humanities;; digital humanities;; art"
"University of North Carolina at Chapel Hill;; Arizona State University","entiendelo;; app;; helping;; latin;; advocates;; navigate;; stressful;; linguistic;; cultural;; situations;; idea;; language;; last;; frontier;; good;; quality;; life;; contains;; three;; essential;; parts;; connected;; 1;; glossary;; aims;; collect;; hispanic;; american;; us;; latino;; variants;; keywords;; violence;; healing;; urban;; dictionary;; literary;; excerpts;; authentic;; street;; sentences;; 2;; interactive;; bilingual;; collection;; inspirational;; quotes;; 3;; game;; model;; spent;; players;; faced;; dilemmas;; monolingual;; speaker;; lack;; diglossic;; dominance;; becomes;; hindrance","10.5944/rhd.vol.1.2017.16775","psychology;; neuroscience of multilingualism;; linguistics;; glossary;; frontier;; domestic violence;; digital humanities;; communication;; common good"
"University of Cologne","con;; este;; articulo;; pretende;; primer;; lugar;; revisar;; algunos;; ideas;; recurrentes;; torno;; teoria;; critica;; digital;; como;; incremento;; escala;; y;; interactividad;; segundo;; exponer;; fundamentos;; codificacion;; xml;; tei;; especial;; atencion;; representacion;; aparato;; critico;; por;; ultimo;; describir;; metodologia;; utilizada;; para;; codificar;; variantes;; copista;; autor;; encontradas;; 22;; testimonios;; cotejados;; que;; transmiten;; soledades;; luis;; gongora;; terminos;; generales;; defiende;; elementos;; deben;; contener;; naturaleza;; estructural;; objetivo;; representar;; variacion;; textual;; manera;; adecuada","10.5944/rhd.vol.1.2017.16379","spanish literature;; humanities;; gongora;; digital humanities;; cartography;; art"
"University of Bologna;; Autonomous University of Barcelona","articulo;; ofrece;; unas;; breves;; consideraciones;; sobre;; panorama;; actual;; corpora;; textuales;; digitales;; teatro;; clasico;; europeo;; con;; especial;; enfoque;; hacia;; contexto;; espanol;; dentro;; este;; ambito;; pone;; enfasis;; proceso;; realizacion;; y;; caracteristicas;; edicion;; critica;; archivo;; digital;; comedia;; espanola;; siglo;; xvii;; dama;; boba;; lope;; vega;; proyecto;; que;; ha;; realizado;; fines;; experimentales;; pretende;; ofrecer;; comunidad;; cientifica;; posible;; modelo;; representacion;; tradiciones;; complejas;; implique;; superacion;; limites;; tradicional;; papel","10.5944/rhd.vol.1.2017.16645","humanities;; digital humanities;; cartography;; art"
"University of Coimbra","este;; articulo;; propone;; usar;; juegos;; como;; complemento;; para;; reforzar;; conocimientos;; previamente;; adquiridos;; paleografia;; lectura;; tras;; ofrecer;; definicion;; juego;; y;; conjeturar;; sobre;; sus;; limites;; subjetivos;; reune;; teorias;; historicas;; que;; recalcan;; beneficios;; introducirlo;; docencia;; tambien;; pincela;; avances;; dados;; humanidades;; digitales;; digital;; ademas;; trata;; corrientes;; pedagogicas;; innovacion;; educativa;; introducen;; ntic;; nuevas;; tecnologias;; informacion;; comunicacion;; ensenar;; repasa;; metodos;; tradicionales;; modernos;; incluyendo;; cursos;; interactivos;; linea;; centra;; escasos;; existentes;; paleoteca;; otros;; proyectos;; borrador;; santos;; concluye;; reflexionando;; escasez;; denominados;; cuando;; contexto;; docente;; propiciaria;; incluirlos","10.5944/rhd.vol.1.2017.17072","linea;; humanities;; digital humanities;; art"
"","wikivantes;; surgio;; con;; idea;; utilizar;; obra;; completa;; miguel;; cervantes;; y;; aspectos;; su;; vida;; entorno;; historico;; como;; modelo;; educacional;; partir;; fragmentos;; significativos;; que;; pudieran;; enlazar;; forma;; hipertextual;; diversas;; disciplinas;; proyecto;; basaba;; cuatro;; pilares;; educacion;; informe;; delors;; aprender;; hacer;; vivir;; demas;; ser;; intencion;; crear;; repositorio;; recursos;; aplicaciones;; ideas;; contribuyan;; mejorar;; sociedad;; futuro;; desde;; textos;; cervantinos;; pregunta;; nos;; formulamos;; este;; articulo;; es;; si;; puede;; considerar;; perteneciente;; al;; ambito;; humanidades;; digitales","10.5944/rhd.vol.1.2017.16557","philosophy;; humanities;; digital humanities"
"University of Castillaâ€“La Mancha","como;; resultado;; aparicion;; espacio;; telematico;; y;; comunicacion;; hipertextual;; conocidas;; metafunciones;; enunciadas;; primera;; instancia;; por;; funcionalista;; m;; k;; halliday;; su;; teoria;; lenguaje;; conocida;; sistemico;; funcional;; cobran;; cariz;; diferente;; que;; describe;; para;; tradicionales;; entornos;; oral;; escrito;; asi;; clasicas;; deberan;; ser;; partir;; ahora;; hiperfunciones;; o;; multifunciones;; precisamente;; esencia;; multimodal;; texto;; imagen;; sonido;; alberga;; nos;; proponemos;; acercar;; teoricamente;; distancias;; producidas;; salto;; entorno;; analogico;; al;; digital;; proponer;; suerte;; especifica;; este;; nuevo;; comunicativo","10.5944/rhd.vol.1.2017.16675","humanities"
"University of León;; University of León;; University of León","presenta;; descripcion;; tecnica;; funcionalidades;; y;; caracteristicas;; relacionadas;; con;; organizacion;; estructura;; contenidos;; sede;; web;; proyecto;; trace;; traduccion;; censura;; universidad;; leon;; trabajo;; muestra;; igualmente;; evaluacion;; usabilidad;; sitio;; realizada;; partir;; analisis;; resultados;; cuestionario;; aplicado;; estudiantes;; investigadores;; observa;; que;; encuestados;; han;; juzgado;; como;; usable;; apartados;; fundamentales;; identificacion;; contenido;; navegacion;; son;; obtienen;; valoracion;; especialmente;; positiva;; bloques;; dedicados;; armonia;; estetica;; al;; uso;; herramientas;; sociales;; opinion;; presentan;; aspectos;; mejorables;; seran;; tenidos;; cuenta;; proximos;; desarrollos","10.5944/rhd.vol.1.2017.16667","humanities;; art"
